,first degree neighbors,feature_importance
0,CCT3,0.0
1,VRK2,-0.0
2,STK4,0.0
3,RAB5C,-0.00011119710263002771
4,NAE1,-0.0
5,TAF2,0.0018210832244522016
6,ATL1,0.0
7,CDS2,-0.0037346941462916366
8,CDC42BPB,-0.0
9,NRBP2,-0.0
10,RPS6KA1,-0.0041272149282357475
11,EIF4E2,0.0
12,PIKFYVE,0.0
13,RPTOR,0.0
14,EIPR1,-0.0006312149234400635
15,MAP3K4,0.0
16,EGFR,0.0
17,PAFAH1B1,0.0
18,MAPK3,-0.0
19,PLD2,0.0
20,CSNK2A1,-0.0
21,TLE1,-0.0
22,RALGPS2,-0.0
23,MAP2K4,-0.0
24,CKAP5,-0.0
25,MAGI1,0.0
26,SMAP2,-0.0
27,RAP1A,-0.004970310555394143
28,DNM2,0.0
29,PINK1,-0.011190907747541919
30,LARP1,0.0
31,EAF1,0.008194860928717573
32,TUBG1,0.0016547376516843153
33,PRMT5,-0.0
34,NPY5R,0.01310388651288518
35,MYO1D,0.0
36,DENND4A,-0.004997400065470688
37,XPOT,0.0
38,AP1G2,0.0
39,PRKCE,-0.0
40,CDK3,-0.0
41,CSNK2A3,0.0
42,LPCAT2,-0.0
43,BPTF,0.0
44,MTMR2,-0.0
45,MARCH6,-0.0
46,EPHB2,-0.0
47,DYNC1I1,-0.0
48,PITHD1,0.0
49,STRN3,-0.0
50,TOP2B,-0.0
51,CCNY,-0.010238303815023976
52,ARHGEF7,0.0
53,STRN,0.0
54,CHEK2,-0.0
55,PAK1,0.0
56,SEC24B,-0.0
57,TOP3B,0.0
58,CCT5,0.0
59,KIF21A,0.0007764778340117579
60,LATS1,-0.0
61,PAXBP1,0.0036964700651451604
62,ITPKC,-0.0013882188467850929
63,SIPA1L1,-0.0
64,HMGB1,-0.0
65,TXNDC17,0.0
66,HIPK1,0.0011743388485007376
67,DMTN,0.0
68,TP53BP2,0.0
69,PPM1H,-0.0
70,RAP2B,0.0
71,WIPI1,-0.0
72,MTMR1,0.013967732296563251
73,RASA2,0.0
74,OXR1,-0.0
75,CAMKK2,0.0
76,DUSP6,0.0037948386286710107
77,DCAF7,0.0
78,MAST1,-0.0005055807347503591
79,STK3,-0.0
80,TCP11L2,0.0
81,CEP131,-0.0019709476506181425
82,ERC1,0.0
83,TBC1D22B,0.003068993132987939
84,RAB10,-0.0
85,DNM3,-0.0001939007705584337
86,LBR,0.0
87,NBEA,0.007706295314163553
88,NF1,-0.0
89,SMN2,-0.0
90,DGKH,0.002944188354769341
91,HDAC5,-0.0
92,ATL3,0.0
93,PTPN14,0.0
94,KARS,0.0
95,TBC1D22A,0.0
96,SEPT6,0.0
97,VRK1,-0.0
98,EXOC8,0.0
99,BCAS3,0.0
100,PEX19,0.0
101,USP13,0.0
102,ERN1,0.0
103,PPIP5K1,-0.011534940016534427
104,CRTC3,-0.0
105,SRPK1,-0.0
106,CDK11A,-0.0
107,USP8,-0.0
108,FBXW11,-0.0
109,NCKAP1,-0.0
110,PPP2R2B,0.0
111,TATDN1,-0.0
112,PPFIA1,-0.0
113,H2AFZ,-0.0
114,KLC3,-0.0
115,CRKL,-0.0
116,LDB1,-0.0
117,RBM39,-0.008088099988841637
118,WRAP53,0.006528604579920053
119,PURB,0.0
120,TRIP12,-0.0
121,SYK,-0.0
122,CRK,-0.0015884309315800742
123,RPS6KA4,-0.0
124,PKN2,-0.0
125,R3HDM1,0.0
126,PRPF4,0.0
127,SH3PXD2A,0.0
128,R3HDM2,-0.0031342724456316327
129,UPF1,-0.005427805746883977
130,EED,-0.0022936587795499295
131,DHCR7,-0.0
132,MYO1E,0.0
133,RAB35,-0.0
134,SMN1,-0.0
135,FBXW7,0.006190129813444208
136,CYTH2,-0.0
137,HDAC2,0.0
138,AFDN,-0.0
139,TIMM50,-0.004297677703642525
140,YWHAE,-0.009108850356731663
141,RNF10,0.0
142,DNAJB12,0.0
143,RBPJ,0.012390661445926933
144,CSNK1E,0.007036183605426766
145,CLCN3,-0.0
146,ACTR2,0.013669224793405406
147,DENND1C,0.001656184359453342
148,GIT1,0.0
149,RAP1GDS1,-0.0
150,ABCD4,-0.007204792498710849
151,IFRD1,-0.0
152,PLA2G6,0.0
153,CCT4,0.0
154,REV1,0.0
155,MTMR8,0.0
156,TSC2,0.008878022509028477
157,NOB1,-0.0
158,PEX10,5.976839377104211e-05
159,GNB2,-0.0
160,RTKN,0.008107584899686219
161,FZR1,-0.0
162,SHROOM2,0.0
163,ASCC3,0.0
164,IPO8,-0.0011477984842858252
165,HSPA9,0.0
166,DLG3,0.0
167,DNAJB14,0.003001961082071049
168,PPP4R3A,-0.0
169,CCT8,0.0032767742872943624
170,RALA,-0.0
171,ACVR1C,0.0
172,CAMKK1,-0.0
173,LIMK1,0.0
174,DUSP5,-0.010970948292966803
175,SAMD4B,0.0
176,LPIN1,-0.0
177,CTDSP1,0.00033223646988015114
178,AXIN1,-0.004582556602763805
179,STK11,0.0
180,TLK2,-0.00045798375983148405
181,GNAQ,0.0
182,CLIP2,0.0008117568172274973
183,HGS,0.0
184,MELK,-0.0
185,PLCG1,-0.0
186,SRPRA,0.0
187,DMXL2,0.0
188,TERF1,-0.0
189,DDX24,-0.004707650223288412
190,DUSP2,-0.0
191,CUL2,0.003065449479862485
192,SMARCD2,0.0
193,CTDSPL,-0.0
194,FRYL,-0.006933127238073505
195,PPTC7,-0.0
196,SCAF8,-0.0
197,PLEKHA5,-0.0
198,PLD1,-0.00320453181089117
199,PLK3,0.0
200,DDX1,0.0
201,RMC1,-0.0
202,CCT2,0.0
203,CCNA1,0.0
204,SUOX,-0.0
205,MMS19,-0.0
206,CCNT2,-0.0
207,AGAP3,0.0
208,DNAJA4,0.00773699048671146
209,C1QBP,0.0
210,RAC3,-0.0
211,GTF3C3,-0.0
212,CHEK1,0.00517091304583244
213,CCNYL1,0.0
214,OCRL,0.0024008771647111254
215,ROCK2,0.0
216,PIK3R2,-0.0
217,ATG16L2,0.0
218,TAOK3,-0.0
219,DAGLA,0.0
220,ADH5,0.01618583115896307
221,PHF14,-0.0
222,MAP2K2,-0.0
223,SMURF1,-0.0056692933282984125
224,AP1G1,-0.0
225,ATXN2L,-0.0
226,KRAS,-0.0
227,NAXE,-0.0
228,PARG,0.0
229,TAOK1,0.012863880650538435
230,RAB11A,0.0030964712408701263
231,MAPK1,-0.0
232,PRPF4B,-0.0
233,CDK11B,-0.005706113489940469
234,PPP5C,0.0
235,SOS1,-0.0
236,SSB,-0.0
237,LCMT1,0.0
238,SEPT11,-0.0
239,NADK,0.0
240,MKLN1,0.0
241,MAST4,-0.0
242,WWP1,-0.0
243,PPP2R2A,0.0010357014270342604
244,EPHA8,0.0
245,KIF1C,-0.0
246,STRN4,-0.0
247,RHEB,-0.0
248,SLC25A6,0.00633689253754499
249,WDR44,0.0
250,PIK3R4,0.0
251,KLC1,0.0005694006874915234
252,DENND1A,-7.458793639037429e-06
253,RICTOR,-0.0
254,ADSS,0.0
255,PPP2R5D,-0.0
256,PSEN1,-0.0
257,MTO1,-0.0
258,HSP90AA1,-0.0
259,NCKIPSD,-0.0
260,ULK1,0.0
261,RFT1,0.0
262,WDR48,-0.0
263,SMAP1,0.0
264,KSR2,-0.0
265,DBNL,0.0
266,ATP2C1,-0.0
267,CSNK1A1,0.0030856137026398405
268,RBM8A,0.0
269,RILPL1,-0.0
