,first degree neighbors,feature_importance
0,CCT3,0.0
1,UBB,-0.0
2,FURIN,0.0
3,RAB5C,-0.0
4,H1FX,0.0
5,AP2A2,0.0
6,LGALS3,0.0
7,CLTCL1,0.0
8,NCL,0.0
9,NUMBL,0.0046435201813294575
10,ABCD3,0.0
11,SRP9,0.0
12,HSD17B10,-0.0
13,EGFR,0.0
14,PLD2,0.0
15,WNT4,0.0
16,PACSIN2,0.001834877105307107
17,TLE1,0.0
18,HNRNPH2,-0.001229261178479796
19,STAM2,0.0
20,MAP2K4,0.0
21,RAB14,-0.0
22,PSMD2,0.0
23,GNAI3,0.0
24,RPS15A,0.0020328453515092927
25,RAB11FIP3,0.0059023579441352106
26,NPM1,-5.5463507708759505e-06
27,DNAJA1,-0.0
28,DNM2,0.0
29,GRAP2,-0.0
30,EEA1,0.0
31,BACE1,0.0
32,HIST3H3,-0.0
33,TNS3,-0.0
34,SNX33,0.0
35,MYO1D,0.0
36,XPOT,-0.0
37,PDIA3,-0.0
38,AP1G2,-0.0
39,SH3GL3,-0.0
40,PRKCE,-0.0
41,B2M,-0.0
42,SREBF2,0.0
43,TXN,0.0
44,RPL38,0.0
45,ETFDH,0.0
46,NCAPG2,-0.0
47,LRIG1,0.0
48,EMD,0.006833986324179461
49,SRC,0.0
50,HLA-A,0.0
51,SNRPA1,0.0
52,ARHGEF7,-0.0
53,CD2AP,0.0
54,TARS2,-0.0
55,SHC3,-0.0
56,FDFT1,0.0
57,ARPC5,0.0
58,SLC3A2,-0.004574975198296529
59,PAK1,0.0
60,RAB11B,0.0
61,S100A11P1,0.0
62,SH3GL2,-0.0
63,GLI3,0.0
64,RPS14,0.0
65,EEF1G,0.0
66,USP2,-0.0
67,S100A16,-0.0
68,VCP,-0.0
69,IKBKG,-0.0
70,DNAJC3,-0.0
71,JUP,-0.0
72,MAPK8,0.0
73,SH3KBP1,-0.0
74,NR3C1,0.0
75,ARF4,-0.0
76,HMGB1,-0.0
77,ARPC1A,0.0
78,ITGA5,-0.0
79,EEF1B2,0.0
80,RPS20,0.0
81,PELO,-0.0
82,CTNND1,-0.0
83,SNX6,-0.0
