,first degree neighbors,feature_importance
0,CCT3,-0.0
1,ERBB2,-3.570249460523252e-05
2,AP2A2,-0.0004385044500693054
3,SGPL1,0.0
4,SHC1,-0.0
5,HNRNPA2B1,-0.0
6,HIST1H4L,0.0
7,EGFR,0.0
8,HIST4H4,-0.0
9,HNRNPH2,0.00043293376190582205
10,SLIRP,0.0027657290828650614
11,ANXA2,-0.0013191026003490354
12,ATP5F1C,0.0
13,SLC25A1,0.0
14,DNAJA1,0.0
15,STAT3,-0.00023145503207420612
16,HIST1H4H,0.0
17,YWHAQ,-0.0
18,MYL12B,0.0
19,HIST1H4C,0.0006736532787272591
20,TUFM,-0.0
21,HSPA5,0.0
22,RAB7A,0.0
23,SLC3A2,0.0
24,NFKBIA,-0.0
25,ATAD3A,-0.009523126425110072
26,S100A11P1,0.0
27,PHB,-0.0
28,S100A16,0.0
29,PKP2,0.003270658645257546
30,DNAJC10,-0.0
31,HIST1H4A,-0.0
32,PPP2CB,-0.00026942326738866023
33,ARHGEF5,0.0009164879591948641
34,UBE4B,-0.0
35,SLC25A3,0.000828088710802189
36,SSR1,-0.0
37,RPS18,-0.0
38,HIST1H4B,0.00033410838841789833
39,NQO2,-0.0010528254936670969
40,HSP90AA1,0.0
41,DNAJB8,-0.0
42,HIST1H4F,-0.0
43,DNAJB11,0.0010905721891249275
44,UAP1,-0.0
45,LRPPRC,0.0
46,DNAJB6,0.0
47,ACSL3,0.0
48,PHB2,-0.0
49,FGFR4,-0.0020229647305151726
50,CDC42,-0.0
51,HACD3,0.0020744001369672875
52,AP2B1,-0.0035942158928037424
53,MGST1,0.0
54,UBA52,0.0
55,HIST2H4A,0.0
56,HIST1H4K,-0.0007516020100266972
57,SLC39A7,0.0
58,CANX,0.0
59,ATP1A1,-0.0
60,SEC61A1,-0.0
61,TIMM21,-0.0
62,HSP90AB1,0.0
63,PPP2R1A,0.0
64,YWHAZ,-0.0005734128216584736
65,ASS1,-0.0004557300297041692
66,ATP2A2,-0.0
67,PALB2,0.0
68,ALDH3A2,-0.0
69,GNB4,0.0012933856861068308
70,CDC37,0.0
71,RB1CC1,0.0
72,DHCR7,0.0009573562344072199
73,CCAR2,-0.0
74,TIMM50,0.0017217126319238319
75,YWHAE,0.0
76,GNB1,0.0009146935552431806
77,KDELR2,-0.0
78,GPS1,-3.7210138501708276e-05
79,MMP14,-0.0
80,PTPN12,0.0
81,VAPA,-0.00019444519377399136
82,ERRFI1,0.003287303794059842
83,PPP2CA,-0.008160481457161174
84,PPM1D,-0.0
85,HSPA8,-0.0
86,HIST1H4J,0.0015047313680139442
87,ATP5F1A,-0.0
88,CASP8,0.0
89,GNB2,-0.0009969971618181846
90,TMEM33,0.0
91,GGCT,0.0011046928822567514
92,MYH9,0.0
93,ARRDC3,0.0
94,PDGFRB,0.0
95,HSPA9,0.0
96,CAVIN1,-0.0
97,HIST1H4D,-0.0
98,GRB2,-0.0
99,AURKA,-0.0027515947279775255
100,NDUFA4,-0.0016136654627294505
101,HIST1H4I,-0.0
102,AP2M1,-0.0
103,AHCY,0.0007506473687507615
104,RPS2,-0.0016767666631822189
105,BCAR3,0.0005534971051284489
106,AHNAK,0.0
107,DNAJA2,-0.0
108,RPS4X,1.0231396154945513e-05
109,HIST1H4E,-0.0
