,first degree neighbors,feature_importance
0,PLCG1,0.0
1,LAMC1,0.0
2,FURIN,0.0
3,FGF7,-0.0
4,AP2A2,0.006542867574370148
5,SHC1,-0.0
6,NUCB1,0.0
7,RPS6KA1,0.0
8,HSPG2,-0.011132084467736572
9,RPS6KA3,-0.025962467280612123
10,FGF1,-0.0
11,EIF2AK3,0.017272924601968914
12,INSR,-0.004546951767939299
13,KRT10,-0.0
14,CTR9,-0.005373161229291481
15,STAT3,0.017458715563728435
16,KPNB1,0.008587919456774607
17,CCNT2,-0.025554590522973427
18,SNX33,-0.0
19,FKBP5,0.02314810811125479
20,TRIM3,0.0
21,NRP1,-0.0
22,RTN3,0.019367074518141184
23,CNIH1,-0.018877629208260763
24,PIK3R2,-0.0
25,ATG16L2,0.0
26,FBXL2,-0.0
27,UBC,-0.007053645368361794
28,GRB14,-0.007618768269884512
29,BNIP2,-0.0009372228973672127
30,CLSTN1,-0.006759488362027554
31,FGF2,0.0
32,RAC2,-0.0
33,STIP1,0.0
34,SLC48A1,-0.0
35,TCN2,-0.0
36,SMOX,-0.005614951351119675
37,PTBP1,-0.0
38,ITGB5,0.007039402321464827
39,ORAI1,0.0
40,KRT7,-0.007834394624456682
41,CRIM1,0.0
42,NEURL1B,-0.0
43,MMP2,3.626107296500391e-05
44,KLB,0.012006972872589521
45,ITGA5,0.0004810485210281869
46,SNX27,-0.0
47,RAC1,-0.006942889576591078
48,HTR1B,-0.0
49,KIAA0319L,-0.0
50,ANOS1,-0.0
51,SMAD1,-0.0
52,ICAM4,0.0
53,CTNNB1,0.002514156955912814
54,LRIG3,0.00034536972508751796
55,AFF4,-0.0
56,P4HB,0.0
57,KL,0.0052060450876085605
58,SOGA1,-0.0
59,NCAM1,0.09656603055450555
60,MYO7A,0.0
61,PAPPA,-0.0
62,HSP90AA1,-0.0
63,ERBB3,0.0
64,FN1,-0.0
65,PIK3R1,-0.0009190353028603114
66,SMAD5,0.0
67,CREBBP,-0.0
68,SLC6A9,-0.0
69,MEPCE,0.0
70,NCSTN,-0.0
71,LRCH1,0.014879425594709094
72,PXDN,-0.012143585162206805
73,FDPS,-0.0035629470505042604
74,PDPK1,0.0
75,FGFR1,-0.0
76,NEDD4,0.0
77,ITGA7,-0.0
78,DIAPH2,-0.0
79,HSP90B1,-0.0
80,MAEA,0.0
81,NPC1,-0.0
82,NCK1,-0.0
83,KRT14,-0.008122661775851159
84,BMPR1B,-0.0027968897558115916
85,SLC12A4,0.0
86,JAK2,0.0
87,CTSB,0.024717934789363735
88,BMP1,-0.0
89,SETDB2,-0.0
90,NCK2,-0.0
91,EHD3,-0.0
92,HSP90AB1,0.0
93,RASA1,0.022340092519646942
94,FASN,0.004045722770219347
95,FRS2,-0.0
96,PACSIN3,0.0
97,VAV1,-0.0
98,NOTCH2,-0.0
99,CRK,0.0024155400835689186
100,ELN,0.0
101,PPT1,-0.0
102,ADCY6,-0.0
103,TNS2,-0.0
104,ST5,-0.006000135300350161
105,DUSP14,-0.0
106,ARPC4,-0.0
107,SEC61A2,0.0
108,SH3BP2,0.005035561536974598
109,WWTR1,0.0
110,RANBP10,-0.0020969699812992586
111,LTBP4,0.0
112,RYK,0.0
113,FLNA,-0.008189019999029021
114,CDH1,-0.000581843220230173
115,HTR1A,0.0
116,RGS19,-0.0
117,RASGEF1B,0.0
118,RTKN2,0.0
119,DOCK1,0.0
120,QSOX1,-0.0
121,LCAT,-0.033815660430795674
122,SURF4,0.0
123,GSN,0.0
124,FGF9,-0.0
125,ATG16L1,0.0
126,FRS3,-0.0
127,GNAI2,0.0
128,GRB2,-0.0
129,SHB,-0.0
130,IL17RD,-0.0
131,FLRT3,-0.0
132,KRT16,0.0
133,SLA,-0.0
134,NOSTRIN,0.0008298047163122156
135,EPHA4,-0.010513605129848263
136,CLSTN3,-0.009156647538469875
137,CTDSP1,0.0
138,SCAP,-0.011450498536918305
139,CHD6,-0.0
140,HYOU1,0.0
141,RHBDF1,-0.0
142,KIFAP3,-0.0038726859280070946
143,STAB1,0.014442869092062997
144,RFX7,-0.039649883956558975
145,FGF23,0.0072373638241491015
