,first degree neighbors,feature_importance
0,PLCG1,-0.00874483562777808
1,LAMC1,-0.003788099476453178
2,FURIN,0.0011045151028426514
3,FGF7,0.0022561069471418315
4,AP2A2,0.0008992483755637811
5,SHC1,0.0021374616093587004
6,NUCB1,-0.008040290165376343
7,RPS6KA1,0.008453393380365336
8,HSPG2,0.0010377559749384134
9,RPS6KA3,-0.008116208704936857
10,FGF1,0.0003695679047083741
11,EIF2AK3,0.005214318369261091
12,INSR,6.425358249063398e-05
13,KRT10,0.0017014040719950958
14,CTR9,0.0013622019337473032
15,STAT3,-0.016061221876314574
16,KPNB1,0.004796138694750742
17,CCNT2,0.0023645694505980207
18,SNX33,-0.0009655139602285742
19,FKBP5,0.0036874409397270346
20,TRIM3,0.004026518839887135
21,NRP1,0.012096491732875908
22,RTN3,0.0014656697941632644
23,CNIH1,0.005631194885285601
24,PIK3R2,-0.00030695756718739314
25,ATG16L2,-0.005288737328901732
26,FBXL2,-0.0030545040240202263
27,UBC,-0.0011742577468180863
28,GRB14,-0.009138286113363368
29,BNIP2,0.018648920468203767
30,CLSTN1,-0.005671094000664648
31,FGF2,-0.0013403924139274007
32,RAC2,0.0009030038055010983
33,STIP1,0.0037472619944720733
34,SLC48A1,0.00819473297252614
35,TCN2,-0.003137550581278491
36,SMOX,-0.014251541559105373
37,PTBP1,-0.005295164645839993
38,ITGB5,0.01158116424656451
39,ORAI1,-0.007377793917290702
40,KRT7,-0.0062972275029699295
41,CRIM1,0.0025734282569931832
42,NEURL1B,0.00322962789135378
43,MMP2,0.0014180594672737084
44,KLB,0.011654808647950987
45,ITGA5,0.0011651690710077192
46,SNX27,0.006477647940775699
47,RAC1,0.0033149451107858936
48,HTR1B,-0.0020628359346932467
49,KIAA0319L,0.006966619229252297
50,ANOS1,0.004325467627667183
51,SMAD1,0.0042259494952343645
52,ICAM4,0.0022310670681184755
53,CTNNB1,0.01239603711823267
54,LRIG3,-0.0030459737778189607
55,AFF4,0.007234795558983785
56,P4HB,0.0006324223291258913
57,KL,0.0021570899101494992
58,SOGA1,0.0013906706704159017
59,NCAM1,0.037082996885874964
60,MYO7A,-0.0063198603374397125
61,PAPPA,-0.03296065912586847
62,HSP90AA1,-0.0026588884191406825
63,ERBB3,0.0014289926519003772
64,FN1,-0.003029131085030102
65,PIK3R1,0.0027822892980370515
66,SMAD5,-0.014584416035692325
67,CREBBP,0.0017493053128602193
68,SLC6A9,0.009380446113206322
69,MEPCE,0.020809110125808307
70,NCSTN,-0.021527295970736923
71,LRCH1,-0.004294379938280774
72,PXDN,-0.002049234660487451
73,FDPS,-0.0009087521165513987
74,PDPK1,-0.0013272562793420304
75,FGFR1,0.0032292707395293542
76,NEDD4,-0.015175715432886904
77,ITGA7,0.0005629372138763177
78,DIAPH2,0.004056604922398178
79,HSP90B1,-0.01009431081213493
80,MAEA,0.002327924804088232
81,NPC1,-0.0020576624075409186
82,NCK1,-0.0064845017585637805
83,KRT14,0.0017802797826916446
84,BMPR1B,-0.00037143528313139017
85,SLC12A4,0.01767404161206466
86,JAK2,0.00824933972744565
87,CTSB,0.00849670151415953
88,BMP1,-0.00869169700766148
89,SETDB2,-0.002313302937108937
90,NCK2,-0.00031854863298505254
91,EHD3,-0.01592557694794294
92,HSP90AB1,-0.015730000073162713
93,RASA1,0.017774094786263867
94,FASN,0.0003224800740627003
95,FRS2,-0.005008077172017178
96,PACSIN3,-0.0001626194828480087
97,VAV1,-0.0006492036115992137
98,NOTCH2,-0.0034505334284367804
99,CRK,-0.000697622805170806
100,ELN,0.002022555805161125
101,PPT1,0.0027862608985212444
102,ADCY6,-0.006278407713184622
103,TNS2,-5.5334229582207624e-05
104,ST5,-0.0036233034936339484
105,DUSP14,-0.004094121610462935
106,ARPC4,0.007350802733636217
107,SEC61A2,0.005933156695326199
108,SH3BP2,-0.00045584790818461773
109,WWTR1,0.024487767300616012
110,RANBP10,0.00355121776143192
111,LTBP4,-0.003033919503987729
112,RYK,-0.004607832315781706
113,FLNA,0.0020962995163186253
114,CDH1,0.002884867891998515
115,HTR1A,-0.005564271150702606
116,RGS19,0.01253666768362393
117,RASGEF1B,0.016640510821070386
118,RTKN2,0.00236352292504685
119,DOCK1,-0.007334613497845345
120,QSOX1,0.002756357904948607
121,LCAT,-0.017086527934632945
122,SURF4,0.00027369239370289957
123,GSN,0.0035202888301575767
124,FGF9,-0.005279390696494066
125,ATG16L1,0.0029568237727461513
126,FRS3,-0.0014553920526918607
127,GNAI2,-0.002506574264354347
128,GRB2,0.005984810651702364
129,SHB,0.003185548641648395
130,IL17RD,-0.0006368259111199
131,FLRT3,-0.004858962746102393
132,KRT16,-0.015754963815129804
133,SLA,0.005418185687593289
134,NOSTRIN,-0.00012954250264955025
135,EPHA4,-0.00979480130343666
136,CLSTN3,-0.0004146807774882473
137,CTDSP1,-0.006711815619700544
138,SCAP,-0.0007754824454349045
139,CHD6,0.01589307611042708
140,HYOU1,-0.0022864559286905777
141,RHBDF1,0.004855165288501159
142,KIFAP3,-0.006488896420376357
143,STAB1,0.0018355544901031938
144,RFX7,-0.012529163838380547
145,FGF23,-0.0005047664753938572
