,first degree neighbors,feature_importance
0,MATK,-0.004132109428059641
1,TNS1,-0.0027750993449866712
2,PLCG1,0.003642698393656734
3,SOCS5,0.0002832354394974015
4,PIK3CG,-0.0
5,MPDZ,0.0
6,SOCS6,-0.0007122186420861606
7,PDGFRA,0.005752297153039247
8,CD9,0.008866751580324538
9,ABL2,0.0006842262248532281
10,SPRED1,0.0
11,PTPN11,0.0
12,STAT5B,0.0008568286472884418
13,STAT1,-0.0036731272853712696
14,GRB7,-0.0
15,RAC1,0.0
16,JAK2,0.00133988640006674
17,ABL1,-0.0
18,CBL,0.00654706359815513
19,TLR3,-0.0
20,CRKL,0.004757871062285009
21,HCK,-0.0005213226843745023
22,SPON1,-0.0
23,MYH9,0.00016136533680826288
24,YES1,-0.00023327921026706992
25,EPOR,0.0
26,GRAP2,-0.0026200249536323865
27,FES,-0.0018690470510789236
28,PTPRO,-0.0
29,CD63,0.0009369428699495271
30,IL7R,-0.0017846770299604145
31,PTPN6,0.003952188444169729
32,CLTC,0.005265692702126011
33,RASA1,-0.004868536348473009
34,STAT5A,-0.0028963124718105935
35,GRB2,0.005648616650103645
36,LYN,0.0
37,ACE,-0.00011466355632796447
38,CSF2RB,0.002063561315818215
39,SOCS1,-0.0017300214335155433
40,CRK,-0.0006105423415553538
41,PIK3R2,-0.0022550796566296293
42,SRC,-0.008398384956798116
43,SPRED2,0.0
44,PIK3R1,0.0
45,PLCE1,-0.0
46,UBC,0.0
47,KITLG,-0.0007595946972438068
48,TEC,-0.0038642927413258627
49,BCR,0.007462569321181427
50,KIT,0.0022814085434433857
51,CISH,-0.0
52,STAP1,0.008236551282701959
