,first degree neighbors,feature_importance
0,ARL8A,-0.029535896287308572
1,STK4,-0.00030523965728013853
2,RAB5C,0.011598278874762313
3,MMD,-0.014860742236366891
4,PSMD10,0.02226579562872205
5,RBPMS,-0.0016364944367944602
6,HSD17B10,0.00106638605505686
7,JAGN1,-0.017884380540187365
8,PAFAH1B1,0.0023823075614177107
9,MAPK3,-0.035602390775471
10,FAF1,0.00808054259528485
11,CSNK2A1,-0.009724891299044558
12,UTP25,-0.007853817345063898
13,CNIH4,-0.016206190740747643
14,ARF3,-0.0029749949990353097
15,RAP1A,-0.01356393829799459
16,SLC25A24,0.045384656560199
17,ADAM10,-0.014136371472806006
18,RNF115,0.0004265786005916622
19,PGRMC2,0.01777075013185833
20,RPL9,-0.002255744853001729
21,DNAJC8,-0.0012642117871092555
22,MRPL58,-0.009427596846200845
23,TOP2B,0.007786877811316812
24,STIP1,-0.001911810013227644
25,HIP1R,0.018243591737521096
26,GCLC,0.008769274743596553
27,RPS19,0.02222283287150367
28,LYPLA1,-0.015614718517964523
29,AGFG1,0.020536231563293705
30,VCP,-0.006605258179817118
31,EIF4G2,0.001571545069409538
32,SH3KBP1,-0.01925165477853192
33,LATS2,-0.008669443268913224
34,NOC2L,0.01991793013221167
35,ARPC1A,-0.002573439501007839
36,POLR3D,0.008656949750860676
37,UBE2V1,0.023686269761253244
38,YPEL5,0.0014395936232929774
39,P4HB,-0.023135170201201614
40,SSSCA1,0.008739148878393839
41,CLIC1,-0.007275341133342754
42,DNM1L,-0.0018295198161930855
43,TCP11L2,-0.01150985589497404
44,NDUFA9,-0.007555640046185783
45,TIGAR,-0.0007097915442200843
46,PDE4DIP,-0.00047866782427877474
47,SMU1,-0.02372618538056376
48,EXOC6,-0.006570759766959585
49,SBF2,-0.008050568410128706
50,ADPGK,0.022743805742723194
51,ATL3,0.00502415072166784
52,STT3A,-0.0007785364768232122
53,WDR12,-0.007886259906082476
54,METTL6,-0.013937306617082689
55,PHB2,0.004436971000203173
56,TALDO1,0.0022196993152604643
57,CDT1,-0.0010470202741891081
58,BCAS3,0.0009438668800044359
59,CFL2,0.005957638189579674
60,GCLM,-0.009024981588387925
61,PPP1R12A,-0.015472110278691076
62,SUPT5H,-0.012278325538618485
63,RGL3,0.002760790487991862
64,UBXN2B,0.0017619544644923168
65,PPIL1,0.025070295106370485
66,SRPK1,0.0012074639352160953
67,APBB1IP,-0.006992008426747413
68,LETM1,-0.0009136731429401239
69,PPP2R2B,-0.006485251308192717
70,ADSL,0.02048284631156738
71,SNU13,0.0018450282255001481
72,RPL27A,-0.02870703685026051
73,COPZ1,0.005818200576066149
74,RPL14,-0.004611888138715122
75,PSMD13,-0.007854398465124071
76,PIP4K2A,0.018081116652259078
77,TCP1,-0.03696798559095033
78,B3GAT3,0.003065988003719901
79,CYTH1,-0.002751448284501239
80,TXNL1,0.004305300687692775
81,EIF2S2,-0.011217003325667484
82,RMND5B,0.014793949003985164
83,NADK2,0.011315624393609449
84,GIT2,0.0001679920025222499
85,NDRG1,0.004843920565774379
86,TIMM44,0.004496794147982213
87,PGS1,-0.008199553244320614
88,TRAF6,0.0024239525020388784
89,CSNK1E,0.004260271650099476
90,DDX21,-0.02246512760298155
91,ALDH9A1,-0.019776467367974143
92,TTC1,0.012697488114762774
93,MPHOSPH10,-0.001165642280335812
94,IARS,-0.010264290080696402
95,PCBP2,-0.01983057011601304
96,BRIX1,-0.0028346550002772896
97,NLN,0.003098634622507106
98,GLOD4,-0.0026488402758820763
99,DEGS1,0.004369330739965027
100,PDXDC1,0.014308077356878536
101,ARHGAP11A,-0.0009119711428577637
102,TFAM,-0.018340317796219308
103,TMEM50A,0.006026163882031967
104,S100A6,0.021914118648087018
105,CHMP6,-0.022933332060971735
106,FSCN1,0.0005042127367487291
107,HMGCS1,-0.01083848920508815
108,FLOT1,0.0035066989516399937
109,COPS3,-0.0029818896209732135
110,RHOA,-0.013904148196391729
111,PYCR2,0.0004530423313237062
112,ANKFY1,-0.008895537263970766
113,DEAF1,0.008031396843256563
114,NDUFA5,0.007986257170230411
115,MCCC1,0.01014047144440361
116,GMFB,-0.0017300767270951142
117,SDHC,0.00011592859095819589
118,EWSR1,0.0008772318442162865
119,WDR46,0.0027998210915859485
120,RAB18,-0.003753218093056246
121,YRDC,0.017908539981702724
122,PGM3,-0.0005434012905000769
123,PDIA4,-0.004685854771158427
124,RPL18A,0.009237148334044086
125,UFD1,-0.00262120709309349
126,ZNF207,-0.020957823919755453
127,ELOC,-0.028761440883387526
128,RPUSD2,-0.0005180263005659533
129,SFPQ,-0.005377228483560212
130,CCT2,-0.006505197986867931
131,MED17,-0.01784457724520195
132,TSR1,0.006836313232870542
133,DUS2,-0.0011580230781034976
134,PRDX6,0.004274524992553387
135,HIKESHI,0.011001962021379303
136,IPO5,-0.004757582296155644
137,ROCK2,0.011305104712029777
138,ATOX1,0.006290290276012498
139,RER1,0.014944132312100854
140,RBX1,-0.011006872432356492
141,SPTAN1,-0.011430876411531368
142,TMEM50B,-0.000666663204925937
143,RPL35,0.014411207372558696
144,DDX47,-0.0014041494272800984
145,KRAS,-0.00424750146343758
146,NAXE,0.003538638956825855
147,MCTS1,0.020965598024097077
148,EXOSC2,-0.013950983025920956
149,RPS21,0.008231017065467904
150,AIFM1,0.013260100870543577
151,AGAP1,0.0013519914490403608
152,EIF4G1,-0.008550982419197155
153,GLTP,-0.000944099149880352
154,RPL4,-0.012798600606376857
155,RNMT,0.013642099518704445
156,PSMA7,0.009702233111123363
157,EIF5A,0.0334461197113314
158,DOHH,-0.008791391399900365
159,CYB5B,0.006750535799205638
160,RPS3A,0.009584347682672288
161,RPL24,0.013137573045835686
162,ETF1,-0.005249559488433842
163,SNRPC,-0.00877451709224553
164,EIF3F,5.51063853723898e-05
165,UBE3A,0.034027270542159135
166,PSEN1,-0.0067965876183881495
167,BZW2,0.009308626134109496
168,RPL7,-0.003947134367812866
169,ABCE1,0.003579259311862298
170,DBNL,-0.02537703005649515
171,OTUD6B,-0.0011419768529777612
172,PAFAH1B3,-0.013443195197226544
173,PDHB,0.004982285812076324
174,RPL39,0.00780309389952003
175,ARF5,0.015060525002222947
176,OGA,-0.0014140973387403093
177,MRPS35,-0.002331049582245566
178,ABCF1,-0.001613924846570418
179,MTMR4,0.005340218027669476
180,AP1S1,0.00266091103092714
181,NUP155,-0.018731895006399542
182,TRMT112,0.013163928033147912
183,TMBIM1,-0.017429854874847286
184,PTPN1,-0.004581249153079716
185,DHX9,0.01475215905705136
186,CANX,-0.006959625852965242
187,NME2,0.011577074192899509
188,RAP1B,-0.006151049989778907
189,GAR1,0.0022083901511031445
190,USP30,0.0044212998915251125
191,TIMM21,0.006476622288527145
192,CTPS1,0.006900497260260789
193,RAB2A,-0.004255601635714693
194,EHD4,0.026438312745442755
195,ATP1B1,-0.011958949067431576
196,CDK8,0.0006635736797359342
197,TVP23B,-0.024591230653015602
198,MRPL17,9.286492600546226e-05
199,UBE2R2,0.007367028983750138
200,NHP2,0.003963253687865705
201,AKT2,0.007084674497391154
202,GPSM2,0.00317849967639912
203,ALDH3A2,0.0075343326921238065
204,PRKACA,0.023706832166637444
205,GNA12,-0.002923354295338881
206,ARIH1,0.00858163901309336
207,ACBD3,0.00898171476169418
208,CD81,0.0046338169054379146
209,DAD1,-0.007398556115465705
210,DKC1,-0.004903378775229021
211,CAB39,0.005060757839178919
212,RNH1,0.010646042098178442
213,EIF3I,-0.006095397824289401
214,SF3A3,-0.011773883812121886
215,RRP1,-0.010909237140418228
216,AP3D1,0.002062938366261122
217,PTK2,0.009495806424257723
218,NMT2,-0.003753057474695757
219,YWHAB,-0.001269210570177809
220,SNRPD2,-0.0022988116029172456
221,HEATR1,-0.00738483198421775
222,ZFAND2A,-0.006168855896393533
223,ALDOA,0.004130721322785956
224,PDS5B,-0.006145081210164467
225,KPNA4,0.007763889867953387
226,EIF4A1,-0.0009014532215964461
227,UBE2L3,0.013242650910487746
228,RASAL2,-0.0015593165089845538
229,PPIE,-0.02004444243197154
230,MRPS2,0.008653462581857702
231,YTHDF2,-0.003204395442901601
232,PPIH,0.017266919634429192
233,ARHGEF12,0.012157069433584062
234,SDAD1,-0.022152012571331432
235,CTNNA1,0.008930950117898516
236,TOMM22,0.002420941006893731
237,EIF3J,0.0036927323151098655
238,PGAM1,-0.007051982319543404
239,EPS15,-0.002690989120132883
240,PSMA6,0.016957259576558487
241,CORO1C,0.013773296181223896
242,RTCB,-0.002999818927800729
243,CALM2,0.011644427207642088
244,TMEM199,-0.02366112716853866
245,AHCYL1,0.02906314145520364
246,PTRH2,0.0209963537413354
247,LARS,-0.015804241741591174
248,PSIP1,-0.006134600938076632
249,CBX3,0.010230427528037992
250,DOP1B,-0.007096881036043463
251,SUB1,0.007261615177913117
