,first degree neighbors,feature_importance
0,PTPRG,0.0
1,FAS,-0.012224326937519226
2,PTPRB,-0.0
3,FZD4,0.0
4,SPSB3,0.0
5,SGPL1,0.0
6,SHC1,-0.0
7,AP1B1,0.0
8,MUC1,-0.0
9,LDLR,-0.0
10,CTNNA1,0.0
11,RAB20,0.004979434756308628
12,HGF,-0.0004859784202063838
13,AP2B1,0.061036798984257255
14,HNRNPH1,-0.0
15,PTPN11,-0.0
16,RRAD,-0.0
17,SOS1,0.008494395792540325
18,MUC20,0.0
19,EGFR,0.0
20,PIK3R3,-0.0
21,PTPRK,-0.0005538774726348258
22,HSPA8,-0.027888858720143996
23,ITGB4,0.0
24,CLCN4,-0.01025343384700202
25,SFPQ,-0.005220801515070403
26,INPPL1,-0.0
27,PTPN1,2.5565221682545527e-05
28,MST1R,0.0
29,GNG12,-0.0
30,ATP1A1,0.0
31,ATP5F1A,0.0
32,KDR,-0.0
33,CASP3,0.003095058400991903
34,ANKRD40,0.001337308534387255
35,PTPRJ,-0.010901409288432756
36,DNAJA3,-0.0
37,INSR,0.002877444787340456
38,STAT3,-0.0
39,CD44,0.0
40,YES1,0.0
41,SOCS2,-0.0
42,RANBP9,0.0
43,CTNNB1,-0.013727339487523157
44,SLC7A5,-0.0
45,ATP2B4,3.179198780354742e-05
46,HSPA9,-0.0
47,JAK1,-0.01142748954270589
48,PLXNB1,-0.0
49,YWHAZ,-0.0
50,PLXNB3,-0.0
51,GRB2,-0.005143749356068053
52,LYN,-0.00983576672331457
53,HSPA4,-0.0
54,ATP2A2,0.0
55,ARMC8,0.0
56,LRIG1,0.01996063645636213
57,HSP90AA1,-0.0
58,SPSB1,-0.0013965510081241563
59,TGFBR3,0.0
60,CRK,-0.008645776443318591
61,ERBB3,-0.0048959567681009135
62,HSPA5,0.0
63,SRC,0.0
64,SNX2,0.0
65,HLA-A,0.010278174164638372
66,PIK3R1,0.0002780306581875176
67,PLXNB2,-0.0
68,CTTN,-0.014072478246675157
69,GAB1,-0.0027885936741232865
70,GGA3,-0.0
71,STT3B,-0.0
72,MET,0.0
73,XRN2,0.0
74,DCN,0.0003074124127381947
75,YTHDF1,-0.0
