,first degree neighbors,feature_importance
0,PTPRG,-0.0
1,FAS,-0.00012166486617056793
2,PTPRB,0.0
3,FZD4,-0.003315442136931185
4,SPSB3,-0.0027993113216752993
5,SGPL1,-0.0
6,SHC1,0.0
7,AP1B1,0.0
8,MUC1,0.0017509695187649785
9,LDLR,0.0
10,CTNNA1,0.0
11,RAB20,0.0
12,HGF,0.00019809671002580463
13,AP2B1,-0.0
14,HNRNPH1,0.001208953073143125
15,PTPN11,-0.0028276728998856324
16,RRAD,-0.0008280927819551871
17,SOS1,0.002026403485728774
18,MUC20,-0.0027891994624067076
19,EGFR,-0.0007372579666992606
20,PIK3R3,0.0034748063810671557
21,PTPRK,-0.0023861286654265315
22,HSPA8,-0.0
23,ITGB4,-0.00034163814817924953
24,CLCN4,-0.0
25,SFPQ,0.0
26,INPPL1,0.0
27,PTPN1,-0.0012628070459265164
28,MST1R,0.0
29,GNG12,-0.0014500066638306662
30,ATP1A1,0.0019702982579662617
31,ATP5F1A,-0.0
32,KDR,-0.0
33,CASP3,0.0
34,ANKRD40,-0.0016109169234455793
35,PTPRJ,-0.0
36,DNAJA3,0.00026910510598831264
37,INSR,0.0
38,STAT3,0.0007023743274837343
39,CD44,-0.0
40,YES1,-0.0004581909521063002
41,SOCS2,0.00042304545322164786
42,RANBP9,-0.004436053910183827
43,CTNNB1,-0.0022456648632828585
44,SLC7A5,-0.0035304860520490003
45,ATP2B4,-0.003537402025786811
46,HSPA9,-0.0
47,JAK1,0.0
48,PLXNB1,-0.0
49,YWHAZ,0.001948135373902245
50,PLXNB3,0.000715608215733821
51,GRB2,-1.864184621144957e-05
52,LYN,0.0013367857235605878
53,HSPA4,0.0006520298143690166
54,ATP2A2,-0.002003178931231113
55,ARMC8,0.0
56,LRIG1,0.0
57,HSP90AA1,-0.0
58,SPSB1,-0.0
59,TGFBR3,-0.0006345835039738615
60,CRK,0.0021887056181770213
61,ERBB3,-0.0
62,HSPA5,0.009426989304888223
63,SRC,-0.0016946860383780103
64,SNX2,0.0
65,HLA-A,-0.0
66,PIK3R1,-0.001791281548955468
67,PLXNB2,0.0011221810363324662
68,CTTN,-0.0011713383905047384
69,GAB1,-0.0
70,GGA3,-0.0014519820229338461
71,STT3B,0.005300846690831941
72,MET,0.0
73,XRN2,-0.0015466627505370755
74,DCN,-0.002074336531881421
75,YTHDF1,0.0013683586347698778
