,first degree neighbors,feature_importance
0,ROBO1,-0.0
1,RPS6,-0.0
2,RPTOR,-0.0
3,SEPT5,-0.0
4,TAB2,-0.0
5,RALGPS2,0.0
6,TLE1,-0.0
7,BACE1,0.0
8,LARP1,-0.0
9,DENND4A,-0.0
10,ATXN2,0.0
11,SRI,-0.0
12,PPP4R3B,0.0
13,BPTF,-0.0
14,UBR1,-0.0
15,FNBP1,0.0
16,STRN3,-0.0
17,VAMP2,-0.0
18,ARHGEF7,-0.0
19,STRN,-0.0
20,VCP,0.0
21,USP46,-0.0
22,SMARCC2,0.0
23,GRM1,-0.0
24,HMGB1,-0.0
25,DMTN,0.0
26,SEPT4,0.0
27,KIF3B,0.0
28,TP53BP2,-0.0
29,PPM1H,-0.0
30,ZMYM3,-0.0
31,RASA2,-0.0
32,CSTF3,-0.0
33,MOB4,-0.0
34,WDR37,0.0
35,CEP131,0.0
36,ERC1,-0.0
37,NF1,0.0
38,KHSRP,0.0
39,HDAC5,-0.0
40,PTPN14,-0.0
41,SMARCA1,-0.0
42,TBC1D22A,-0.0
43,SEPT6,-0.0
44,HUWE1,0.0
45,CRTC3,-0.0
46,KCNA2,0.0
47,GOLGA4,-0.0
48,USP8,-0.0
49,MYOG,0.0
50,FBXW11,-0.0
51,NCKAP1,0.0
52,NCOA2,0.0
53,PPFIA1,0.0
54,GRIN1,0.0
55,SOD1,-0.0
56,PPP2R1A,0.0
57,NLGN1,0.0
58,PALM,0.0
59,ZNF470,-0.0
60,SPTBN1,-0.0
61,R3HDM1,0.0
62,R3HDM2,-0.0
63,SH3PXD2A,-0.0
64,YWHAE,0.0
65,CALM3,-0.0
66,STX1A,0.0
67,TSC2,0.0
68,CADPS2,-0.0
69,MTOR,-0.0
70,ARID1A,-0.0
71,IPO8,0.0
72,USP34,0.0
73,TLE4,0.0
74,DLG3,-0.0
75,NSL1,-0.0
76,CCT8,0.0
77,DNAJC7,-0.0
78,SAMD4B,-0.0
79,TBPL1,0.0
80,SMAD2,-0.00034392779273354493
81,HGS,0.0
82,PLCG1,-0.0
83,PLEKHA5,-0.0
