,first degree neighbors,feature_importance
0,ROBO1,0.001786581818046347
1,RPS6,-0.0032268998382278245
2,RPTOR,0.0
3,SEPT5,0.0
4,TAB2,0.003233342602052504
5,RALGPS2,-0.0010869399982977941
6,TLE1,0.0
7,BACE1,0.0011952993167434224
8,LARP1,0.0
9,DENND4A,0.005313859495741963
10,ATXN2,-0.0
11,SRI,0.0
12,PPP4R3B,-0.0
13,BPTF,0.0
14,UBR1,-0.0007511139340528004
15,FNBP1,-0.0006191659119623085
16,STRN3,-0.0
17,VAMP2,0.0
18,ARHGEF7,-0.0
19,STRN,-0.0
20,VCP,0.0
21,USP46,0.0
22,SMARCC2,0.0
23,GRM1,-0.0
24,HMGB1,0.0
25,DMTN,0.0
26,SEPT4,0.0
27,KIF3B,-0.0
28,TP53BP2,-0.0
29,PPM1H,-0.0
30,ZMYM3,0.0
31,RASA2,-0.0
32,CSTF3,0.0
33,MOB4,-0.0
34,WDR37,-0.0
35,CEP131,0.0
36,ERC1,0.0
37,NF1,0.012409898590518218
38,KHSRP,0.0
39,HDAC5,-0.0
40,PTPN14,0.004793554491138303
41,SMARCA1,-0.0
42,TBC1D22A,0.008092651129770801
43,SEPT6,0.0
44,HUWE1,0.0
45,CRTC3,-0.0
46,KCNA2,-0.0
47,GOLGA4,-0.0
48,USP8,-0.0055192595216261445
49,MYOG,-0.0
50,FBXW11,-0.002102520643593054
51,NCKAP1,0.008225041752251836
52,NCOA2,-0.0
53,PPFIA1,0.004679911284919485
54,GRIN1,-0.0
55,SOD1,0.0
56,PPP2R1A,0.0
57,NLGN1,-0.003995433923644903
58,PALM,0.0
59,ZNF470,0.0
60,SPTBN1,0.0
61,R3HDM1,-0.0
62,R3HDM2,0.0
63,SH3PXD2A,0.0
64,YWHAE,-0.008643375485848991
65,CALM3,-0.0016682936742474744
66,STX1A,-0.0030052756971181275
67,TSC2,-0.0
68,CADPS2,0.0
69,MTOR,-0.0
70,ARID1A,-0.0069620183846029965
71,IPO8,-0.0
72,USP34,0.0
73,TLE4,-0.004714316960250987
74,DLG3,0.0
75,NSL1,0.0017565997037712468
76,CCT8,0.0
77,DNAJC7,-0.0
78,SAMD4B,-0.0
79,TBPL1,-0.0
80,SMAD2,-0.0
81,HGS,-0.0
82,PLCG1,-0.0
83,PLEKHA5,-0.0
84,CRIPT,0.0
85,TTC28,0.0
86,POU2F1,0.0
87,MAP2K2,0.0010087933055856113
88,MAPK1,-0.0
89,PKP2,0.011155300035478802
90,ZIC3,-0.004745665122637278
91,PPP5C,0.002293898421872655
92,SORBS2,-0.0
93,SSB,-0.0
94,KLHL20,-0.010718757207643205
95,SEPT11,0.0
96,NADK,0.0
97,KIF1C,0.0
98,DENND1A,0.0
99,RICTOR,0.00823022666695046
100,PPP2R5D,0.0
101,LTN1,-0.0
102,HSP90AA1,-0.0
103,NCKIPSD,-0.0
104,ADGRL1,-0.0
105,GNAO1,0.0
106,RILPL1,0.0033002389945972583
107,MARK3,-0.0
108,CDK16,-0.0
109,NCAM2,-0.0
110,BTRC,-0.0
111,NELFB,-0.0
112,POLG,-0.00019260423419025565
113,ZC3H14,0.0
114,SDC3,0.00535403128100223
115,YLPM1,0.0
116,NOL10,-0.0
117,NSF,0.0
118,AMPD2,-0.0
119,CANX,-0.0
120,ABL1,-0.0
121,RAF1,0.003977279609902834
122,ADGRL3,0.0
123,NCS1,0.0
124,FOXO3,0.0
