,first degree neighbors,feature_importance
0,RAB5C,0.0
1,BNIP3,0.0
2,CDS2,0.0
3,HIGD2A,0.0
4,CDC25B,-0.0
5,RPTOR,-0.0
6,PAFAH1B1,-0.0
7,MAPK3,-5.299403998717184e-05
8,FAF1,0.0
9,CSNK2A1,-0.0
10,TRMU,0.0
11,KDM3B,-0.0
12,COQ4,-0.0
13,KDM3A,-0.0
14,RAP1A,0.0
15,TUBG1,0.0
16,VPS39,-0.0
17,AP1G2,-0.0
18,KRT8,-0.0
19,ATXN2,-0.0
20,RNF115,-0.0
21,PGRMC2,-0.0
22,RPL9,-0.0
23,AGPAT5,0.0
24,MTMR2,-0.003578374979451109
25,MARCH6,-0.006566617079110818
26,MRPL58,-0.0
27,SUMF1,-0.0
28,TOP2B,-0.0
29,RPP30,0.0
30,STIP1,0.0
31,RPS19,-0.0
32,VCP,-0.0
33,SH3KBP1,0.0
34,NR3C1,-0.0
35,LATS2,-0.0
36,CARM1,-0.0
37,NOC2L,-0.0
38,GK2,-0.0
39,POLR3D,0.0
40,MRS2,-0.0
41,DMTN,-0.0
42,WIPI1,0.00038933466133681704
43,INTS2,0.0
44,COG8,0.0012099261935010633
45,DUSP6,0.0033479836623259212
46,CLIC1,-0.0
47,DCAF7,0.0
48,WDR37,-0.0
49,MAST1,-0.0
50,DNM1L,-0.0013423071839517907
51,TCP11L2,-0.0
52,TIGAR,-0.0
53,PDE4DIP,-0.0
54,SMU1,-0.0
55,NF1,-0.00022540320722436364
56,ATL3,0.0
57,PTPN14,-0.0
58,MFN2,-0.0
59,WDR12,0.0
60,TOR3A,0.0058245905191633245
61,PHB2,0.0
62,EXOC8,-0.0
63,BCAS3,0.0
64,PEX19,0.0
65,SUPT5H,-0.0
66,UBXN2B,-0.0
67,SRPK1,0.0
68,CERS6,-0.0
69,IKBKE,0.0
70,CDK11A,-0.0
71,CLN6,-0.0
72,PPP2R2B,0.0
73,ADSL,0.0
74,GCDH,-0.0
75,MAP2K7,-0.0
76,CNKSR1,-0.0
77,PSMD13,-0.0
