,first degree neighbors,feature_importance
0,ARL8A,0.050108015857082876
1,STK4,-0.00449751407225714
2,RAB5C,0.02979634074983736
3,MMD,0.1481896240576495
4,PSMD10,-0.054029431900352955
5,RBPMS,-0.05816939824039133
6,HSD17B10,-0.0518235569809292
7,JAGN1,0.0738191018777224
8,PAFAH1B1,0.06079674263799305
9,MAPK3,-0.0006436070697202832
10,FAF1,0.012801854889132646
11,CSNK2A1,-0.021172237277497893
12,UTP25,0.05110557536155852
13,CNIH4,0.023581180730996073
14,ARF3,-0.036889257082621876
15,RAP1A,0.017523491982413472
16,SLC25A24,-0.006428307367497207
17,ADAM10,-0.010648405878975342
18,RNF115,0.008820207792040931
19,PGRMC2,0.003294977644993493
20,RPL9,0.01723026317078244
21,DNAJC8,-0.007476957902822642
22,MRPL58,0.07677954751665382
23,TOP2B,-0.015139602608377782
24,STIP1,-0.0037156518844254777
25,HIP1R,0.0023083282355990226
26,GCLC,0.014322566177922987
27,RPS19,0.07985279694150475
28,LYPLA1,0.03336782435491667
29,AGFG1,0.03525399802583747
30,VCP,-0.042379754924956464
31,EIF4G2,-0.05274587306474165
32,SH3KBP1,0.04519580840493977
33,LATS2,0.0021188000907038204
34,NOC2L,-0.02856848633939775
35,ARPC1A,0.056689577709071626
36,POLR3D,0.029932405065862033
37,UBE2V1,-0.025476153511528925
38,YPEL5,0.0047502559321554545
39,P4HB,-0.06412404210184283
40,SSSCA1,-0.12899823127024707
41,CLIC1,-0.011075238500828708
42,DNM1L,0.02889669567142295
43,TCP11L2,0.027446578091216697
44,NDUFA9,-0.013692057198400163
45,TIGAR,0.06422879717022734
46,PDE4DIP,-0.041319820820529284
47,SMU1,0.00942785831896215
48,EXOC6,0.012805145670637723
49,SBF2,0.020157624586143334
50,ADPGK,-0.04592594815291223
51,ATL3,0.04564853735110028
52,STT3A,-0.004769886948669243
53,WDR12,0.07375638260405079
54,METTL6,0.0138197522321152
55,PHB2,0.019968291033558218
56,TALDO1,0.026024934854211958
57,CDT1,-0.08476764106504153
58,BCAS3,0.023847975842553732
59,CFL2,-0.03589320791447813
60,GCLM,0.010365927860149475
61,PPP1R12A,-0.018984869641741883
62,SUPT5H,0.0045102959161633744
63,RGL3,-0.055665868896734735
64,UBXN2B,-0.03976435174796676
65,PPIL1,0.052044294085116155
66,SRPK1,0.016242744791915717
67,APBB1IP,-0.03326678987293743
68,LETM1,0.004894889959730714
69,PPP2R2B,-0.06098257015434006
70,ADSL,-0.0819643447787768
71,SNU13,-0.04319848884035094
72,RPL27A,0.00032363936079366244
73,COPZ1,-0.01799692732720233
74,RPL14,0.0009544468250472652
75,PSMD13,-0.03587104937747999
76,PIP4K2A,0.0005359282113795605
77,TCP1,0.05686152806669292
78,B3GAT3,0.013343136085782388
79,CYTH1,-0.006091933987261289
80,TXNL1,-0.06199204901468236
81,EIF2S2,0.04207353758789371
82,RMND5B,-0.011474971099766718
83,NADK2,-0.004452016654404938
84,GIT2,-0.007780463060427421
85,NDRG1,0.010599033509601417
86,TIMM44,0.009468334058642088
87,PGS1,0.008251756962215955
88,TRAF6,0.05203957627281481
89,CSNK1E,0.03827209346799418
90,DDX21,-0.042119562160834026
91,ALDH9A1,0.02231620430050197
92,TTC1,0.03453289140870206
93,MPHOSPH10,0.00784771605952084
94,IARS,-0.00218020857014452
95,PCBP2,-0.014576222962620306
96,BRIX1,0.03363563320804955
97,NLN,-0.03487078247064479
98,GLOD4,0.015875633623537333
99,DEGS1,-0.0033104481812669616
100,PDXDC1,-0.013375173479038134
101,ARHGAP11A,0.017996588148079567
102,TFAM,-0.004637170009732241
103,TMEM50A,-0.004313138172175817
104,S100A6,0.024297995865380062
105,CHMP6,-0.02768757009805675
106,FSCN1,0.04256446035944944
107,HMGCS1,-0.02990055904820471
108,FLOT1,-0.021063560564591677
109,COPS3,-0.01964626665284404
110,RHOA,-0.008255837404988198
111,PYCR2,0.007280680780006552
112,ANKFY1,0.037449418479173845
113,DEAF1,0.0028021595967229118
114,NDUFA5,-0.020529437856984377
115,MCCC1,0.03619005335983766
116,GMFB,-0.030327685479791595
117,SDHC,-0.0005425118952748952
118,EWSR1,0.036641153780215145
119,WDR46,0.0019354100668700562
120,RAB18,-0.022696233691984213
121,YRDC,-0.01873328014067747
122,PGM3,-0.00023381386083369088
123,PDIA4,0.024811038605581225
124,RPL18A,0.008961777740269548
125,UFD1,0.010606736218244702
126,ZNF207,-0.01863611897093491
127,ELOC,-0.02820204555329506
128,RPUSD2,0.001332951305064616
129,SFPQ,-0.045385272432583154
130,CCT2,-0.005356254274367717
131,MED17,0.025408301282766305
132,TSR1,0.007558296526321175
133,DUS2,-0.02856439260478486
134,PRDX6,0.019439903487063277
135,HIKESHI,0.016148845323998916
136,IPO5,0.07425885770041069
137,ROCK2,0.014392340979527008
138,ATOX1,0.02166124472071721
139,RER1,-0.0590693806054809
140,RBX1,0.006046178206020641
141,SPTAN1,0.030305907507696173
142,TMEM50B,-0.004343095673386833
143,RPL35,0.0034196393042915567
144,DDX47,-0.01691598898224587
145,KRAS,0.0790646719131351
146,NAXE,0.02025248984629749
147,MCTS1,0.0266699065430196
148,EXOSC2,-0.0010216680421201406
149,RPS21,-0.0038541138751519576
150,AIFM1,-0.010931761953955794
151,AGAP1,0.01478174308400742
152,EIF4G1,0.008627174103760873
153,GLTP,-0.016146288996294604
154,RPL4,0.011284430696501414
155,RNMT,-0.015531683470658508
156,PSMA7,-0.017853129840139387
157,EIF5A,0.01937494482088672
