,first degree neighbors,feature_importance
0,ARL8A,0.012620278302757816
1,STK4,0.006423529835698336
2,RAB5C,-0.006963596007149648
3,MMD,0.0004915115375558598
4,PSMD10,-0.0052214046012957925
5,RBPMS,0.006158750174876198
6,HSD17B10,-0.012459435278562274
7,JAGN1,4.806429190662016e-05
8,PAFAH1B1,0.011723201884021553
9,MAPK3,-0.009090391868106272
10,FAF1,-0.0034792218168430396
11,CSNK2A1,-0.004060843658952917
12,UTP25,0.007309605428629054
13,CNIH4,-0.006440308514642055
14,ARF3,0.018428972191424187
15,RAP1A,-0.01133664544991073
16,SLC25A24,-0.009676459288457031
17,ADAM10,-0.012404368102420054
18,RNF115,-0.004343814679721121
19,PGRMC2,0.010768509190251865
20,RPL9,0.008945094274504082
21,DNAJC8,0.01611656624567562
22,MRPL58,0.001477283560506849
23,TOP2B,-0.0024650855521373975
24,STIP1,0.005327134381166013
25,HIP1R,-0.005111815597748857
26,GCLC,0.008286571709444584
27,RPS19,0.00016255529151569783
28,LYPLA1,0.005524842871770797
29,AGFG1,-0.004164437629735497
30,VCP,-0.0011578039521198482
31,EIF4G2,-0.005335236081191074
32,SH3KBP1,-0.007746830075903977
33,LATS2,-0.012825363759347366
34,NOC2L,0.008533585686579427
35,ARPC1A,0.006002378494886992
36,POLR3D,-0.008368467105694053
37,UBE2V1,-0.020000647831196487
38,YPEL5,0.0025014739942920703
39,P4HB,-0.0028135817155136144
40,SSSCA1,-0.004630153243035387
41,CLIC1,-0.002664534583623736
42,DNM1L,0.006345768955264948
43,TCP11L2,-0.004009131463936199
44,NDUFA9,0.005836596918831189
45,TIGAR,-0.0177518770201713
46,PDE4DIP,-0.0012505119600976853
47,SMU1,0.0027992589172951307
48,EXOC6,-0.01239164879555139
49,SBF2,0.0022800719891927345
50,ADPGK,-0.0215140454380602
51,ATL3,-0.010037270278444591
52,STT3A,-0.0015807587727256673
53,WDR12,-0.004803293595235425
54,METTL6,0.00426824913789754
55,PHB2,-0.009430573171934572
56,TALDO1,0.001240237028442962
57,CDT1,-0.011132943070301717
58,BCAS3,0.0015331072402063998
59,CFL2,-0.012092042343292862
60,GCLM,-0.004322891204942337
61,PPP1R12A,0.011441983984055456
