,first degree neighbors,feature_importance
0,CCT3,2.7465229768866506e-05
1,VRK2,0.0
2,STK4,0.00041544111576575414
3,RAB5C,0.00017249858930129888
4,NAE1,0.0
5,TAF2,3.590633964773924e-05
6,ATL1,0.00023639980102621388
7,CDS2,0.002193741591541723
8,CDC42BPB,0.00013521659357641134
9,NRBP2,2.9326331072968082e-05
10,RPS6KA1,4.17457375733986e-05
11,EIF4E2,2.1298235587011262e-05
12,PIKFYVE,2.8615390877098466e-05
13,RPTOR,0.0
14,EIPR1,4.9492445792888274e-05
15,MAP3K4,0.0
16,EGFR,5.0021891855667044e-05
17,PAFAH1B1,0.0
18,MAPK3,0.000302800063179495
19,PLD2,4.897979173501274e-05
20,CSNK2A1,6.200857477274289e-05
21,TLE1,1.594371364929036e-05
22,RALGPS2,0.00020099498509738511
23,MAP2K4,0.0
24,CKAP5,9.412494966123598e-05
25,MAGI1,6.272175912610269e-05
26,SMAP2,0.0
27,RAP1A,0.0025183558708487246
28,DNM2,4.8093039400122184e-05
29,PINK1,0.0001262731370534403
30,LARP1,1.2899247198085264e-05
31,EAF1,2.1215427856582025e-05
32,TUBG1,1.8695544343589995e-05
33,PRMT5,0.0
34,NPY5R,0.09449296847088198
35,MYO1D,2.4103044458132243e-05
36,DENND4A,5.0713832952298404e-05
37,XPOT,0.0
38,AP1G2,2.6983670068836706e-05
39,PRKCE,0.00011489931405929807
40,CDK3,0.00014855994459057678
41,CSNK2A3,0.0
42,LPCAT2,0.0
43,BPTF,6.541223582815087e-05
44,MTMR2,3.7020335388415046e-05
45,MARCH6,0.0
46,EPHB2,0.0
47,DYNC1I1,1.2414989051568301e-05
48,PITHD1,0.0
49,STRN3,0.0
50,TOP2B,0.0
51,CCNY,8.101749363095386e-06
52,ARHGEF7,0.00018230560179871788
53,STRN,0.0002183006632627247
54,CHEK2,0.0
55,PAK1,8.250903125542988e-05
56,SEC24B,0.0
57,TOP3B,1.607101655185112e-05
58,CCT5,4.4762438460803055e-05
59,KIF21A,0.0
60,LATS1,0.0006472673850925488
61,PAXBP1,0.003804614573347683
62,ITPKC,0.0
63,SIPA1L1,0.0
64,HMGB1,0.0
65,TXNDC17,0.0
66,HIPK1,0.00018390559644945032
67,DMTN,3.2758727597894376e-05
68,TP53BP2,4.207093703117146e-05
69,PPM1H,9.006100345886555e-05
70,RAP2B,2.4380760703999256e-05
71,WIPI1,7.115822692841346e-05
72,MTMR1,0.00222219578226357
73,RASA2,0.0
74,OXR1,0.0
75,CAMKK2,9.168706301511312e-05
76,DUSP6,0.00017425538367014077
77,DCAF7,7.365647748533255e-05
78,MAST1,0.001222278087166907
79,STK3,3.6960646651033635e-05
80,TCP11L2,6.388318786045808e-05
81,CEP131,4.088397469987492e-05
82,ERC1,0.0003282801417462602
83,TBC1D22B,3.696770560397584e-05
84,RAB10,5.9989986357065175e-05
85,DNM3,0.0003064606974299945
86,LBR,0.00016836395836212885
87,NBEA,0.0021291540282636933
88,NF1,0.0
89,SMN2,3.598160607987286e-05
90,DGKH,0.0078592856502564
91,HDAC5,9.545005082453326e-06
92,ATL3,0.0
93,PTPN14,0.0
94,KARS,9.522084675675539e-06
95,TBC1D22A,0.00011714080640666518
96,SEPT6,0.0
97,VRK1,3.9673441650193994e-05
98,EXOC8,0.0
99,BCAS3,0.00019055466534236305
100,PEX19,3.9185689141552524e-05
101,USP13,6.258066383924912e-05
102,ERN1,2.478719610728669e-05
103,PPIP5K1,3.420456932603373e-05
104,CRTC3,4.757293281350668e-05
105,SRPK1,0.0013878044506845
106,CDK11A,0.0
107,USP8,1.858365466872683e-05
108,FBXW11,2.559086157990199e-05
109,NCKAP1,0.0
110,PPP2R2B,0.0
111,TATDN1,0.0
112,PPFIA1,0.0
113,H2AFZ,0.00016855243366920104
114,KLC3,0.00015135067255684116
115,CRKL,3.511726282954873e-05
116,LDB1,1.2153346869838066e-05
117,RBM39,0.0004977033462964883
118,WRAP53,6.737081548992151e-05
119,PURB,0.0
