,first degree neighbors,feature_importance
0,CCT3,0.0003794956055067278
1,UBB,0.016385552852082763
2,FURIN,0.00021005086838623454
3,RAB5C,0.0001696412116003043
4,H1FX,0.00011298987020601383
5,AP2A2,0.0
6,LGALS3,0.0028355052465670987
7,CLTCL1,0.0002392597720400325
8,NCL,7.002997266657042e-05
9,NUMBL,0.0
10,ABCD3,0.00018439711970541904
11,SRP9,0.00011229524373396519
12,HSD17B10,0.0
13,EGFR,0.00018111790170613726
14,PLD2,0.0
15,WNT4,0.0
16,PACSIN2,0.00010427136613567621
17,TLE1,0.0
18,HNRNPH2,0.0001893707440754991
19,STAM2,0.00030620184242769876
20,MAP2K4,0.00016074254794430713
21,RAB14,6.909140146584788e-05
22,PSMD2,0.016255293816007464
23,GNAI3,0.0
24,RPS15A,0.0
25,RAB11FIP3,0.00030164700794036255
26,NPM1,0.00010035273368606712
27,DNAJA1,0.00019085328449453952
28,DNM2,0.0
29,GRAP2,0.008946154753977023
30,EEA1,0.0
31,BACE1,0.0001059165889181068
32,HIST3H3,0.0
33,TNS3,0.0
34,SNX33,0.000809695194622272
35,MYO1D,0.0
36,XPOT,0.004376067727775018
37,PDIA3,0.00020331713970250383
38,AP1G2,0.0
39,SH3GL3,0.00020285108137056904
40,PRKCE,0.00020810132230286648
41,B2M,0.00041590127197862976
42,SREBF2,0.0001524083939346268
43,TXN,0.0
44,RPL38,0.0
45,ETFDH,0.0003858855968420816
46,NCAPG2,0.0
47,LRIG1,9.780878887297245e-05
48,EMD,0.00027587551177009594
49,SRC,0.0
50,HLA-A,0.0
51,SNRPA1,7.139598254965191e-05
52,ARHGEF7,0.0
53,CD2AP,0.0
54,TARS2,9.706584783350388e-05
55,SHC3,0.00015213903743315532
56,FDFT1,0.00011653695663483488
57,ARPC5,0.0
58,SLC3A2,0.0
59,PAK1,0.0
60,RAB11B,0.0
61,S100A11P1,0.0
62,SH3GL2,0.0
63,GLI3,0.0021729497422715975
64,RPS14,0.0003099664499169893
65,EEF1G,0.0
66,USP2,9.129267984661663e-05
67,S100A16,0.0
68,VCP,0.00026093975739999696
69,IKBKG,0.00739159946046433
70,DNAJC3,0.0
71,JUP,0.0
72,MAPK8,0.00018000598240280015
73,SH3KBP1,0.0
74,NR3C1,0.0002673202800996745
75,ARF4,0.0007687271494729855
76,HMGB1,0.0
77,ARPC1A,0.0003345091122868891
78,ITGA5,0.00018829261556386014
79,EEF1B2,8.299475150618902e-05
80,RPS20,0.0
81,PELO,0.002275849493012758
82,CTNND1,0.00037556050845168244
83,SNX6,0.0
84,P4HB,9.396539766990932e-05
85,SLC25A4,0.00020141592920354355
86,CLIC1,0.0
87,MOB4,0.0013305645360453895
88,TFRC,0.000247708250232806
89,OAT,0.0
90,ARF1,0.0015833476836188266
91,DNM1L,0.0
92,NDUFA9,0.0
93,RAB10,0.0008330317293925541
94,TM9SF2,0.00011309710751401251
95,SMU1,9.576836702471271e-05
96,ITGA3,0.00041462109537157815
97,ARHGAP1,0.0
98,TTC37,0.0013592487029817758
99,PLAA,0.0
100,SMAD5,0.001359341868404757
101,ATL3,0.0002517607109041088
102,STT3A,0.0
103,HSPD1,0.0007865754219617322
104,PLD3,0.00379687354279927
105,PIK3CB,0.0
106,AAAS,0.00026684475682413306
107,PHB2,0.0
108,SLC25A13,7.323011614104203e-05
109,HUWE1,0.0
110,VRK1,0.0
111,IGF1R,0.0
112,DHCR24,0.0
113,EXOC8,0.0
114,TBRG4,7.661552776625763e-05
115,PDK1,0.0001728449984284135
116,SEL1L,0.00011229524373396516
117,DAG1,0.0015682955485685076
118,PEX19,0.0
119,WASL,0.0
120,PCNA,0.00029670886399533585
121,CFL2,0.00020625731454773023
122,RPS3,0.012104770773807505
123,PPP1R12A,0.0
124,EPB41,0.0
125,NUP153,0.0
126,SND1,0.0010439170953550365
127,MGST1,0.003171743686660294
128,GSTK1,0.00032888604504440345
129,NOTCH1,0.0
130,IKBKE,0.00039780956343490913
131,CAV3,0.0
132,SRPK1,0.0073810414570601056
133,HBEGF,0.0004058188824627563
134,RPS26,0.0
135,NONO,0.0
136,USP8,5.107701851083842e-05
137,ROS1,0.0004416061024353194
138,SEC23B,6.269554201432173e-05
139,CBLB,7.526455026455035e-05
140,ITGB4,0.00020724606789789335
141,INPPL1,0.0
142,SCYL1,0.0
143,TNC,0.0
144,GDI2,0.00035414021904460246
145,CRKL,9.16205921394353e-05
146,BMP1,0.0
147,HCK,0.005180736916268883
148,RPL27A,0.0
149,RPN1,0.032211697779419526
150,PPP2R1A,0.0
151,CD44,6.729850739226578e-05
152,ARFGEF1,0.0
153,AFG3L2,0.0010537224682826633
154,STAT5A,0.0017803982959921534
155,DERL1,0.00023000421332967035
156,ATP2A2,0.00010679081534640081
157,CRK,0.0003413223994296896
158,TNPO2,0.00022006977496418802
159,DLST,0.00022502844307706828
160,TBK1,7.182294780816701e-05
161,ARF6,0.0017168412379352743
162,PPP1R13B,0.00014592952047699876
163,SPTBN1,0.0010821134992528608
164,PKN2,0.007257825597194234
165,SNRPD1,0.0
166,CD59,0.00021422709069340002
167,DHCR7,0.0
168,TRAPPC3,0.00012148389492000646
169,IGFBP3,0.0005719265026089605
170,CISH,6.24911571195873e-05
171,CYTH2,0.00023276431053704483
172,TIMM50,0.0003090023527137573
173,YWHAE,0.0
174,CALM3,0.00017561728395061742
175,APPL1,0.0005305293453514773
176,DNAJB12,0.0
177,CSNK1E,0.0014584619110838504
178,ACTR2,0.0
179,RAP1GDS1,0.0
180,TOR1AIP1,0.00010251880502004399
181,FLNA,0.0
182,IARS,8.427382327675586e-05
183,YAP1,0.0
184,HNRNPU,0.00022258593588016254
185,ITCH,0.0
186,LMAN2,0.00046590446578044677
187,SEC13,0.0014489535614634075
188,EPRS,0.0
189,DEGS1,0.0
190,PDXDC1,0.003982916551155863
191,GNB2,0.0
192,CHMP4A,0.0008735765062253241
193,MTOR,0.007402235808337185
194,DNAJA3,0.0010971770526182715
195,TUBB,0.0002744434456524418
196,BACE2,0.0003951388888888893
197,PDGFRB,0.00032903082517356805
198,IPO8,0.0
