,first degree neighbors,feature_importance
0,CCT3,0.00015581345368579424
1,UBB,0.0
2,FURIN,0.0007538230229130303
3,RAB5C,8.700243606820999e-05
4,H1FX,0.00044829218519473843
5,AP2A2,0.0
6,LGALS3,0.0
7,CLTCL1,0.00031162690737158847
8,NCL,0.0
9,NUMBL,0.00034108417722263426
10,ABCD3,0.0
11,SRP9,0.0
12,HSD17B10,0.0003837196993754635
13,EGFR,0.0
14,PLD2,0.0
15,WNT4,0.010757661978900802
16,PACSIN2,0.0001450040601136833
17,TLE1,0.0
18,HNRNPH2,0.0
19,STAM2,0.0
20,MAP2K4,0.000138500847720706
21,RAB14,0.0006797702898495235
22,PSMD2,0.0
23,GNAI3,0.0
24,RPS15A,0.016091371798059254
25,RAB11FIP3,0.0
26,NPM1,0.0003743873672683944
27,DNAJA1,0.0
28,DNM2,0.0
29,GRAP2,0.0005090934625377437
30,EEA1,0.0
31,BACE1,0.0
32,HIST3H3,0.0005965881330391542
33,TNS3,0.0004127355639871746
34,SNX33,0.0
35,MYO1D,0.009677013242940355
36,XPOT,0.0005968973101396099
37,PDIA3,0.0
38,AP1G2,0.0
39,SH3GL3,0.0
40,PRKCE,0.00025709219858156054
41,B2M,0.00029981597502222804
42,SREBF2,0.0011923120182023475
43,TXN,0.0
44,RPL38,0.0
45,ETFDH,0.0
46,NCAPG2,0.0
47,LRIG1,0.00022852639873916495
48,EMD,0.00021415426787302
49,SRC,0.0
50,HLA-A,0.0
51,SNRPA1,0.0006475943102584511
52,ARHGEF7,0.013091330458795687
53,CD2AP,0.0003445296468301116
54,TARS2,0.0
55,SHC3,0.000881926866014637
56,FDFT1,0.00035614503699610116
57,ARPC5,0.0
58,SLC3A2,0.00049191865170864
59,PAK1,0.000617152345200731
60,RAB11B,0.0
61,S100A11P1,0.0
62,SH3GL2,0.0
63,GLI3,0.0
64,RPS14,0.0
65,EEF1G,0.0
66,USP2,0.0
67,S100A16,0.0004429442043041962
68,VCP,0.0
69,IKBKG,0.0005090934625377437
70,DNAJC3,0.0
71,JUP,0.00032625913525578744
72,MAPK8,0.003042650285227689
73,SH3KBP1,0.0
74,NR3C1,0.0
75,ARF4,0.0
76,HMGB1,0.00012087198718756928
77,ARPC1A,0.00011600324809094667
78,ITGA5,0.0
79,EEF1B2,0.0
80,RPS20,0.0
81,PELO,0.0
82,CTNND1,0.00019378808938308583
83,SNX6,0.0
84,P4HB,0.0
85,SLC25A4,0.0
86,CLIC1,0.02308363275280183
87,MOB4,0.0
88,TFRC,0.0006139515190007415
89,OAT,0.028705022743704324
90,ARF1,0.0
91,DNM1L,0.0
92,NDUFA9,0.0
93,RAB10,0.0
94,TM9SF2,0.0002982940665195772
95,SMU1,0.0
96,ITGA3,0.007495499316890534
97,ARHGAP1,0.0
98,TTC37,0.00011600324809094668
99,PLAA,0.0
100,SMAD5,0.0
101,ATL3,0.00022852639873916492
102,STT3A,7.853140850143111e-05
103,HSPD1,0.00044923864731460933
104,PLD3,0.0
105,PIK3CB,0.00022852639873916492
106,AAAS,0.0
107,PHB2,0.00038757617876617167
108,SLC25A13,0.0
109,HUWE1,0.00025520714580008264
110,VRK1,0.0003177890843314496
111,IGF1R,0.0
112,DHCR24,0.0
113,EXOC8,0.0
114,TBRG4,0.0
115,PDK1,0.0005616552598749737
116,SEL1L,0.0
117,DAG1,0.0
118,PEX19,0.0
119,WASL,0.0
120,PCNA,0.0001713947990543737
121,CFL2,0.00015581345368579426
122,RPS3,0.0
123,PPP1R12A,0.0
124,EPB41,0.0
125,NUP153,7.853140850143111e-05
126,SND1,0.00015432283538941918
127,MGST1,0.0
128,GSTK1,0.000277001695441412
129,NOTCH1,0.0
130,IKBKE,0.0003445121589032637
131,CAV3,0.0
132,SRPK1,0.0
133,HBEGF,0.00015581345368579424
134,RPS26,0.0
135,NONO,0.02858542925125225
136,USP8,0.00019378808938308586
137,ROS1,0.00030018450516614546
138,SEC23B,0.0005090934625377437
139,CBLB,0.0
140,ITGB4,0.0002159419064316893
141,INPPL1,0.013627698351996434
142,SCYL1,0.00017225607945163185
143,TNC,0.0
144,GDI2,0.0
145,CRKL,0.0005090934625377452
146,BMP1,0.0
147,HCK,0.0007390463784297921
148,RPL27A,0.00013050365410231498
149,RPN1,0.00023200649618189336
150,PPP2R1A,0.0
151,CD44,0.0
152,ARFGEF1,0.000277001695441412
153,AFG3L2,0.00017225607945163185
154,STAT5A,0.0
155,DERL1,0.0
156,ATP2A2,0.0001269003602438676
157,CRK,0.0
158,TNPO2,0.0
159,DLST,0.00032625913525578744
160,TBK1,0.02523550342193907
161,ARF6,0.0
162,PPP1R13B,0.00038757617876617167
163,SPTBN1,0.0
164,PKN2,0.0
165,SNRPD1,0.00040213958855226154
166,CD59,0.0
167,DHCR7,0.0
168,TRAPPC3,0.0
169,IGFBP3,0.0
170,CISH,0.0002661396756055898
171,CYTH2,0.0
172,TIMM50,0.0
173,YWHAE,0.0
174,CALM3,0.0
175,APPL1,0.00019311930504077886
176,DNAJB12,0.03758750144171215
177,CSNK1E,0.00017400487213642
178,ACTR2,0.0
179,RAP1GDS1,0.0002485783887663143
180,TOR1AIP1,0.00041761169312740787
181,FLNA,0.00011600324809094664
182,IARS,0.0
183,YAP1,0.000405446282246698
184,HNRNPU,0.00046629528779622227
185,ITCH,0.0006154574191368643
186,LMAN2,0.0
187,SEC13,0.0
188,EPRS,0.00019378808938308586
189,DEGS1,0.0
190,PDXDC1,0.0001998773166814853
191,GNB2,0.0
192,CHMP4A,0.00032625913525578744
