,first degree neighbors,feature_importance
0,CCT3,8.560525631631873e-05
1,UBB,0.00043013916377601565
2,FURIN,0.002437130818696669
3,RAB5C,0.0
4,H1FX,0.00014808585476261635
5,AP2A2,3.827003622748406e-05
6,LGALS3,0.0
7,CLTCL1,7.503125698384416e-05
8,NCL,8.635828732753973e-05
9,NUMBL,0.0029943544209304375
10,ABCD3,6.682560313734937e-05
11,SRP9,0.0
12,HSD17B10,0.0
13,EGFR,0.00011192967340567021
14,PLD2,0.0014932860132324634
15,WNT4,0.00037528955326803805
16,PACSIN2,0.0014182098466643254
17,TLE1,0.0001765010337096725
18,HNRNPH2,0.0
19,STAM2,0.0
20,MAP2K4,3.458725505596851e-05
21,RAB14,0.0002211599965443114
22,PSMD2,5.1951792667619366e-05
23,GNAI3,0.0
24,RPS15A,0.0006215150473454597
25,RAB11FIP3,0.00020673555469724722
26,NPM1,5.631229883761594e-05
27,DNAJA1,0.0003798590381522833
28,DNM2,5.505020882694237e-05
29,GRAP2,0.0001759983527466379
30,EEA1,0.0002897232284888824
31,BACE1,0.00030771316383397095
32,HIST3H3,0.00012765127027227554
33,TNS3,0.0006024861817699741
34,SNX33,0.00013931188083417685
35,MYO1D,5.663271625609531e-05
36,XPOT,0.0
37,PDIA3,0.0
38,AP1G2,0.0009395263935144435
39,SH3GL3,5.238066595466264e-05
40,PRKCE,2.5517265905947746e-05
41,B2M,0.0
42,SREBF2,7.895021250857837e-05
43,TXN,0.0
44,RPL38,2.3978149749041553e-05
45,ETFDH,5.121556210977527e-05
46,NCAPG2,0.00018220708575411647
47,LRIG1,6.786751902487132e-05
48,EMD,0.000590095094214019
49,SRC,0.0
50,HLA-A,0.0001294519673191307
51,SNRPA1,8.914885093283092e-05
52,ARHGEF7,0.0
53,CD2AP,8.841387945507321e-05
54,TARS2,6.057755734980309e-05
55,SHC3,8.336109795218973e-05
56,FDFT1,5.622939528073645e-05
57,ARPC5,0.0
58,SLC3A2,0.0004989138386863725
59,PAK1,4.138034811381138e-05
60,RAB11B,0.0
61,S100A11P1,5.877578034953027e-05
62,SH3GL2,0.0
63,GLI3,0.00010314083719210961
64,RPS14,0.0011559247197193542
65,EEF1G,2.8956572879365936e-05
66,USP2,0.00031421405916795666
67,S100A16,0.0
68,VCP,0.00028611486049205334
69,IKBKG,0.00026407595570052854
70,DNAJC3,0.00019777490167089475
71,JUP,0.000152304596353625
72,MAPK8,5.573398918465982e-05
73,SH3KBP1,0.0
74,NR3C1,8.117356008022188e-05
75,ARF4,8.151700270573521e-05
76,HMGB1,0.00017287709773704704
77,ARPC1A,0.000341251118162745
78,ITGA5,0.000284729032388715
79,EEF1B2,0.00012175180087163716
80,RPS20,0.00020321981381601513
81,PELO,7.926827206215263e-05
82,CTNND1,0.0
83,SNX6,0.0
84,P4HB,0.0004967036149698507
85,SLC25A4,5.631657912515286e-05
86,CLIC1,0.00165636268543581
87,MOB4,0.0
88,TFRC,0.0
89,OAT,0.00012156832899663137
90,ARF1,5.0088506054699765e-05
91,DNM1L,0.00025773703083898725
92,NDUFA9,0.00036876528887527457
93,RAB10,0.0
94,TM9SF2,6.732284854122417e-05
95,SMU1,0.03258061159998565
96,ITGA3,0.0
97,ARHGAP1,0.0012191959512203618
98,TTC37,4.190542259895823e-05
99,PLAA,0.0
100,SMAD5,6.148616658294529e-05
101,ATL3,1.2853677146063085e-05
102,STT3A,0.000235737173848673
103,HSPD1,0.0022461988435076912
104,PLD3,9.886470338647861e-05
105,PIK3CB,0.00023707496874323368
106,AAAS,0.0
107,PHB2,0.0002128183990162771
108,SLC25A13,5.4359670011378436e-05
109,HUWE1,0.0007360608098216981
110,VRK1,0.00020831599735265176
111,IGF1R,0.0002072306284911194
112,DHCR24,0.0
