,first degree neighbors,feature_importance
0,CCT3,0.0020246129394265525
1,ERBB2,0.003950384318337283
2,AP2A2,0.008461666756092157
3,SGPL1,0.0031224432462491083
4,SHC1,0.008192694533057073
5,HNRNPA2B1,0.03360326410826694
6,HIST1H4L,0.0023707116886161972
7,EGFR,0.0027107659289357824
8,HIST4H4,0.04044049182116358
9,HNRNPH2,0.005778017286591158
10,SLIRP,0.0050340663482661896
11,ANXA2,0.006016089066345252
12,ATP5F1C,0.00259308416717251
13,SLC25A1,0.005391915574857346
14,DNAJA1,0.004458988623663136
15,STAT3,0.004121750948261936
16,HIST1H4H,0.059482114449868576
17,YWHAQ,0.00682394121350459
18,MYL12B,0.0020023801287725315
19,HIST1H4C,0.0037466365816382513
20,TUFM,0.0043116296004776416
21,HSPA5,0.005168490467394292
22,RAB7A,0.003864914411354646
23,SLC3A2,0.004335132030322458
24,NFKBIA,0.005879878964148859
25,ATAD3A,0.003163079543582647
26,S100A11P1,0.002931648375492544
27,PHB,0.0044429416040973274
28,S100A16,0.003863531677637778
29,PKP2,0.00012798550610944917
30,DNAJC10,0.008128883048019921
31,HIST1H4A,0.007511107802894011
32,PPP2CB,0.005561085198920047
33,ARHGEF5,0.12715695953401515
34,UBE4B,0.0033078016737266187
35,SLC25A3,0.001496534552186857
36,SSR1,0.01139774184785505
37,RPS18,0.0030008905612876214
38,HIST1H4B,0.009322071113895184
39,NQO2,0.002455587284581128
40,HSP90AA1,0.007449468249284087
41,DNAJB8,0.014465181226250538
42,HIST1H4F,0.001703746517836685
43,DNAJB11,0.0031477923073614357
44,UAP1,0.0060667767516028445
45,LRPPRC,0.0044760382446274935
46,DNAJB6,0.00404471256920668
47,ACSL3,0.004870447543006885
48,PHB2,0.0038846700490467265
49,FGFR4,0.00011470402832887145
50,CDC42,0.0029400120629649662
51,HACD3,0.0042779418562419865
52,AP2B1,0.0035981196714810477
53,MGST1,0.0034418390355430086
54,UBA52,0.00426032132456828
55,HIST2H4A,0.00251388080025824
56,HIST1H4K,0.00628354903932527
57,SLC39A7,0.006791638195326253
58,CANX,0.0739691058657754
59,ATP1A1,0.004327636019613996
60,SEC61A1,0.07406964466060881
61,TIMM21,0.004661792540997071
62,HSP90AB1,0.004959989740293729
63,PPP2R1A,0.006950936014494734
64,YWHAZ,0.008491406393660427
65,ASS1,0.005089900302079819
66,ATP2A2,0.009103960647385254
67,PALB2,0.002451067247518993
68,ALDH3A2,0.003087607156888379
69,GNB4,0.0055565974454228435
70,CDC37,0.00451218773504182
71,RB1CC1,0.004103576301953167
72,DHCR7,0.005246940582313589
73,CCAR2,0.07381446103445162
74,TIMM50,0.0037634854468319026
75,YWHAE,0.003331518757958231
76,GNB1,0.004290198405270268
77,KDELR2,0.0046735728432809286
78,GPS1,0.0031870266400304444
79,MMP14,0.030427329183796915
80,PTPN12,0.005531089813029601
81,VAPA,0.002183730143999283
82,ERRFI1,0.00656419588845956
83,PPP2CA,0.003927936734206412
84,PPM1D,0.003161316675362125
85,HSPA8,0.0018399125888941053
86,HIST1H4J,0.0
87,ATP5F1A,0.00153427523022765
88,CASP8,0.0026289955078577284
89,GNB2,0.0011946271945480035
90,TMEM33,0.002736650965567288
91,GGCT,0.0019274710207843999
92,MYH9,0.004508671634853314
93,ARRDC3,0.0027431211872188245
94,PDGFRB,0.0019127427547681562
95,HSPA9,0.007662049019149896
96,CAVIN1,0.002456367466264556
97,HIST1H4D,0.0031961769787195557
98,GRB2,0.0029874106258698987
99,AURKA,0.006262620686974705
100,NDUFA4,0.003395376472281533
101,HIST1H4I,0.0034246095072212744
102,AP2M1,0.0035803837120743707
103,AHCY,0.025419861729420432
104,RPS2,0.0001928778688746875
105,BCAR3,0.002546985689597258
106,AHNAK,0.036654827256769315
107,DNAJA2,0.0036235668827106337
108,RPS4X,0.0023134761117150336
109,HIST1H4E,0.0017339776875654397
