,first degree neighbors,feature_importance
0,CCT3,0.0010801672311467137
1,ERBB2,0.0014597172446200865
2,AP2A2,0.002858344351964497
3,SGPL1,0.007631029732335532
4,SHC1,0.012761029918365356
5,HNRNPA2B1,0.0031395475478621423
6,HIST1H4L,0.0030920548792369726
7,EGFR,0.002910063221084961
8,HIST4H4,0.03983708101270055
9,HNRNPH2,0.003688188192217013
10,SLIRP,0.0025066146313080066
11,ANXA2,0.003179501002255781
12,ATP5F1C,0.0010155062699976176
13,SLC25A1,0.12516352404984843
14,DNAJA1,0.135009102031075
15,STAT3,0.0015775353879873874
16,HIST1H4H,0.002816908646694833
17,YWHAQ,0.002001196413925271
18,MYL12B,0.005558169767244476
19,HIST1H4C,0.0033420805325940785
20,TUFM,0.0016947260105160038
21,HSPA5,0.00922446295585706
22,RAB7A,0.0018060739388285761
23,SLC3A2,0.0007875305710377043
24,NFKBIA,0.003635821675084655
25,ATAD3A,0.005501565455612409
26,S100A11P1,0.002327911073723802
27,PHB,0.0014718338867834063
28,S100A16,0.005121942751330805
29,PKP2,0.0
30,DNAJC10,0.005710635962211841
31,HIST1H4A,0.0005580305922929414
32,PPP2CB,0.0032674335526567525
33,ARHGEF5,0.01458944899822072
34,UBE4B,0.0024301821640846646
35,SLC25A3,0.003698839191703489
36,SSR1,0.0009175045003715214
37,RPS18,0.010873916983791152
38,HIST1H4B,0.006814490641795563
39,NQO2,0.0020696484385303118
40,HSP90AA1,0.0025663992058055796
41,DNAJB8,0.0013270599143142146
42,HIST1H4F,0.009390872635360982
43,DNAJB11,0.02886976214575509
44,UAP1,0.0024434430922169272
45,LRPPRC,0.0037296182147445196
46,DNAJB6,0.0019341529855532225
47,ACSL3,0.01787401364424034
48,PHB2,0.0024051355638661964
49,FGFR4,0.002291881791124197
50,CDC42,0.0027155732834697978
51,HACD3,0.05929670804593888
52,AP2B1,0.004422851302062952
53,MGST1,0.0043115248241105105
54,UBA52,0.002233595367537894
55,HIST2H4A,0.012591340961069588
56,HIST1H4K,0.00046393782645015916
57,SLC39A7,0.03195997321719759
58,CANX,0.0019208454265545755
59,ATP1A1,0.10555488611490721
60,SEC61A1,0.00458430678480938
61,TIMM21,0.002021060637641227
62,HSP90AB1,0.0020278041545017927
63,PPP2R1A,0.0053517998168105966
64,YWHAZ,0.0029092432184059415
65,ASS1,0.011741946128187292
66,ATP2A2,0.0019648618816036625
67,PALB2,0.014776198484219969
68,ALDH3A2,0.0012699248924405338
69,GNB4,0.007148109603021873
70,CDC37,0.00934345034865469
71,RB1CC1,0.002476709704776223
72,DHCR7,0.009596984017352353
73,CCAR2,0.003004428737904677
74,TIMM50,0.0010048862503669038
75,YWHAE,0.008715693378400505
76,GNB1,0.0071681444221023075
77,KDELR2,0.005522096387090576
78,GPS1,0.003730834102256797
79,MMP14,0.0032474595513773477
80,PTPN12,0.004105113493737483
81,VAPA,0.003380367724699534
82,ERRFI1,0.00722326446855387
83,PPP2CA,0.004888297364735076
84,PPM1D,0.0036603260770004275
85,HSPA8,0.016643696224765036
86,HIST1H4J,0.0
87,ATP5F1A,0.002162193831857035
88,CASP8,0.005203494728969215
89,GNB2,0.0014776245734106233
90,TMEM33,0.003197689828702388
91,GGCT,0.00309104082051847
92,MYH9,0.006237746412390046
93,ARRDC3,0.0016782299371467197
94,PDGFRB,0.0041877608972827295
95,HSPA9,0.004892605820259448
96,CAVIN1,0.020208374180301532
97,HIST1H4D,0.0005609868973944395
98,GRB2,0.0019983164649558056
99,AURKA,0.0049804294938170495
100,NDUFA4,0.0034585482285506837
101,HIST1H4I,0.00802565022245644
102,AP2M1,0.003876130316377117
103,AHCY,0.005579900464443762
104,RPS2,0.0
105,BCAR3,0.004601652011055233
106,AHNAK,0.014332768460660977
107,DNAJA2,0.0017587085592297507
108,RPS4X,0.0050403085336102
109,HIST1H4E,0.004509894490015773
