,first degree neighbors,feature_importance
0,CCT3,0.002866758531600556
1,ERBB2,0.012842106150751865
2,AP2A2,0.04359688050060928
3,SGPL1,0.0013050849931862706
4,SHC1,0.00521835035652159
5,HNRNPA2B1,0.0001963799229359405
6,HIST1H4L,0.0014722705118195838
7,EGFR,0.0018873129447486729
8,HIST4H4,0.0038247385580358283
9,HNRNPH2,0.002586834080181534
10,SLIRP,0.1055983824715605
11,ANXA2,0.0027995061433711073
12,ATP5F1C,0.001266234232500077
13,SLC25A1,0.00537183891160463
14,DNAJA1,0.0019005677080362279
15,STAT3,0.0040652653370251285
16,HIST1H4H,0.002788360085157149
17,YWHAQ,0.002805897749591536
18,MYL12B,0.0026872047096034657
19,HIST1H4C,0.005516014606862838
20,TUFM,0.0035187477546039046
21,HSPA5,0.006049060285804894
22,RAB7A,0.0013073912594973262
23,SLC3A2,0.002486445252980723
24,NFKBIA,0.001956622984007307
25,ATAD3A,0.12141054803551427
26,S100A11P1,0.0005865545508917781
27,PHB,0.0025995011002120237
28,S100A16,0.0030885418047631665
29,PKP2,0.009428472637877735
30,DNAJC10,0.004377012716675443
31,HIST1H4A,0.004350512186743045
32,PPP2CB,0.0020976665934128538
33,ARHGEF5,0.004623521521220683
34,UBE4B,0.0011717948955232626
35,SLC25A3,0.0017865127905404457
36,SSR1,0.0021294584511072703
37,RPS18,0.009998453944936309
38,HIST1H4B,0.0036620107286340336
39,NQO2,0.0023240058734775556
40,HSP90AA1,0.00147689633749505
41,DNAJB8,0.009159027597616016
42,HIST1H4F,0.001444458865874235
43,DNAJB11,0.0016622965955206141
44,UAP1,0.0023305898159156784
45,LRPPRC,0.0027231933534938445
46,DNAJB6,0.0008653068210567569
47,ACSL3,0.024059441902827713
48,PHB2,0.08757596732279689
49,FGFR4,0.004551907150803031
50,CDC42,0.0022847426052065925
51,HACD3,0.0029876713842564304
52,AP2B1,0.0396830357555173
53,MGST1,0.0014810888797139557
54,UBA52,0.0028132720731482647
55,HIST2H4A,0.0013024118926530013
56,HIST1H4K,0.0005312379118940426
57,SLC39A7,0.0700319944007366
58,CANX,0.0038131864049772953
59,ATP1A1,0.0020444574775123374
60,SEC61A1,0.0
61,TIMM21,0.001997968169553023
62,HSP90AB1,0.0033327559823550686
63,PPP2R1A,0.004108609192054853
64,YWHAZ,0.0029200843593403035
65,ASS1,0.0035261035663770516
66,ATP2A2,0.0022972309123385024
67,PALB2,0.0018743203034811238
68,ALDH3A2,0.003401623547304925
69,GNB4,0.0006611894343570084
70,CDC37,0.018442144040782062
71,RB1CC1,0.02869434063346506
72,DHCR7,0.003830764605711719
73,CCAR2,0.0010855084491676811
74,TIMM50,0.003320159875772259
75,YWHAE,0.025176529814086194
76,GNB1,0.009781157496479601
77,KDELR2,0.0020873227685666348
78,GPS1,0.03749419223765318
79,MMP14,0.0058089434373326245
80,PTPN12,0.002035093089493697
81,VAPA,0.0018788117030264222
82,ERRFI1,0.02165748534791676
83,PPP2CA,0.032288784485390805
84,PPM1D,0.0039811045641521435
85,HSPA8,0.003446347316082974
86,HIST1H4J,0.006524416907020298
87,ATP5F1A,0.0028561787074418642
88,CASP8,0.0034970944701183926
89,GNB2,0.007130846353063216
90,TMEM33,0.0015530924938499328
91,GGCT,0.017171834972093947
92,MYH9,0.0013588494088146146
93,ARRDC3,0.001023708714447695
94,PDGFRB,0.003360244759527583
95,HSPA9,0.003153854835796954
96,CAVIN1,0.0006961344262432738
97,HIST1H4D,0.006939466624007796
98,GRB2,0.0038143048313522775
99,AURKA,0.00207617526423273
100,NDUFA4,0.009416393726462288
101,HIST1H4I,0.0013503246487801136
102,AP2M1,0.002012983446784989
103,AHCY,0.0031896003130661345
104,RPS2,0.0050973331118697885
105,BCAR3,0.0012430576196370815
106,AHNAK,0.0020650029667773602
107,DNAJA2,0.003056126629806273
108,RPS4X,0.022979530818000412
109,HIST1H4E,0.0009338601954200083
