,first degree neighbors,feature_importance
0,PLCG1,0.006154749853520914
1,LAMC1,0.0021752016576870974
2,FURIN,0.004757948150204646
3,FGF7,0.0020176012773315305
4,AP2A2,0.0030199651165100138
5,SHC1,0.0004901758280497667
6,NUCB1,0.018132201369169702
7,RPS6KA1,0.0029558098820875282
8,HSPG2,0.003365551096597464
9,RPS6KA3,0.011660179953320911
10,FGF1,0.007532325908785587
11,EIF2AK3,0.005586319692520021
12,INSR,0.006056103671951487
13,KRT10,0.016669805091105078
14,CTR9,0.011442423034474474
15,STAT3,0.006014389021925557
16,KPNB1,0.003670969698042739
17,CCNT2,0.00918913255248439
18,SNX33,0.0026715098443444063
19,FKBP5,0.0045876519699847166
20,TRIM3,0.004644063602614087
21,NRP1,0.001546990773846191
22,RTN3,0.003805860225485332
23,CNIH1,0.01039571774242886
24,PIK3R2,0.001228117892743196
25,ATG16L2,0.002329665792995628
26,FBXL2,0.001392691208092872
27,UBC,0.0039925586255126645
28,GRB14,0.0017563629163702321
29,BNIP2,0.001849746449641817
30,CLSTN1,0.005199126700706319
31,FGF2,0.001742131425261894
32,RAC2,0.0026296155378297114
33,STIP1,0.006867093311723546
34,SLC48A1,0.0014039130702768864
35,TCN2,0.0015824976235283388
36,SMOX,0.0039029784350020024
37,PTBP1,0.004481285094697484
38,ITGB5,0.004798569215809285
39,ORAI1,0.0032215274280507815
40,KRT7,0.0013687425243353566
41,CRIM1,0.003946422046153761
42,NEURL1B,0.0030286884000179193
43,MMP2,0.00046970950755831283
44,KLB,0.0018801366449537884
45,ITGA5,0.002568093906208431
46,SNX27,0.0014582922088920076
47,RAC1,0.0006355579107623736
48,HTR1B,0.002512898720674712
49,KIAA0319L,0.008792111532799933
50,ANOS1,0.01182150904020373
51,SMAD1,0.0019790679358306445
52,ICAM4,0.005597021778301897
53,CTNNB1,0.06370535194343545
54,LRIG3,0.005470744974033392
55,AFF4,0.004780291270496657
56,P4HB,0.005746573247209904
57,KL,0.004704241959359653
58,SOGA1,0.0009600501288687014
59,NCAM1,0.28063118101423823
60,MYO7A,0.0023264911176968848
61,PAPPA,0.001864274496804983
62,HSP90AA1,0.004046421344212409
63,ERBB3,0.0009540038432002139
64,FN1,0.0020978344545563776
65,PIK3R1,0.02243593178732667
66,SMAD5,0.000654145309435012
67,CREBBP,0.002462311067702396
68,SLC6A9,4.6534601934221595e-05
69,MEPCE,0.0016303325203031792
70,NCSTN,0.002758744739070005
71,LRCH1,0.008266405865115014
72,PXDN,0.001530084559051111
73,FDPS,0.0020471524458919245
74,PDPK1,0.02168126992468227
75,FGFR1,0.002617883871142197
76,NEDD4,0.001638413664237619
77,ITGA7,0.002779786932071479
78,DIAPH2,0.003270342715065209
79,HSP90B1,0.0010160144045197478
80,MAEA,0.002626974818041663
81,NPC1,0.013940864898610624
82,NCK1,0.010428878739661359
83,KRT14,0.0051543543786834135
84,BMPR1B,0.0010882381101406052
85,SLC12A4,0.0015598799088360996
86,JAK2,0.0024666335039885538
87,CTSB,0.026563059562957993
88,BMP1,0.002728002940237238
89,SETDB2,0.003304934461364075
90,NCK2,0.004639679905599354
91,EHD3,0.0021837109518521797
92,HSP90AB1,0.007992350915236798
93,RASA1,0.005807727378498194
94,FASN,0.0026752831296913333
95,FRS2,0.0004378589012433829
96,PACSIN3,0.006569525294127355
97,VAV1,0.0009631728082440622
98,NOTCH2,0.0032506013153142293
99,CRK,0.0023127612803620174
100,ELN,0.0034203035139849704
101,PPT1,0.0019008098564330838
102,ADCY6,0.0020916843693820405
103,TNS2,0.0014690333214418191
104,ST5,0.00666747040320699
105,DUSP14,0.0009515447695418983
106,ARPC4,0.0013547219565578118
107,SEC61A2,0.0025178248130349923
108,SH3BP2,0.0025824706737181094
109,WWTR1,0.0015043458700482399
110,RANBP10,0.0019084314080577251
111,LTBP4,0.007931937775984848
112,RYK,0.010019851651437072
113,FLNA,0.011153014952375152
114,CDH1,0.0016043766630591057
115,HTR1A,0.008901624486606901
116,RGS19,0.006900867257321227
117,RASGEF1B,0.001998212479559213
118,RTKN2,0.007088904685730714
119,DOCK1,0.0031049673066545877
120,QSOX1,0.004154912891345044
121,LCAT,0.0028638950089587196
122,SURF4,0.005230306560590829
123,GSN,0.0009837453407907871
124,FGF9,0.0031218942953153803
125,ATG16L1,0.0029163274996258045
126,FRS3,0.003793302617524371
127,GNAI2,0.004879456269316491
128,GRB2,0.004381516345194174
129,SHB,0.0018509535692227185
130,IL17RD,0.0024866062868504177
131,FLRT3,0.004345523377124456
132,KRT16,0.004258894541659072
133,SLA,0.004071191943396703
134,NOSTRIN,0.0034334827323536207
135,EPHA4,0.0017372534705509075
136,CLSTN3,0.004653856956740214
137,CTDSP1,0.00313774141875958
138,SCAP,0.004829384230697074
139,CHD6,0.012707798301936187
140,HYOU1,0.0020966753111423407
141,RHBDF1,0.011042430033690188
142,KIFAP3,0.0023072994854856656
143,STAB1,0.0009197227500219234
144,RFX7,0.004249646649014518
145,FGF23,0.01267769659479685
