,first degree neighbors,feature_importance
0,PLCG1,0.002697935055876117
1,LAMC1,0.0025316938471483686
2,FURIN,0.0011744017533378978
3,FGF7,0.0002691073846962562
4,AP2A2,0.006914151516979192
5,SHC1,0.0029389434135032246
6,NUCB1,0.0032813564060326333
7,RPS6KA1,0.0014442219211360558
8,HSPG2,0.0012274221116313842
9,RPS6KA3,0.0026173709975747085
10,FGF1,0.0007132248040032271
11,EIF2AK3,0.0030721317387309172
12,INSR,0.0021678823112056675
13,KRT10,0.0015297242603281574
14,CTR9,0.002914685075687211
15,STAT3,0.014315206830371664
16,KPNB1,0.005991403908772514
17,CCNT2,0.0022920171285482813
18,SNX33,0.0013749372484348284
19,FKBP5,0.0008384209386889237
20,TRIM3,0.0009950909988530254
21,NRP1,0.0036619301114450527
22,RTN3,0.005954041422872772
23,CNIH1,0.007627952401119004
24,PIK3R2,0.0033824452437455016
25,ATG16L2,0.0040473080717095015
26,FBXL2,0.0022043546829278106
27,UBC,0.002371976966411229
28,GRB14,0.0015241176634748074
29,BNIP2,0.0031107125407816008
30,CLSTN1,0.002690151973335841
31,FGF2,0.0005846448174454239
32,RAC2,0.0013326748738914061
33,STIP1,0.007291740523459113
34,SLC48A1,0.002122183328970017
35,TCN2,0.0008460562029195092
36,SMOX,0.0020781596499005657
37,PTBP1,0.0020823771113282815
38,ITGB5,0.011145723191350468
39,ORAI1,0.001681481043327869
40,KRT7,0.004628333253421715
41,CRIM1,0.003632072224131121
42,NEURL1B,0.004229589208240319
43,MMP2,0.0007155367639442926
44,KLB,0.05443203587628343
45,ITGA5,0.0009397705465803083
46,SNX27,0.014194268251547683
47,RAC1,0.0012156078956504753
48,HTR1B,0.004954235445540859
49,KIAA0319L,0.003346509657129731
50,ANOS1,0.003769815768786595
51,SMAD1,0.003179870694690891
52,ICAM4,0.0012488869769849448
53,CTNNB1,0.04702522261908151
54,LRIG3,0.00259127164148061
55,AFF4,0.0053261360042948175
56,P4HB,0.002077860448828153
57,KL,0.0023997207732683666
58,SOGA1,0.009516550326424242
59,NCAM1,0.19392091793067992
60,MYO7A,0.0027157447906122297
61,PAPPA,0.007223084231803339
62,HSP90AA1,0.002348153640105915
63,ERBB3,0.0016412337774634122
64,FN1,0.005599288306128385
65,PIK3R1,0.004761523779744891
66,SMAD5,0.00844439916086824
67,CREBBP,0.0016245460927661703
68,SLC6A9,0.00022636026430704846
69,MEPCE,0.0018173924711606766
70,NCSTN,0.010817062561414398
71,LRCH1,0.001200132731536624
72,PXDN,0.005602203114047806
73,FDPS,0.002702115218898081
74,PDPK1,0.004899300212708724
75,FGFR1,0.0030991708224710067
76,NEDD4,0.0021581057776196254
77,ITGA7,0.00062015344553281
78,DIAPH2,0.005290604631100903
79,HSP90B1,0.005530490597106424
80,MAEA,0.004244215647146
81,NPC1,0.0031995009099165636
82,NCK1,0.0027047474590691
83,KRT14,0.0017425782490013185
84,BMPR1B,0.0177339314277602
85,SLC12A4,0.0038351931836424847
86,JAK2,0.007542539327235337
87,CTSB,0.0015413026905779258
88,BMP1,0.003225751619005978
89,SETDB2,0.0011170891521848586
90,NCK2,0.0018747608677118447
91,EHD3,0.0035709064675570803
92,HSP90AB1,0.00839214121475703
93,RASA1,0.004176431667541984
94,FASN,0.004590223873091216
95,FRS2,0.00014850018776446064
96,PACSIN3,0.0019187321263908208
97,VAV1,0.000957925898693357
98,NOTCH2,0.004851796632475626
99,CRK,0.01578776795505177
100,ELN,0.006878930901998738
101,PPT1,0.0006328602477089258
102,ADCY6,0.0011217644212350426
103,TNS2,0.0017340445137558123
104,ST5,0.0015473768140581987
105,DUSP14,0.035839139272488905
106,ARPC4,0.002989918600808542
107,SEC61A2,0.003459108506971159
108,SH3BP2,0.0019532964649779977
109,WWTR1,0.06656370756014413
110,RANBP10,0.000538951289582729
111,LTBP4,0.0016022073121044846
112,RYK,0.0024853790536569025
113,FLNA,0.008204805918477658
114,CDH1,0.021200959941947463
115,HTR1A,0.002742317795167751
116,RGS19,0.004107662873516173
117,RASGEF1B,0.0016649849374386608
118,RTKN2,0.005400879301402253
119,DOCK1,0.0014183838934797618
120,QSOX1,0.027290426665032282
121,LCAT,0.010476265300471434
122,SURF4,0.00070636217972952
123,GSN,0.002000457967874822
124,FGF9,0.0033751925777686462
125,ATG16L1,0.0015524229136755227
126,FRS3,0.0012747352092662213
127,GNAI2,0.0013077463441679555
128,GRB2,0.0063173854748088
129,SHB,0.002315269002592038
130,IL17RD,0.0010250760095591076
131,FLRT3,0.0021791058616464545
132,KRT16,0.0013520133548360915
133,SLA,0.0013871003200519897
134,NOSTRIN,0.0005050677942187933
135,EPHA4,0.003916631894542981
136,CLSTN3,0.0035732178024004964
137,CTDSP1,0.0021857189577732645
138,SCAP,0.0017253388450140998
139,CHD6,0.0464287035622345
140,HYOU1,0.0006642741736486448
141,RHBDF1,0.002158255198968793
142,KIFAP3,0.004420494686823892
143,STAB1,0.001981170569595598
144,RFX7,0.018548018115928776
145,FGF23,0.017384193633530238
