,first degree neighbors,feature_importance
0,SH3BP2,0.03852640343002942
1,RPS6KA1,0.017571699673037358
2,PTPN11,0.27728218645177066
3,PTPN12,0.016505657366523124
4,NCK1,0.03984355666355893
5,UBE2L6,0.02665979909541413
6,SIAH1,0.10532747189341017
7,PTPRJ,0.12507559770814733
8,IRF8,0.04903808239080453
9,PTPN6,0.037096806842512195
10,GRB2,0.024684951428326888
11,HSP90AA1,0.07338914663756307
12,SYK,0.016765989943673492
13,PIK3R1,0.04073896935236724
14,SLA,0.015293252152661727
15,FLT3,0.01424981943671881
16,UBC,0.023253199338954457
17,INPP5D,0.03872584874703019
18,FLT3LG,0.019971561447496282
