,first degree neighbors,feature_importance
0,MATK,0.014569844354945136
1,TNS1,0.003457314529291959
2,PLCG1,0.02901843108199343
3,SOCS5,0.005410651931508441
4,PIK3CG,0.010757956268844321
5,MPDZ,0.001409597101509053
6,SOCS6,0.006563346261240112
7,PDGFRA,0.01979283199706837
8,CD9,0.008048897413268778
9,ABL2,0.0029674489596272936
10,SPRED1,0.004905893431431862
11,PTPN11,0.03459982608189563
12,STAT5B,0.004307318445799206
13,STAT1,0.018988419380796866
14,GRB7,0.003186426229212208
15,RAC1,0.005446755470705647
16,JAK2,0.0040191926818324755
17,ABL1,0.004060237451356153
18,CBL,0.016909783759171765
19,TLR3,0.0036780823747693306
20,CRKL,0.22029898977610549
21,HCK,0.011267496077410474
22,SPON1,0.003498958555108316
23,MYH9,0.004200463888536206
24,YES1,0.0033676351779981122
25,EPOR,0.002005975131490761
26,GRAP2,0.008695988626974927
27,FES,0.003585162017271224
28,PTPRO,0.013095100804589623
29,CD63,0.012959339637867896
30,IL7R,0.003957453416466653
31,PTPN6,0.025148271123951134
32,CLTC,0.004395733274020466
33,RASA1,0.02760821876854621
34,STAT5A,0.060269845483400246
35,GRB2,0.07953443096847962
36,LYN,0.014893217690472865
37,ACE,0.002411736602046164
38,CSF2RB,0.007766193551460106
39,SOCS1,0.004249437469478904
40,CRK,0.011415851717430106
41,PIK3R2,0.006282192508957397
42,SRC,0.009975687313147777
43,SPRED2,0.006530617441906992
44,PIK3R1,0.0034553241666570194
45,PLCE1,0.0010897944845987212
46,UBC,0.003880053420934604
47,KITLG,0.038961480093248305
48,TEC,0.03012596748627304
49,BCR,0.13525497722052823
50,KIT,0.01642121772670219
51,CISH,0.009458471380474003
52,STAP1,0.011840461791198381
