,first degree neighbors,feature_importance
0,ARL8A,0.0
1,STK4,0.00010679042189587914
2,RAB5C,0.0
3,MMD,0.0
4,PSMD10,0.0004802662845534447
5,RBPMS,0.001660287336899408
6,HSD17B10,0.0
7,JAGN1,0.00021593191247940355
8,PAFAH1B1,0.0
9,MAPK3,9.429051046681925e-05
10,FAF1,0.0
11,CSNK2A1,0.0
12,UTP25,0.0
13,CNIH4,0.0020403138639326006
14,ARF3,0.0
15,RAP1A,0.0003948495319843886
16,SLC25A24,0.0
17,ADAM10,0.0
18,RNF115,0.015256935474071767
19,PGRMC2,0.001119229412559042
20,RPL9,0.0
21,DNAJC8,9.746167134725979e-05
22,MRPL58,0.0
23,TOP2B,0.0
24,STIP1,0.0
25,HIP1R,8.636068357622973e-05
26,GCLC,0.0001547464980147958
27,RPS19,0.0
28,LYPLA1,0.0
29,AGFG1,0.0
30,VCP,0.00022992960153214967
31,EIF4G2,0.0
32,SH3KBP1,0.000495649304938115
33,LATS2,0.00011653674048960516
34,NOC2L,0.0
35,ARPC1A,0.0
36,POLR3D,0.0002185059816972247
37,UBE2V1,0.00013644247044322164
38,YPEL5,0.0001349935568259299
39,P4HB,0.0
40,SSSCA1,0.0
41,CLIC1,0.0
42,DNM1L,0.0
43,TCP11L2,0.0
44,NDUFA9,0.0
45,TIGAR,0.0
46,PDE4DIP,0.0
47,SMU1,0.0
48,EXOC6,9.816094556617589e-05
49,SBF2,0.00015295173106598858
50,ADPGK,0.0
51,ATL3,0.0
52,STT3A,0.00039562179681643784
53,WDR12,0.0
54,METTL6,0.0
55,PHB2,0.0
56,TALDO1,0.0
57,CDT1,9.295211988731316e-05
58,BCAS3,8.285745325891105e-05
59,CFL2,0.00024150113654734036
60,GCLM,0.0
61,PPP1R12A,0.0
62,SUPT5H,0.0
63,RGL3,0.00018444788037742582
64,UBXN2B,0.00010755947602899508
65,PPIL1,0.0
66,SRPK1,0.0
67,APBB1IP,0.00011676601554653098
68,LETM1,0.0
69,PPP2R2B,0.0
70,ADSL,0.0
71,SNU13,0.00026961975214505487
72,RPL27A,0.012176548234072403
73,COPZ1,0.0
74,RPL14,0.00020884556393578485
75,PSMD13,0.0
76,PIP4K2A,0.0002078237883655636
77,TCP1,0.0
78,B3GAT3,0.0
79,CYTH1,0.00010640912307409005
80,TXNL1,0.0
81,EIF2S2,0.0
82,RMND5B,0.0003333918286863088
83,NADK2,0.0
84,GIT2,0.0
85,NDRG1,0.0003959863287270938
86,TIMM44,0.00010204485353019914
87,PGS1,0.00019632752116780544
88,TRAF6,0.00013644247044322164
89,CSNK1E,0.00031082030149307926
90,DDX21,0.0
91,ALDH9A1,0.0
92,TTC1,0.0
93,MPHOSPH10,0.0
94,IARS,0.0
95,PCBP2,0.0
96,BRIX1,0.0014242551897275955
97,NLN,0.0004720360423277656
98,GLOD4,0.00019414893759237085
99,DEGS1,0.003083770057125523
100,PDXDC1,0.00012743566728080016
101,ARHGAP11A,0.00019422968850374024
102,TFAM,0.0
103,TMEM50A,0.000522721801855218
104,S100A6,0.00041480527339166453
105,CHMP6,0.0005035881917836733
106,FSCN1,0.0
107,HMGCS1,0.0003011703306426258
108,FLOT1,0.0
109,COPS3,0.0
110,RHOA,0.0
111,PYCR2,0.0
112,ANKFY1,0.00017380835856618153
113,DEAF1,0.0
114,NDUFA5,0.0006961989598469365
115,MCCC1,0.00888164376661786
116,GMFB,0.0005962264508399135
117,SDHC,0.0
118,EWSR1,0.0034195680559695922
119,WDR46,0.00016830999802800177
120,RAB18,0.0
121,YRDC,0.0
122,PGM3,0.0
123,PDIA4,0.00012208553854956383
124,RPL18A,0.0
125,UFD1,0.0
126,ZNF207,0.00021275831132120852
127,ELOC,9.647580368850843e-05
128,RPUSD2,0.002479810268445415
129,SFPQ,0.00067347977076607
130,CCT2,0.00781238606817817
131,MED17,0.0
132,TSR1,0.0
133,DUS2,0.000378016043570107
134,PRDX6,9.680378984123232e-05
135,HIKESHI,0.0
136,IPO5,0.0
137,ROCK2,0.00011350052855193874
138,ATOX1,0.0005598789095875985
139,RER1,0.0
140,RBX1,0.0
141,SPTAN1,0.0002506136233779245
142,TMEM50B,0.0
143,RPL35,0.0
144,DDX47,0.00012245096641027222
145,KRAS,0.0
146,NAXE,8.604514279725901e-05
147,MCTS1,0.0
148,EXOSC2,0.0
149,RPS21,0.0
150,AIFM1,0.00016963563366235713
151,AGAP1,0.00021347188430219296
152,EIF4G1,0.002597408937737348
153,GLTP,0.0
154,RPL4,0.0
155,RNMT,0.0
156,PSMA7,0.0
157,EIF5A,0.0008438823256678449
158,DOHH,0.0004405113077679437
159,CYB5B,0.0
160,RPS3A,0.00019562051682518175
161,RPL24,0.00017013106707676495
162,ETF1,0.0
163,SNRPC,9.162113037541864e-05
164,EIF3F,0.0001977417126855994
165,UBE3A,0.0
166,PSEN1,0.0
167,BZW2,0.00011907151456598601
168,RPL7,0.0
169,ABCE1,0.00033592724253432696
170,DBNL,0.0
171,OTUD6B,0.0015097028144069862
172,PAFAH1B3,0.0
173,PDHB,0.0001281454841170948
174,RPL39,0.00032826933777569355
175,ARF5,0.0
176,OGA,0.00043732859004780143
177,MRPS35,0.00042927875417413553
178,ABCF1,0.00012723397210710337
179,MTMR4,0.00013734379407216935
180,AP1S1,0.0
181,NUP155,0.0
182,TRMT112,0.0
183,TMBIM1,8.651199929994974e-05
