,first degree neighbors,feature_importance
0,ARL8A,5.525705394064024e-05
1,STK4,0.00013096690280661817
2,RAB5C,0.0
3,MMD,0.0002342361680052003
4,PSMD10,0.0001811726165647865
5,RBPMS,0.00016877459682609173
6,HSD17B10,0.0
7,JAGN1,0.0
8,PAFAH1B1,0.0
9,MAPK3,0.0
10,FAF1,0.0021967031010524697
11,CSNK2A1,0.0
12,UTP25,0.0002490589090789759
13,CNIH4,0.0002604254101196625
14,ARF3,5.587778489918457e-05
15,RAP1A,0.0
16,SLC25A24,9.80032040416453e-05
17,ADAM10,0.0
18,RNF115,0.00035714914243829826
19,PGRMC2,0.00035357675305406
20,RPL9,0.0001908398853296556
21,DNAJC8,0.0
22,MRPL58,6.938571146087666e-05
23,TOP2B,0.0
24,STIP1,3.0957848186367775e-05
25,HIP1R,0.0
26,GCLC,0.0
27,RPS19,0.0
28,LYPLA1,0.0
29,AGFG1,5.296619067809083e-05
30,VCP,6.93075961153872e-05
31,EIF4G2,6.078114111577289e-05
32,SH3KBP1,7.11148837806662e-05
33,LATS2,0.027033037497788036
34,NOC2L,0.0
35,ARPC1A,6.127643871532005e-05
36,POLR3D,0.0005841079280554306
37,UBE2V1,0.0
38,YPEL5,9.068802403974767e-06
39,P4HB,0.0
40,SSSCA1,2.5055761929226664e-05
41,CLIC1,0.0
42,DNM1L,0.0
43,TCP11L2,0.0
44,NDUFA9,0.0
45,TIGAR,0.0006480795058737207
46,PDE4DIP,3.138902093857454e-05
47,SMU1,0.00046994923003967193
48,EXOC6,0.0
49,SBF2,0.0
50,ADPGK,0.0
51,ATL3,5.267916995974199e-05
52,STT3A,0.0
53,WDR12,0.0
54,METTL6,0.0008831851007356481
55,PHB2,0.00023343957338961785
56,TALDO1,0.0020506558291387626
57,CDT1,0.00032029198394256566
58,BCAS3,0.0
59,CFL2,0.0
60,GCLM,0.0
61,PPP1R12A,0.0
62,SUPT5H,0.0001620559053424586
63,RGL3,9.260932209934239e-05
64,UBXN2B,0.0
65,PPIL1,0.0
66,SRPK1,7.882441517541731e-05
67,APBB1IP,0.0
68,LETM1,0.000196329286854301
69,PPP2R2B,4.117868722705606e-05
70,ADSL,5.334642100703182e-05
71,SNU13,0.0006394927573824728
72,RPL27A,0.0002392835092513329
73,COPZ1,0.0
74,RPL14,0.0
75,PSMD13,4.7136351867705685e-05
76,PIP4K2A,3.691751827893227e-05
77,TCP1,0.0
78,B3GAT3,0.0
79,CYTH1,0.0
80,TXNL1,0.04667700571541132
81,EIF2S2,0.0
82,RMND5B,0.0001521893384888994
83,NADK2,0.0
84,GIT2,0.0
85,NDRG1,0.0
86,TIMM44,0.00011829931285500769
87,PGS1,0.0
88,TRAF6,0.001542916881146779
89,CSNK1E,0.0
90,DDX21,0.00034436605154721623
91,ALDH9A1,0.00023075983394381212
92,TTC1,0.0003625331113863844
93,MPHOSPH10,0.0005372104244055438
94,IARS,0.0034178371967857504
95,PCBP2,0.0
96,BRIX1,9.244091820425067e-05
97,NLN,0.0
98,GLOD4,0.00015071515956997076
99,DEGS1,0.00011898249800373472
100,PDXDC1,0.00019152579208790382
101,ARHGAP11A,0.00012193127922550449
102,TFAM,0.0037309268590786505
103,TMEM50A,9.890246135301002e-06
104,S100A6,6.755826762625173e-05
105,CHMP6,0.0
106,FSCN1,0.0
107,HMGCS1,0.0
108,FLOT1,5.109110284423623e-05
109,COPS3,0.0009862498890584723
110,RHOA,8.413714673546843e-05
111,PYCR2,0.0
112,ANKFY1,0.0
113,DEAF1,0.00013660405745083545
114,NDUFA5,4.212182442934009e-05
115,MCCC1,0.0
116,GMFB,0.003404080225314911
117,SDHC,4.120464224582707e-05
118,EWSR1,0.0
119,WDR46,0.0
120,RAB18,0.0
121,YRDC,7.456060286316521e-05
122,PGM3,0.0001760944758152859
123,PDIA4,3.699688658199901e-05
124,RPL18A,9.558004491581251e-05
125,UFD1,0.0
126,ZNF207,8.733512897010733e-05
127,ELOC,0.0
128,RPUSD2,0.00025442072841424867
129,SFPQ,0.0
130,CCT2,0.0
131,MED17,3.897019471627099e-05
132,TSR1,5.9219880996781864e-05
133,DUS2,0.0
134,PRDX6,0.0
135,HIKESHI,8.142435288781184e-05
136,IPO5,0.0
137,ROCK2,3.7734046088968384e-05
138,ATOX1,0.0
139,RER1,0.0001067717383664685
140,RBX1,6.547829127822582e-05
141,SPTAN1,7.69191525269887e-05
142,TMEM50B,5.44208065401661e-05
143,RPL35,0.0
144,DDX47,4.848203834852944e-05
145,KRAS,0.0
146,NAXE,0.0
147,MCTS1,0.0018756013048928048
148,EXOSC2,0.0
149,RPS21,0.0004079081866805394
150,AIFM1,0.0
151,AGAP1,7.0280481239278e-05
152,EIF4G1,8.249748028263939e-05
153,GLTP,0.00015109116923586602
154,RPL4,0.00020926771729630733
155,RNMT,0.0
156,PSMA7,0.00012727266248135875
157,EIF5A,0.00018701215136211736
158,DOHH,0.015658205739449933
159,CYB5B,0.0
160,RPS3A,0.0014334009132737165
161,RPL24,0.00046599743272874504
162,ETF1,0.0
163,SNRPC,0.00041101587025694857
164,EIF3F,0.00034488893003635957
165,UBE3A,0.00027336987389384664
166,PSEN1,0.00010338830353648728
167,BZW2,0.0008407496733712445
168,RPL7,8.275361423333878e-05
169,ABCE1,0.00015833549905474993
170,DBNL,0.0012455130765310607
171,OTUD6B,0.0
172,PAFAH1B3,0.0
173,PDHB,0.00018366903891421014
174,RPL39,0.0
175,ARF5,0.0
176,OGA,0.0
177,MRPS35,0.0
178,ABCF1,0.0004282596225814565
179,MTMR4,0.0020550764300102924
180,AP1S1,0.00018297359834528896
181,NUP155,0.0
182,TRMT112,0.0
183,TMBIM1,2.941535060878705e-05
184,PTPN1,3.0486394963614554e-05
185,DHX9,0.00013456881387568972
186,CANX,0.0
187,NME2,0.018923700684524116
188,RAP1B,0.0
189,GAR1,4.1476654192898814e-05
190,USP30,0.0
191,TIMM21,7.098573929307467e-05
192,CTPS1,0.0
193,RAB2A,0.0
194,EHD4,9.470185131412343e-05
195,ATP1B1,0.0
196,CDK8,0.0
197,TVP23B,0.0006409790320726004
198,MRPL17,0.0
199,UBE2R2,0.00010744450400927209
200,NHP2,0.0
201,AKT2,0.0
202,GPSM2,0.00042327239145468126
203,ALDH3A2,0.0
204,PRKACA,0.0
205,GNA12,0.0
206,ARIH1,4.0528718966548205e-05
207,ACBD3,0.0
208,CD81,0.0
209,DAD1,0.00026331790569926493
210,DKC1,0.0
211,CAB39,0.0
212,RNH1,0.0
213,EIF3I,5.3174177390182326e-05
214,SF3A3,0.00018986145317827907
215,RRP1,0.00011380987584872759
216,AP3D1,0.0
217,PTK2,0.0
218,NMT2,0.0
219,YWHAB,6.501448402282602e-05
220,SNRPD2,0.0004961568257859582
221,HEATR1,0.00015911989677310507
222,ZFAND2A,0.0
223,ALDOA,0.003051706347064349
224,PDS5B,0.00014693526559758245
225,KPNA4,4.904162896456144e-05
226,EIF4A1,0.0
227,UBE2L3,0.0
228,RASAL2,6.302350642937105e-05
229,PPIE,0.0
230,MRPS2,0.0002350401558237064
231,YTHDF2,0.00017308209524119099
232,PPIH,0.0
233,ARHGEF12,6.645515552641229e-05
234,SDAD1,0.0042070050837894985
235,CTNNA1,0.00011976224034287837
236,TOMM22,0.0
237,EIF3J,0.00044910696819112114
238,PGAM1,0.0007753896147766443
239,EPS15,0.00010848798966475268
240,PSMA6,3.523026885483711e-05
241,CORO1C,0.0
242,RTCB,0.00017775606088701423
243,CALM2,3.4602817373814715e-05
244,TMEM199,7.533226573087675e-05
245,AHCYL1,0.0
246,PTRH2,0.00027313778342609674
247,LARS,0.00014937560630719874
248,PSIP1,0.0
249,CBX3,0.00011232472676514346
250,DOP1B,0.00045256544429513724
251,SUB1,0.000235012323362587
252,RAB6B,0.0
