,first degree neighbors,feature_importance
0,PTPRG,0.002279311019173123
1,FAS,0.0019424563012532684
2,PTPRB,0.0019709886864989292
3,FZD4,0.004734506879701582
4,SPSB3,0.005944261705049416
5,SGPL1,0.004210093991757108
6,SHC1,0.004051571583529464
7,AP1B1,0.025855763818121616
8,MUC1,0.005266065453907729
9,LDLR,0.04832102742930495
10,CTNNA1,0.006446892860947688
11,RAB20,0.002793773926027255
12,HGF,0.07095994348061421
13,AP2B1,0.12555249842480157
14,HNRNPH1,0.00438647764054923
15,PTPN11,0.004734254127896256
16,RRAD,0.022251118029313975
17,SOS1,0.0037355305446400314
18,MUC20,0.006768740038031471
19,EGFR,0.0025066289930224797
20,PIK3R3,0.05861128170783302
21,PTPRK,0.003018567512900627
22,HSPA8,0.002784167923454387
23,ITGB4,0.006689566238999083
24,CLCN4,0.004455422815714288
25,SFPQ,0.002664028527542603
26,INPPL1,0.003770417252854512
27,PTPN1,0.007312269372656439
28,MST1R,0.0027141064378444495
29,GNG12,0.007568554903276909
30,ATP1A1,0.0016816484755138488
31,ATP5F1A,0.006175891685862462
32,KDR,0.11377868547625201
33,CASP3,0.015181371504597172
34,ANKRD40,0.0035039396177686966
35,PTPRJ,0.005193869202567394
36,DNAJA3,0.009620272706300358
37,INSR,0.00449834274557855
38,STAT3,0.0038024690117777304
39,CD44,0.0035291529101764093
40,YES1,0.0024262528024358745
41,SOCS2,0.0056996159674040005
42,RANBP9,0.0031377500923157734
43,CTNNB1,0.00821502579185373
44,SLC7A5,0.0034523059441679085
45,ATP2B4,0.002221747516661861
46,HSPA9,0.007009726257025848
47,JAK1,0.005517543835217961
48,PLXNB1,0.011067146153574315
49,YWHAZ,0.0017106271157827722
50,PLXNB3,0.01349430814955545
51,GRB2,0.0037138246259115393
52,LYN,0.002354222273165067
53,HSPA4,0.00589087316429366
54,ATP2A2,0.006609581654160115
55,ARMC8,0.003967145260208073
56,LRIG1,0.036924889130768884
57,HSP90AA1,0.006542247686814615
58,SPSB1,0.0034193253789943164
59,TGFBR3,0.002895178363392062
60,CRK,0.0028856257444252677
61,ERBB3,0.002064510078071573
62,HSPA5,0.004968228986555024
63,SRC,0.0431298698090948
64,SNX2,0.0024581244712475795
65,HLA-A,0.005335718966811895
66,PIK3R1,0.007322938016467743
67,PLXNB2,0.0033320082544715636
68,CTTN,0.006439843936682878
69,GAB1,0.031088471640248867
70,GGA3,0.003737782943025634
71,STT3B,0.00659221707105709
72,MET,0.005745462239181356
73,XRN2,0.0082904422079567
74,DCN,0.10530279543737801
75,YTHDF1,0.0037706920700079504
