,first degree neighbors,feature_importance
0,PTPRG,0.0026081882021445862
1,FAS,0.07776720352311654
2,PTPRB,0.0016859651360066326
3,FZD4,0.003812050969746236
4,SPSB3,0.0013155918901292972
5,SGPL1,0.0013896693955895271
6,SHC1,0.0015857758060826735
7,AP1B1,0.001396411953949643
8,MUC1,0.0018321338963348097
9,LDLR,0.03286281545751618
10,CTNNA1,0.0024865421243917252
11,RAB20,0.007489114133905549
12,HGF,0.008760399817557989
13,AP2B1,0.3851308345563161
14,HNRNPH1,0.003024840779707516
15,PTPN11,0.0038643818115602926
16,RRAD,0.002030518457194258
17,SOS1,0.048320628075789566
18,MUC20,0.004234174960426199
19,EGFR,0.0006545593386906558
20,PIK3R3,0.0187103390916104
21,PTPRK,0.004505226480698515
22,HSPA8,0.010182273265300138
23,ITGB4,0.0018225186083226299
24,CLCN4,0.022634271934913675
25,SFPQ,0.0010768166038116365
26,INPPL1,0.0020579680368296312
27,PTPN1,0.0034161353659778767
28,MST1R,0.00292473088417526
29,GNG12,0.0038851840385025053
30,ATP1A1,0.0018285366934575966
31,ATP5F1A,0.0027243711978218775
32,KDR,0.0015023344942389806
33,CASP3,0.007440497571921207
34,ANKRD40,0.001072190339918675
35,PTPRJ,0.006960007589545394
36,DNAJA3,0.001676412994477254
37,INSR,0.012097241959561226
38,STAT3,0.0015422732848981515
39,CD44,0.0023384475363334503
40,YES1,0.005372788383723495
41,SOCS2,0.0005845968353498721
42,RANBP9,0.006149754277752788
43,CTNNB1,0.0784287046782727
44,SLC7A5,0.0046902321513421835
45,ATP2B4,0.0035329785707672984
46,HSPA9,0.003921072311713544
47,JAK1,0.0035956943383057024
48,PLXNB1,0.004908813211037001
49,YWHAZ,0.00031199686188647483
50,PLXNB3,0.00206683439965023
51,GRB2,0.00324088236682826
52,LYN,0.00664122283782696
53,HSPA4,0.014265414566033847
54,ATP2A2,0.012511942850603927
55,ARMC8,0.003266833730079474
56,LRIG1,0.01026041311871992
57,HSP90AA1,0.0022091942798551385
58,SPSB1,0.0007361682574216419
59,TGFBR3,0.0008761724386724395
60,CRK,0.007288555505584868
61,ERBB3,0.06550429106647689
62,HSPA5,0.0010472519426097432
63,SRC,0.002656434882682128
64,SNX2,0.002671557628001004
65,HLA-A,0.0023080165505837825
66,PIK3R1,0.0009071010880056109
67,PLXNB2,0.0020940397799278187
68,CTTN,0.006514991755418459
69,GAB1,0.0008363861179791788
70,GGA3,0.009619520741668617
71,STT3B,0.015658274500814747
72,MET,0.0027452163901335058
73,XRN2,0.002879247950280228
74,DCN,0.0034707171737157947
75,YTHDF1,0.003577108201802662
