,first degree neighbors,feature_importance
0,PTPRG,0.001809604195218851
1,FAS,0.0019598928169965797
2,PTPRB,0.0026211407901445944
3,FZD4,0.0016683304225278174
4,SPSB3,0.006011637140673264
5,SGPL1,0.002089812694976286
6,SHC1,0.027130435317116588
7,AP1B1,0.004921179885709841
8,MUC1,0.008531785009551512
9,LDLR,0.002888103193938145
10,CTNNA1,0.005565475204431419
11,RAB20,0.0035470552646098873
12,HGF,0.002653357079810184
13,AP2B1,0.01137220431290497
14,HNRNPH1,0.007160293434806124
15,PTPN11,0.006730459418901722
16,RRAD,0.0081859502319358
17,SOS1,0.0019640486742478745
18,MUC20,0.0026498877950929807
19,EGFR,0.0026394865928126396
20,PIK3R3,0.03155178088407903
21,PTPRK,0.0019071468221039801
22,HSPA8,0.006532208453363143
23,ITGB4,0.006124291151877232
24,CLCN4,0.0020593582958664523
25,SFPQ,0.05979562225097182
26,INPPL1,0.0057218481687239
27,PTPN1,0.003538720387692062
28,MST1R,0.02427537133882159
29,GNG12,0.0025341466497536555
30,ATP1A1,0.005519933361575629
31,ATP5F1A,0.003087317626860371
32,KDR,0.004566890694965119
33,CASP3,0.005205009845325837
34,ANKRD40,0.0013545604643166766
35,PTPRJ,0.004183611177675649
36,DNAJA3,0.0022063071516337652
37,INSR,0.00449472058307525
38,STAT3,0.0019067630145506605
39,CD44,0.004873006576072794
40,YES1,0.0017615481578479246
41,SOCS2,0.0021715965914642387
42,RANBP9,0.010293474793061084
43,CTNNB1,0.002849757476098861
44,SLC7A5,0.002352949044165515
45,ATP2B4,0.003959816053731066
46,HSPA9,0.007467136654218608
47,JAK1,0.01663067819592476
48,PLXNB1,0.002560475395505425
49,YWHAZ,0.007010557117227297
50,PLXNB3,0.005829957986363739
51,GRB2,0.005947442894971422
52,LYN,0.0051345381330122316
53,HSPA4,0.0077586123793631
54,ATP2A2,0.008866405202281701
55,ARMC8,0.003484676504376513
56,LRIG1,0.0021202430831718856
57,HSP90AA1,0.0048867526079846655
58,SPSB1,0.010040869391857204
59,TGFBR3,0.0022128441097329582
60,CRK,0.0055672230456659585
61,ERBB3,0.007641161433952192
62,HSPA5,0.46560539087234215
63,SRC,0.005225204293920603
64,SNX2,0.02525117168556063
65,HLA-A,0.00877913988306838
66,PIK3R1,0.014148229245228402
67,PLXNB2,0.006374808900761793
68,CTTN,0.0019370026722813614
69,GAB1,0.005178990768592959
70,GGA3,0.001690626706255024
71,STT3B,0.004392948352960835
72,MET,0.0020502138242677573
73,XRN2,0.023302080917271945
74,DCN,0.011433934416851466
75,YTHDF1,0.004542786832946557
