,first degree neighbors,feature_importance
0,ROBO1,0.000508606027991374
1,RPS6,7.943398989455891e-05
2,RPTOR,0.00043800202619510197
3,SEPT5,0.0013954632106468767
4,TAB2,0.00028902726304205485
5,RALGPS2,0.010484144815140846
6,TLE1,7.061373307694635e-05
7,BACE1,0.0006438663811410134
8,LARP1,0.0016067946667376052
9,DENND4A,0.00048609949115572615
10,ATXN2,0.0009444134907259205
11,SRI,0.0060112658613719365
12,PPP4R3B,0.0001799087660948713
13,BPTF,0.0004379216063836132
14,UBR1,0.0005431550090851608
15,FNBP1,0.00015138327474631906
16,STRN3,0.0004202272397075629
17,VAMP2,0.0032937823469482703
18,ARHGEF7,0.00028637169780498166
19,STRN,0.00044796350805809
20,VCP,8.001565188697959e-05
21,USP46,0.000247548712174882
22,SMARCC2,0.0015717026580174456
23,GRM1,0.00028821056072763436
24,HMGB1,0.004326023937609004
25,DMTN,0.00047241267324058255
26,SEPT4,0.0008029064865956194
27,KIF3B,0.0007801195116992324
28,TP53BP2,0.0006081139908462649
29,PPM1H,0.00034183608847254275
30,ZMYM3,9.294544856276586e-05
31,RASA2,0.0011176536097794643
32,CSTF3,9.167430554733218e-05
33,MOB4,7.649278549121679e-05
34,WDR37,0.0008523866659937704
35,CEP131,0.00011596829764197893
36,ERC1,8.309010958002144e-05
37,NF1,0.0
38,KHSRP,0.0011321492310236432
39,HDAC5,0.00039534900940858266
40,PTPN14,0.0009141724106884826
41,SMARCA1,0.0002149309996888409
42,TBC1D22A,0.0016654244577503814
43,SEPT6,0.0
44,HUWE1,0.019744872009184476
45,CRTC3,0.0004958258318121097
46,KCNA2,0.00012891657769448637
47,GOLGA4,0.0007457395156826576
48,USP8,0.0006733716003252278
49,MYOG,0.0003145427564505866
50,FBXW11,0.0005939987740837999
51,NCKAP1,0.0010102527380702483
52,NCOA2,0.0005621647238517035
53,PPFIA1,0.00036886827543885283
54,GRIN1,0.0
55,SOD1,0.00013830655439295097
56,PPP2R1A,0.0030949451028000597
57,NLGN1,0.0003714442277364367
58,PALM,0.013672668875910425
59,ZNF470,0.005996122669877085
60,SPTBN1,0.018187164621869454
61,R3HDM1,0.006368653348958621
62,R3HDM2,0.0013729862923122717
63,SH3PXD2A,0.0012844186370082073
64,YWHAE,0.0005160953617182914
65,CALM3,0.00028823366788268545
66,STX1A,0.00013890601652752037
67,TSC2,0.0
68,CADPS2,0.0004589344196568171
69,MTOR,0.0001092580563842318
70,ARID1A,0.0014736689356237664
71,IPO8,0.0003111475279291376
72,USP34,0.00026918000499458726
73,TLE4,0.00020491158670828886
74,DLG3,0.0015015764284095718
75,NSL1,0.003490630596596065
76,CCT8,0.011761624394254624
77,DNAJC7,0.005039061074148766
78,SAMD4B,0.000288369450398208
79,TBPL1,0.00023384547519128998
80,SMAD2,0.00023507397160584922
81,HGS,0.0007192604017768224
82,PLCG1,0.00022391277370167477
83,PLEKHA5,0.0004031710339327156
84,CRIPT,6.315090818048869e-05
85,TTC28,0.00037056666100480305
86,POU2F1,0.00030396025139465096
87,MAP2K2,0.0010566042941475952
88,MAPK1,0.0005965035765354653
89,PKP2,0.0004147930100114743
90,ZIC3,0.011489654062927216
91,PPP5C,0.029621413199116
92,SORBS2,0.0004813679747652167
93,SSB,0.0003879038819307641
94,KLHL20,0.0010639471163107293
95,SEPT11,0.009151044331640972
96,NADK,0.0001884782253185037
97,KIF1C,0.04007874781715192
98,DENND1A,0.001389265584205619
99,RICTOR,0.00013417188626351626
100,PPP2R5D,0.0003921013864265734
101,LTN1,0.0002649098259434385
102,HSP90AA1,0.0013097325738910875
103,NCKIPSD,0.0012821758588886564
104,ADGRL1,0.004605230028495857
105,GNAO1,0.00022087166431467348
106,RILPL1,0.0004679798928102422
107,MARK3,0.0010066305712801108
108,CDK16,0.0173832524801159
109,NCAM2,0.0005778056866864421
110,BTRC,0.0010365652488523156
111,NELFB,0.0
112,POLG,0.01108122864985314
113,ZC3H14,0.0006559924383378048
114,SDC3,0.0
115,YLPM1,9.987862453295542e-05
116,NOL10,0.00018220842854032747
117,NSF,0.0007361913855811104
118,AMPD2,0.0001986926666634265
119,CANX,0.0003239286504832552
120,ABL1,0.007245884999337898
121,RAF1,0.00028772099069887546
122,ADGRL3,0.0011070008045846996
123,NCS1,0.0005140786844699214
124,FOXO3,7.884754425788487e-05
125,HSP90AB1,0.001201626428180621
126,YWHAG,0.02147854063586519
127,SAMHD1,0.00043434020977677437
128,ZFP36L2,0.00046356624136795476
129,CLASP2,0.002638293361080125
130,PPT1,0.00039174589455801944
131,TBC1D5,0.006875985705240897
132,EDC3,0.0004997422451196664
133,PRKACA,0.000319317327998209
134,ORC5,0.0012882521118932487
135,SRSF7,0.0004611377153796423
136,GNB1,0.0006909023913362027
137,SEPT8,0.0002905761284560971
138,FUBP1,0.0
139,STXBP1,9.709671934423559e-05
140,IRF2BPL,0.0
