,first degree neighbors,feature_importance
0,ROBO1,0.025292496128012813
1,RPS6,0.0
2,RPTOR,0.0
3,SEPT5,0.00017243078135776937
4,TAB2,0.000442710925317674
5,RALGPS2,0.00019398462902749057
6,TLE1,0.0
7,BACE1,0.0
8,LARP1,0.00011612089844398007
9,DENND4A,0.0
10,ATXN2,0.05655234694311669
11,SRI,0.0
12,PPP4R3B,0.00028497579936497236
13,BPTF,0.0007069833608585321
14,UBR1,0.006827689995096152
15,FNBP1,0.00022875816993464076
16,STRN3,0.00020691693762932325
17,VAMP2,0.0007609756532357629
18,ARHGEF7,0.0004354533691649252
19,STRN,0.0
20,VCP,0.0
21,USP46,0.00013063601074947756
22,SMARCC2,0.0
23,GRM1,0.00010004001600640265
24,HMGB1,0.0
25,DMTN,0.0003860798586240488
26,SEPT4,0.00034143010438006084
27,KIF3B,0.0
28,TP53BP2,0.00017596782302664645
29,PPM1H,0.00034143010438006084
30,ZMYM3,0.0
31,RASA2,0.0006932065755595173
32,CSTF3,0.0
33,MOB4,0.0001724307813577694
34,WDR37,0.0
35,CEP131,0.0018686615944322504
36,ERC1,0.0007795588602644956
37,NF1,0.022576446908266136
38,KHSRP,0.0005497829291179123
39,HDAC5,0.00014515112305497508
40,PTPN14,0.0012835484132202202
41,SMARCA1,0.00013864131511190348
42,TBC1D22A,0.00013864131511190348
43,SEPT6,0.00035650623885918035
44,HUWE1,0.000756672047889043
45,CRTC3,0.0006875938561808796
46,KCNA2,0.0
47,GOLGA4,0.0
48,USP8,0.0006603315149723669
49,MYOG,0.00024464880238518394
50,FBXW11,0.0001559714795008914
51,NCKAP1,0.00011612089844398007
52,NCOA2,0.020862569361097063
53,PPFIA1,0.00013864131511190348
54,GRIN1,0.012210279577246701
55,SOD1,0.00022509003601440592
56,PPP2R1A,0.0012206549380948705
57,NLGN1,0.00012932308601832705
58,PALM,0.00041592394533571033
59,ZNF470,0.0001724307813577694
60,SPTBN1,0.00017156862745098058
61,R3HDM1,0.0
62,R3HDM2,0.0002929665294799792
63,SH3PXD2A,0.0
64,YWHAE,0.02659444169272618
65,CALM3,0.00010004001600640265
66,STX1A,0.0
67,TSC2,0.02178908223021679
68,CADPS2,0.0
69,MTOR,0.0
70,ARID1A,0.0
71,IPO8,0.006065069307736299
72,USP34,0.0001724307813577694
73,TLE4,0.0
74,DLG3,0.00034143010438006084
75,NSL1,0.03497709115914319
76,CCT8,0.0
