,first degree neighbors,feature_importance
0,ROBO1,0.0012089996900048283
1,RPS6,0.024145069737539233
2,RPTOR,0.0011752492483491645
3,SEPT5,0.005857138711447098
4,TAB2,0.0003122185828702137
5,RALGPS2,0.001892068297418323
6,TLE1,0.0003000469393058406
7,BACE1,0.003111622086953754
8,LARP1,0.004064812594183403
9,DENND4A,0.0001955295672574966
10,ATXN2,0.000117804518615379
11,SRI,0.000881216518251719
12,PPP4R3B,0.0031364357133502416
13,BPTF,1.1308610225121004e-05
14,UBR1,0.00015960526544422913
15,FNBP1,0.00033015103893662675
16,STRN3,0.000582202866847351
17,VAMP2,0.000796321339524322
18,ARHGEF7,0.000515853378241379
19,STRN,0.0007538900402218702
20,VCP,0.0013216153788599512
21,USP46,0.0019012352514985633
22,SMARCC2,0.000568831427780087
23,GRM1,0.0015915143398598588
24,HMGB1,0.017478354329210136
25,DMTN,0.0012860852765151762
26,SEPT4,0.0039947538229262395
27,KIF3B,0.0007390238576128603
28,TP53BP2,0.005011392747604065
29,PPM1H,0.00029352238834585325
30,ZMYM3,0.0015108960270684504
31,RASA2,0.0027701613440126735
32,CSTF3,0.0006648706862499656
33,MOB4,0.000971644888304519
34,WDR37,0.0013113871685819694
35,CEP131,0.00014815114571712032
36,ERC1,0.0018406363198008484
37,NF1,0.0007109181839044991
38,KHSRP,0.00023989447619944337
39,HDAC5,0.0009559275066416749
40,PTPN14,0.0006768030450375612
41,SMARCA1,0.0002913800119634328
42,TBC1D22A,0.0008975717509167891
43,SEPT6,0.0003455248322244446
44,HUWE1,0.0004445387630852679
45,CRTC3,0.00034142605904230423
46,KCNA2,0.0009772957532223024
47,GOLGA4,0.0003609178984684547
48,USP8,0.00013623300007451378
49,MYOG,0.0006876825842384419
50,FBXW11,0.0005324392874867644
51,NCKAP1,0.0015467320833613615
52,NCOA2,0.0006250988084905002
53,PPFIA1,0.0012610525776915852
54,GRIN1,1.1552130252208549e-05
55,SOD1,0.0005800372560295987
56,PPP2R1A,0.0028689695902977016
57,NLGN1,0.0005834185201623654
58,PALM,0.00016176079020730223
59,ZNF470,0.0007168452129315948
60,SPTBN1,0.0006394874595884684
61,R3HDM1,0.0004922948378520138
62,R3HDM2,0.002529965693391728
63,SH3PXD2A,0.010747976812225325
64,YWHAE,0.0007914591041657729
65,CALM3,0.00033987761882246987
66,STX1A,0.000552923431301494
67,TSC2,7.313735949676874e-05
68,CADPS2,0.0004531325884043767
69,MTOR,0.0004428515769965089
70,ARID1A,0.000483532230009431
71,IPO8,0.0005882930374842385
72,USP34,9.208342859618498e-05
73,TLE4,0.00012626934007071598
74,DLG3,8.964666216000568e-05
75,NSL1,0.00044679741427557275
76,CCT8,0.0002279957555617183
77,DNAJC7,0.0005689332626532641
78,SAMD4B,4.576759176437386e-05
79,TBPL1,0.003371224918637368
80,SMAD2,0.0006871589070660271
81,HGS,0.001721430634580676
82,PLCG1,0.0009364688491738389
83,PLEKHA5,0.0007555994446903204
84,CRIPT,0.0009495688003752624
85,TTC28,0.00015891957679129521
86,POU2F1,0.00013922460871193336
87,MAP2K2,0.0025442851656788806
88,MAPK1,0.0022190056243104085
89,PKP2,0.0004999527878641933
90,ZIC3,0.00018237918839965968
91,PPP5C,0.001670365123335406
92,SORBS2,0.00430533354670231
93,SSB,0.0008688751458954925
94,KLHL20,0.0004664999655154913
95,SEPT11,0.001924852183771759
96,NADK,0.0009911827030835141
97,KIF1C,0.0017535260890417716
98,DENND1A,0.0007071298806239246
99,RICTOR,0.0005741429379708237
100,PPP2R5D,0.00018137688786826062
101,LTN1,0.0003316851826477558
102,HSP90AA1,0.0001846537288796259
103,NCKIPSD,0.0006534639937904612
104,ADGRL1,0.00018776830334956196
105,GNAO1,0.010446345227338009
106,RILPL1,0.0009015752987202748
107,MARK3,0.0002540722777927336
108,CDK16,0.00047104559899847974
109,NCAM2,0.0004081483882055749
110,BTRC,0.0010435086795992368
111,NELFB,0.00016762111040907025
112,POLG,0.0003637025035074327
113,ZC3H14,0.0006613653536196216
114,SDC3,0.0006442042571966506
115,YLPM1,9.940035074911559e-05
116,NOL10,0.0009475221513640731
117,NSF,0.0009173501621867354
118,AMPD2,0.0006382854703371617
119,CANX,2.3250685152300447e-05
120,ABL1,0.008067702747975497
121,RAF1,0.0004729676368887725
122,ADGRL3,0.0033192130412989366
123,NCS1,0.00044774029120444334
124,FOXO3,0.00010902726303946292
125,HSP90AB1,0.0007098162772054997
126,YWHAG,0.0003778610029523298
127,SAMHD1,0.0003735733255615289
128,ZFP36L2,0.0002766856183354876
129,CLASP2,0.001010137770789183
130,PPT1,0.0010694847604736887
131,TBC1D5,0.013540462374133115
132,EDC3,0.0002126511567597945
133,PRKACA,0.00030974789935878924
134,ORC5,0.0013320992097357294
135,SRSF7,0.0004937582512033848
136,GNB1,0.008948141452093453
137,SEPT8,0.0018269515943236125
138,FUBP1,0.0006871706654207245
139,STXBP1,0.0007175022740655898
140,IRF2BPL,0.0006649489104637306
141,KLC2,0.002260771723442462
142,GPHN,0.0008903217007299065
143,ATF2,0.011786960101414702
144,TLR4,0.0006512308600821231
