,first degree neighbors,feature_importance
0,RAB5C,0.00041248486801207716
1,BNIP3,0.0
2,CDS2,0.00015725717585503803
3,HIGD2A,0.0005274494931803187
4,CDC25B,4.1043614735936966e-05
5,RPTOR,0.00029388351282765533
6,PAFAH1B1,0.0005308207837898402
7,MAPK3,0.0007967257619311678
8,FAF1,0.00012639339374201572
9,CSNK2A1,0.0
10,TRMU,0.0002296938497697876
11,KDM3B,0.0
12,COQ4,0.0
13,KDM3A,0.0
14,RAP1A,0.00010111497173120903
15,TUBG1,0.0
16,VPS39,0.0
17,AP1G2,0.00016649400654663912
18,KRT8,0.0
19,ATXN2,0.00013981798843016165
20,RNF115,0.0
21,PGRMC2,0.0
22,RPL9,0.00013336055675223412
23,AGPAT5,0.00034749694276926037
24,MTMR2,0.0
25,MARCH6,0.00048365636618986674
26,MRPL58,0.0
27,SUMF1,0.0009979756314550568
28,TOP2B,5.670751922521906e-05
29,RPP30,0.0007262004196993292
30,STIP1,0.0
31,RPS19,0.00010019461074476865
32,VCP,0.0
33,SH3KBP1,0.00010945732722724204
34,NR3C1,5.135993997785282e-05
35,LATS2,7.409338132162327e-05
36,CARM1,0.0
37,NOC2L,0.00019434451159595488
38,GK2,0.00019694471497087117
39,POLR3D,0.00041951402224619047
40,MRS2,6.24830440793618e-05
41,DMTN,0.00011455763613079819
42,WIPI1,6.058589772990133e-05
43,INTS2,9.199959324784835e-05
44,COG8,0.0
45,DUSP6,8.263120447070141e-05
46,CLIC1,0.0
47,DCAF7,0.0013140311340930732
48,WDR37,0.00017394792271508677
49,MAST1,0.0
50,DNM1L,0.00012155191495721888
51,TCP11L2,9.423737180465067e-05
52,TIGAR,0.0001723420640540728
53,PDE4DIP,0.00021673989656067217
54,SMU1,6.0967355771452786e-05
55,NF1,0.0
56,ATL3,0.00010428172425978854
57,PTPN14,0.00012747533633314346
58,MFN2,0.0
59,WDR12,0.0002219765927586788
60,TOR3A,6.761458581187077e-05
61,PHB2,3.4928600259498094e-05
62,EXOC8,0.0
63,BCAS3,0.0
64,PEX19,0.0
65,SUPT5H,0.0
66,UBXN2B,7.06749494320729e-05
67,SRPK1,0.00018586736592600642
68,CERS6,0.00023932013680392938
69,IKBKE,0.0015936347481151887
70,CDK11A,0.0003408935600125975
71,CLN6,0.00011116816639812556
72,PPP2R2B,0.00018605814228877908
73,ADSL,0.0016937212907121397
74,GCDH,9.146840671173765e-05
75,MAP2K7,0.0
76,CNKSR1,1.6569853103433114e-05
77,PSMD13,0.0
78,MAPRE3,5.827986381999198e-05
79,HK1,0.00012159371649647004
80,CTDP1,0.0013880746041943955
81,PURB,0.0016488476457823208
82,TCP1,0.00015661784532607526
83,MRPS30,6.0981571820250985e-05
84,SPNS1,3.8110401249668134e-05
85,DHCR7,0.0
86,PGS1,0.0002478222085059492
87,CNOT7,0.0
88,NLN,0.005795991339283267
89,RFXANK,0.0
90,GPR89B,0.00010341244807311876
91,DENND6A,4.4170602535619135e-05
92,MACO1,0.0
93,BAG2,8.103608515215006e-05
94,DEGS1,3.5541511476266726e-05
95,SLC25A51,5.591411202488509e-05
96,UBR3,0.00012774589300344532
97,TFAM,0.0
98,ASCC3,6.229117305433714e-05
99,S100A6,0.0
100,CHMP6,0.0
101,COPS3,0.0002133811274183398
102,DNAJC7,0.0008625968254120854
103,LIAS,9.655486038728794e-05
104,PUM2,0.0006779913461918809
105,RHOA,3.414550300689886e-05
106,RNF20,0.0
107,LPIN1,0.00024099738903818427
108,NDUFA5,1.433030681565905e-05
109,AMBRA1,0.0
110,MCCC1,0.0
111,IVD,9.100287996784155e-05
112,DDX24,0.0
113,DUSP2,0.00020746689245067026
114,CHD1,0.00010059858167609918
115,KANSL2,0.00020651967545587952
116,FRYL,1.921032421835063e-05
117,NISCH,0.0004208216742436851
118,SCAF8,0.00017089246245561137
119,UFD1,0.0001533712393121494
120,ZNF207,0.0001825037013903462
121,PARP8,0.0
122,MRPL22,0.0002073851114269564
123,TRAPPC2,0.0001709459483925016
124,RBM27,2.3340968713579042e-05
125,CCT2,0.0001345720205642695
126,MED17,0.0008999312977540468
127,TSR1,4.605344042879135e-05
128,PPP1R16B,0.0006211970131542686
129,HIKESHI,8.093061060829774e-05
130,RNF5,0.0002582692842897923
131,IPO5,0.0015088431459879118
132,ERCC3,0.0
133,ROCK2,0.0
134,EI24,0.0
135,D2HGDH,0.0
136,DCP1A,0.00011406211447756806
137,DDX47,0.00025171409974741974
138,KRAS,0.0019543820628491033
139,TEX2,0.00015462085217042432
140,NAXE,0.0
141,RRAGD,3.597289686361469e-05
142,TAZ,0.00023990557045540825
143,AIFM1,1.3203519823600994e-05
144,HASPIN,3.936396527773242e-05
145,EFTUD2,0.0
146,MAOA,0.00023887337157372943
147,MKLN1,0.0
148,SLC25A36,0.000287402935966033
149,EHBP1,6.17594146469564e-05
150,PSMA7,1.8125460324097935e-05
151,BAP1,3.212150651056565e-05
152,GCC2,0.005249842138956761
153,EIF5A,0.00010535270336334938
154,SLC25A6,0.0
155,TRRAP,1.672672398276004e-05
156,CYB5B,0.0
157,RPS3A,2.2451579572440454e-05
158,ETF1,0.00013254980496006858
159,RICTOR,8.312027131519624e-05
160,PSEN1,0.0
161,NCKIPSD,0.001003279534303384
162,VPS16,8.872889751542206e-05
163,PEF1,0.00026906129178517796
164,ABCE1,0.0030396603342995646
165,DMPK,0.005043056167403569
166,MLX,0.0018321354047973173
167,DBNL,0.0
168,BLMH,0.0002721745164998739
169,RBM8A,0.0
170,RILPL1,0.00012682971930569797
171,SIPA1L2,0.00016632156928532906
172,NAA60,0.0009540735764083526
173,ZNF121,0.00017950636942689298
174,PIK3C3,0.00021863738486353775
175,ABCF1,0.00019006761526329407
176,TM7SF2,0.0002291064603904652
177,ITFG1,0.00010808258231484913
178,NUP155,9.125147519240578e-05
179,APEX1,0.00020940572326642588
180,RAP1B,0.00013817319765360595
181,XRN1,0.0
182,RAB2A,4.032192062608655e-05
183,FOXO3,9.51288084635423e-05
184,TPT1,0.00045874652014737304
185,MTM1,9.313549150729241e-05
186,CDK8,0.0
187,CLASP2,0.0
188,MRPL17,0.0005024603480553371
189,AKT2,0.00012624441966248902
190,KIAA1671,0.0
191,BIN1,4.362388436773348e-05
192,TUBB4A,0.0
193,ALDH3A2,0.0028662704462484273
194,TMEM43,0.0
195,MTERF3,0.0
196,PRKACA,0.0019497191536004708
197,ACTL6B,0.0002882725844442957
198,MAGED1,4.561843194473557e-05
199,PRPF6,6.599397136989133e-05
200,SHROOM3,0.0
201,GPAM,0.00011456649963462396
202,DUSP10,0.0003756682663872991
203,TRIP11,0.0
204,DNAJC13,0.0
205,USP9X,0.0004728605707609848
206,STX5,0.0
207,KEAP1,0.0
208,TTC27,0.0
209,RNH1,0.0001821041133036608
210,EIF3I,0.0
211,SF3A3,3.247939837127299e-05
212,AP3D1,0.0
213,AR,0.00017936024000799207
214,VPS4A,0.0
215,SQOR,6.405133384761512e-05
216,RANBP9,0.0
217,STAM,2.801265277029589e-05
218,YWHAB,0.00024207126963549252
219,HEATR1,0.00012421468542815639
220,UPF3A,0.00023967138097879512
221,PDS5B,0.0
222,KPNA4,0.0
223,EIF4A1,0.00012675712371338176
224,GGA3,0.0
225,RASAL2,0.0
226,TBC1D10B,6.663273965955394e-05
227,ZNF598,0.0
228,ABL2,0.00013270387796339737
229,CTNNA1,0.0004511832890121712
230,GDAP2,0.00013175971535401646
231,TOMM22,0.00038065120605452096
232,EPS15,0.00010516020767962368
233,CRTC2,0.0
234,COG3,0.001737642635297857
235,RTCB,0.0012560551091909719
236,CALM2,0.00013778343561337376
237,MCCC2,0.00026794097993566054
238,TMEM199,0.00041474369777068885
239,INPP5K,6.796936246388981e-05
240,LEMD2,0.0
241,PTRH2,0.00012633808292983028
242,RRM2B,0.0
243,RTF1,0.000356140376084589
244,TMEM70,0.0010409983550981234
245,CBX3,0.0
246,GTF3C2,1.812555714610189e-05
247,DLG4,6.713465715611849e-05
248,CTTN,3.4712336097301434e-05
249,UNC50,4.534695583917815e-05
250,RARS2,0.0008428295423846156
251,EP300,7.55366220924893e-05
252,POLR1B,0.0
253,EDEM2,5.4747576994936194e-05
254,SNRNP200,0.0
255,CALU,0.0007616845465072159
256,GIGYF2,0.0
257,CSE1L,0.00030791903282214195
258,AIP,0.0002037437635201437
259,JMJD6,0.00010542344863981591
260,TRAFD1,0.00015334062931527065
261,AURKB,0.0
262,SLC25A20,5.463994945794434e-05
263,KPNA6,0.0004628269558631855
264,LENG8,8.550952041276842e-05
265,METAP1,7.348877025141903e-05
266,CBL,0.0
267,PSMC5,0.0010052672682150927
268,DNAJC5,0.0003362353430195784
269,CAND1,0.0011762844678856192
270,VDAC2,0.00011677083853289516
271,BIRC2,2.398699711855255e-05
272,NIT2,0.0003654968731702094
273,MAGOH,0.0
274,LTA4H,0.0031841085034922004
275,ATP5MC3,0.0
276,MAPKAPK5,0.0003077796340022266
277,HAX1,6.445711552369157e-05
278,TMEM115,8.810408834094751e-05
279,PPP1CC,7.601970227667838e-05
280,MRC2,0.00015604439774484952
281,SPART,0.0
282,TUBA4A,0.0
283,YY1,0.0002509780722598789
284,PSME4,0.004146110726090864
285,GLCE,0.00017028429133393062
286,RPL23A,0.0
287,SNW1,0.0005760138642737796
288,UBAC1,0.0003384750818686509
289,ARAF,4.356733142723636e-05
290,SUCLG2,0.0
291,ARCN1,0.00015149171961204293
292,SEPT7,0.0
293,RAPGEF6,8.329601797710677e-05
294,MRPS23,0.000329736256492135
295,EZR,0.00012175987882813568
296,RCC1,0.0010415749771634556
297,HTRA2,0.00015517339092878702
298,PLPP7,0.002218585012365216
299,VAPB,0.0
300,SDHA,0.0
301,OLA1,0.00014573757620695894
302,MBTPS1,0.0003189134367875566
303,MFSD14A,0.01637975680158588
304,DUSP9,0.0035910796986092773
305,COG4,0.0
306,GEMIN2,0.0
307,NFATC3,4.98193752959588e-05
308,DNAJC2,0.0
309,FANCD2,4.931806798833439e-05
310,RPL13A,9.965500239738773e-05
311,BMP2K,5.527109469889472e-05
312,UBE2Q1,0.0
313,AASS,3.2708974975679603e-05
314,UHRF1BP1L,3.4305148435991266e-05
315,ITSN1,1.8973987972642095e-05
316,MCM3AP,0.009202513382357204
317,BRD1,0.00021891517754378775
318,RNF185,0.00019842639679473411
319,MRPL4,0.0
320,AP4B1,6.799617641515759e-05
321,KATNB1,0.004094824707005044
322,ISCU,0.0003950492797177558
323,CCT6A,0.0002525934643199272
324,NUP98,0.0
325,BLOC1S2,0.00013951383027354855
326,AP2M1,5.7957903941070265e-05
327,AHCY,0.00011208902797664545
328,IMMP1L,0.0011512238404244265
329,PRKDC,0.0006321516386334793
330,VAMP7,0.00030635476566118447
331,STK25,9.171312057741667e-05
332,OSBPL11,5.5649065503065085e-05
333,EPHA4,0.002884632471241686
334,PSMB4,0.0
335,BUD31,0.0
336,ELP3,0.0004369052015887708
337,SPTLC1,3.170993629604451e-05
338,USO1,2.325915563022178e-05
339,PNPLA3,0.00015614686311871264
340,CDK13,0.0
341,PAK4,0.0005177516722742236
342,PLRG1,0.0002588856282097447
343,TSN,0.00014311048019527106
344,CLPX,0.0010372500786998272
345,MSH2,0.0003957605534810578
346,CTCF,0.0014034667871599916
347,SH3RF1,0.0
348,HSP90B2P,0.00026429961408461325
349,SLC25A1,0.0017564672329732037
350,CDK1,0.0
351,NLRX1,0.0
352,SH3GLB1,0.0
353,ERCC1,4.687259594948095e-05
354,COQ5,0.0
355,ATP5MC2,0.00011370937506258599
356,SFN,0.0
357,SLC25A11,0.0006915854091091671
358,SGK1,0.00014443935645540746
359,TP53BP1,0.0
360,SUPT16H,1.825894915893931e-05
361,COX16,3.3217017818308546e-05
362,WDR70,0.0
363,STX7,0.0
364,MAP3K1,0.00010636362434209595
365,PPP6R3,2.3652241078098338e-05
366,CIAO1,0.0
367,UPF3B,0.00024016565451843533
368,GANAB,0.00017811206003396884
369,MARC2,0.0
370,RAB32,0.0
371,PAN3,0.0003069470615418957
372,PSMB6,0.0
373,SLC35D2,2.2194307420645982e-05
374,DCTN5,7.169879269929983e-05
375,PAPOLB,0.00018743200042647956
376,SEC16A,0.0
377,WDR77,4.922429798198266e-05
378,CLCN4,0.0015960896631590346
379,ARAP1,0.0
380,PTCD3,0.0
381,ABHD13,0.0002975895650858998
382,RIOK2,0.00013798331827515035
383,RSU1,0.0
384,NELFA,0.0001595118055327033
385,SDE2,8.79596494174583e-05
386,JKAMP,0.00034275525143086347
387,TRMT11,0.0
388,GTPBP4,0.00014180731120733676
389,AKT1S1,0.0001647421513766763
390,NSFL1C,0.0
391,FECH,0.0001232052804765869
392,SH3RF3,0.0
393,MAP3K2,6.0012494988856185e-05
394,KIAA0355,0.0
395,PPM1G,0.00037532250320426047
396,NCBP1,0.0014341718544476697
397,PHKA2,0.0
398,DENND5A,5.129423196832384e-05
399,HNRNPD,8.308155522212919e-05
400,HDAC1,0.0004532951194658824
401,COQ6,0.0001873464593475793
402,MAP2K1,0.0
403,GPAA1,4.770794321413594e-05
404,GTPBP10,0.0003344289411323959
405,PRKACB,0.0005413238305317922
406,MRPL40,2.731637202494972e-05
407,FAF2,0.0003200983437949851
408,BMPR1B,0.0024060349779209678
409,HDAC6,0.0
410,SEC61A1,0.00021865490402174547
411,BAIAP2,0.0
412,HCFC2,0.0
413,RPN2,0.0
414,PELI1,0.00014684875607769252
415,CRTC1,0.001049329754959127
416,KIF5B,0.0
417,GPN1,0.0002682978386938335
418,SNX2,0.0010703572970064605
419,RPS6KA5,6.320976528094263e-05
420,RB1CC1,9.737833153180273e-05
421,MVB12B,0.0007631553551939855
422,PNPLA4,0.0
423,COPS8,0.0
424,SMC3,1.2472785829158188e-05
425,SLC30A5,0.0004464264790493851
426,STRAP,8.541180186567146e-05
427,STARD3,0.00018507530176741185
428,COX10,0.0
429,ELOF1,0.00024151980381864035
430,NSUN2,0.0
431,MAD1L1,0.0
432,PPP2CA,0.0007700697132376118
433,ESS2,0.0002242813236174959
434,ACTR8,0.0
435,SREBF1,0.0
436,GLO1,0.00021210818481607778
437,WDR82P1,0.0
438,VPS33A,0.00020630466350997129
439,ARFRP1,0.0
440,CSNK2B,0.0
441,UNC45A,0.0
442,EHMT2,0.0001948857837269255
443,CCT3,0.0005907115934579585
444,VRK2,0.000600559127713551
445,SART3,0.0
446,ATL1,0.0
447,COX18,4.2054625173572396e-05
448,PIKFYVE,0.0
449,MCM7,0.0
450,G6PD,4.3865329669642457e-05
451,SRSF9,0.0
452,PACSIN2,9.114193805920943e-05
453,EXOC2,0.0
454,GNAI3,0.0005426663863776142
455,NOP56,0.00019934226325085428
456,FAM120A,5.5650334370115645e-05
457,LARP4B,0.0
458,ETFDH,9.303282013773199e-05
459,BSDC1,0.0
460,CKS1B,0.0
461,SRC,7.546687603136393e-05
462,GNL2,0.00022527714538598083
463,MSTO1,0.0
464,ILK,0.0
465,STRN3,0.00020766125392189102
466,TARS2,0.0008208045584899128
467,PAK1,0.0005183300475633226
468,ATAD3A,4.160728551040899e-05
469,MRPL16,8.366149324582942e-05
470,ATP6V0C,0.0
471,SEC24B,8.211947952229193e-05
472,CLNS1A,0.0
473,FBXO3,0.00015873339032130716
474,TUBB6,0.0019037071382328487
475,CYB5A,0.0
476,USP46,0.0
477,OXA1L,0.001165316285722861
478,PAXBP1,0.0
479,C7orf25,0.0
480,ARF4,0.00043525080320987636
481,HMGB1,0.00011076951358152053
482,MAPK7,0.00045847194725398023
483,BNIP3L,0.0
484,PPP2CB,0.0
485,GRK2,0.001179947188535879
486,UBR7,0.0
487,TP53BP2,8.720031320975931e-05
488,PDK3,0.0
489,RAC1,0.00011636348064537068
490,TRIM33,1.919955707381661e-05
491,ATP6V1D,0.0
492,SHPRH,0.0017051434901211367
493,USP47,4.196438502697153e-05
494,ACTB,0.0001900402155562219
495,OAT,0.0
496,CEP131,0.0
497,ERAL1,0.0001853345629404472
498,PSMC2,0.0002187822017931342
499,GCC1,0.0
500,DGKH,0.009644340539861632
501,PAPOLA,2.5408930186063027e-05
502,PITPNB,0.0001273634363205824
503,VDAC1,0.0019679640586951343
504,GPAT3,0.0002975516895468155
505,PIK3CB,0.0
506,HUWE1,8.240966743754119e-05
507,HNRNPA0,0.0
508,CRTC3,0.0007060263807050835
509,NUP153,0.0
510,FBXO11,0.00038296717165255367
511,USP8,0.0
512,NONO,0.00012708481056818616
513,FBXW11,2.295388468538686e-05
514,NAA35,0.00012856626154772655
515,CHMP3,0.0
516,NCKAP1,3.600473854205903e-05
517,TM2D1,0.00018535518351640634
518,RPLP0,0.0008509430883351322
519,ABCB10,0.0005117235062641786
520,RPN1,0.00011235810975776411
521,ARFGEF1,0.0
522,NXF1,0.0
523,MRPL3,0.00044745115917609274
524,CHMP2A,0.0
525,TNPO2,8.357179481551794e-05
526,DLST,0.00015818571465189688
527,TBK1,0.0
528,PRPF4,0.00018942456114530743
529,DMGDH,0.0010742477668829057
530,TRAPPC3,3.360553504630733e-05
531,TMEM165,2.9408408851423244e-05
532,TRABD,0.00011171215085970933
533,MINDY3,0.0017464102670166595
534,CYTH2,0.0001767429402369925
535,RANBP2,0.0003108842457366272
536,YWHAE,0.0001405828858744636
537,CALM3,0.0
538,DPY30,2.2092947337456397e-05
539,IMP4,0.00024181034294863763
540,CCT4,0.0
541,GGA1,0.0002237892499075488
542,AP3M2,4.860866503402257e-05
543,TSC2,0.0
544,RBM7,0.0015424494203065949
545,PEX10,6.569856999586356e-05
546,RDH14,0.00011240599090377928
