,first degree neighbors,feature_importance
0,NAE1,0.0044719486985168476
1,DLC1,0.002967365575623806
2,CDC42BPB,0.06971070353841305
3,PSMD10,0.0003116242414085643
4,PTPRC,0.007120698813206084
5,ABCD3,0.0
6,CHUK,0.02607388388010717
7,EGFR,0.0
8,FAF1,0.000367598838731582
9,CSNK2A1,0.001363452896463844
10,PACSIN2,0.05795924649072609
11,CLK1,0.0006021066352843194
12,STAM2,0.0011437792111741272
13,TRNT1,0.000575232335140367
14,RAB14,0.00016822295069559694
15,MAP2K4,0.002755827276595173
16,MAGI1,0.0012642413063508743
17,CASP3,0.0010101632778842893
18,RAP1A,0.00044348392195221617
19,CDK3,0.0003364495905705901
20,PLK2,0.0037863359632816585
21,SRC,0.003146032873182993
22,EPHB2,0.0006993608652900705
23,ILK,0.0018320425514747939
24,STRN3,0.0014461190374315677
25,AGFG1,0.005385802054051446
26,MAP4K3,0.0011167453555485098
27,LATS1,0.00037370602789281335
28,CYFIP1,0.0006737923426838417
29,XRCC6,0.00028186557162139845
30,PPIP5K2,0.0010277150245010976
31,PAXBP1,0.0005223357396950048
32,CUL4B,0.021180928524709382
33,UBR7,0.0026434145261506675
34,RAC1,0.00193317251910366
35,MON2,0.0016522134743462476
36,RASA2,0.0009849638047039035
37,GMCL1,0.00042262724613456213
38,SNX14,0.0009719570218956804
39,MOB4,0.0022033837004225803
40,STK3,0.005872815843788354
41,RAB10,0.0014241212630176452
42,NF1,0.00022429726759412927
43,MYO10,0.0011448593417849907
44,ARHGAP1,0.0020949856215121496
45,HAUS3,0.0007472600113403202
46,HSPD1,0.0013674734203404735
47,IGF1R,0.000784119891612071
48,RCN2,0.0011407192935573881
49,WASL,0.0010516584936402036
50,CAPNS1,0.0011725552665550287
51,FERMT2,0.0005812636183207048
52,RAB28,0.001367675107801125
53,GIN1,0.021073168285937995
54,FBXO11,0.0006147817035325702
55,CBLB,0.00010878014353328886
56,NCKAP1,0.0016713477630535662
57,ARHGAP5,0.0005590926581456241
58,CRKL,0.0023317948947228313
59,HCK,0.0011009924814303555
60,ARFGEF1,0.0004626920296060239
61,TRIP12,0.000218464680903345
62,RAB6A,0.0008999037242588895
63,GOPC,0.0005055672057559497
64,SYK,0.0011404794809147622
65,CRK,0.021073265524524376
66,TBK1,0.05431040684655261
67,PKN2,0.0011052367061504978
68,R3HDM1,0.0019280592843676613
69,RMND5B,0.0015388201674894403
70,RALBP1,0.0006119528270119947
71,UBA3,0.0012710096293161598
72,KCTD9,0.0004901740815275074
73,CSNK1E,0.001988765371814196
74,RABGAP1,0.0010063868802660796
75,LCK,0.0024455411726744375
76,PLA2G6,0.001655621886375141
77,CCT4,0.0005943112929791853
78,MACO1,0.00018539082397843533
79,DNAJA3,0.0015802660351329607
80,BUB1,0.00077387443761499
81,MLH3,0.0015557656948502877
82,CHKA,0.00031625668526109163
83,PDGFRB,0.0003469955517778347
84,AMD1,0.0004405943602665073
85,ATP6V1C1,0.0008804560677212831
86,RHOA,0.0016971322534593601
87,EFR3A,0.0016073265628112569
88,STK11,0.0006810967304604954
89,ACTN4,0.0007276896890343472
90,SMAD2,0.0009397368811876808
91,PXN,0.00016852069043134225
92,PLCG1,0.0003791715534705201
93,CUL2,0.0003691584137222414
94,RAB18,0.000693705604814394
95,FER,0.0004694924272648602
96,DDX1,0.00012556023993407026
97,HDAC3,0.0015241565246556516
98,INSR,0.0006240172619372485
99,ROCK2,0.0008154543752503306
100,TAOK3,0.0016699785901241463
101,SPTAN1,0.0016345865503201345
102,MAP2K2,0.0005733985688190276
103,AFAP1L2,0.0009207305003899776
104,KRAS,0.0004540327635684964
105,OSBPL8,0.0009339003216267264
106,TAOK1,0.0016973992600360698
107,CAV2,0.0002350307309171613
108,RAB11A,0.0008320762035771372
109,MAPK1,0.00044900021900754183
110,ATF7,0.0011900925424849934
111,SPRY4,0.0009837901763229562
112,CAPZA2,0.00041599453730653774
113,FBXL6,0.0013727155183739254
114,SOS1,0.0011419467098222442
115,DOK1,0.0008082352278467278
116,NFKB1,0.0023578523916734247
117,MKLN1,0.0003459972712194052
118,WWP1,0.0012571972715916518
119,PIN1,0.0015036157208558356
120,FEM1C,0.00013529547437827121
121,POLR3F,0.0018107020728565255
122,RHEB,0.00040556149189697457
123,IST1,0.0003778340876734439
124,ANXA6,0.000813010818404153
125,ETF1,0.009963862066950433
126,HSP90AA1,0.0016432654510364548
127,ULK1,0.03842574586907937
128,ABCE1,0.0012211964238823616
129,PLS3,0.0005233602910529681
130,DBNL,0.0004155368502285621
131,CSNK1A1,0.025963587940059603
132,MARK3,0.00023910438808028914
133,RAB21,0.01122791682287666
134,CDK16,0.00023793975234539673
135,PDPK1,0.00041981565297049325
136,NEDD4,0.0006665596990214126
137,FGFR1,0.0005035938783960269
138,OGA,0.00030375847653346563
139,CSK,0.0016622065635233507
140,EPS8,0.00024718761897629606
141,RAB1A,0.0015731280280146742
142,ACAP3,0.00021164980014902598
143,TBC1D23,0.0017999993101838543
144,NCK1,0.036134920120390525
145,RARS,0.0012768107878416042
146,CDC73,0.0006986680524452085
147,JAK2,0.00073723913233282
148,ABL1,0.001048589439079268
149,RAF1,0.0017098195214244685
150,RAP1B,0.0005944655456110478
151,CFAP20,0.0006301685137168394
152,ATP6V1A,0.002679194891730024
153,TBCK,0.0005534056120308255
154,SNX5,0.0010749464421542618
155,EHMT1,0.0013981756050174524
156,GAB1,0.0007315376849707324
157,RPS6KC1,0.0006162688930509784
158,SOCS5,0.0014581439268527754
159,MAP4K4,0.001541162917745355
160,FAM13B,0.000797449877325227
161,EXOC5,0.0006838143335537465
162,KIDINS220,0.00041794438292601686
163,IQGAP1,0.001508773276480346
164,FCHSD2,0.009558341966697184
165,KHDRBS1,0.0006237708769147059
166,SMG8,0.0006721452826860468
167,SACM1L,0.0004026931463007094
168,RALGAPB,0.0008879403098036292
169,WDSUB1,0.0005208398583619416
170,PTK2,0.0007338459651592067
171,YES1,0.000247063367585845
172,KCTD3,0.000322575856624093
173,GNAI2,0.00016852069043134225
174,GRB2,0.0023065442496841217
175,SPSB1,0.00010471623556614014
176,PTK2B,0.0016715789795489157
177,INTS6L,0.00014540217372416666
178,ARPC3,0.0016711447198853467
179,STARD13,0.002349082651004276
180,C2CD5,0.0010759309704718866
181,IPO7,0.0004084999823036883
182,RASAL2,0.0005775738320843102
183,SH2B1,0.0014054782170398895
184,RYK,0.0025373987759652445
185,DHX15,0.0005913469618920197
186,SHC1,0.0013196698932948277
187,ABL2,0.0016418500525854384
188,RPL19,0.0013719933686444994
189,EPHB3,0.0037376949157128074
190,CNKSR2,0.0016704506837329285
191,SYT16,0.0013873011938586534
192,MAPK14,0.0006251757271808547
193,RHOT1,0.000291538971925958
194,PTPN13,0.0014534311684511075
195,FES,0.000999911115240527
196,HEATR5A,0.001551305327790037
197,C16orf72,0.00024707529351279293
198,GSPT1,0.000747822221667339
199,ANKRD27,0.001331144554861404
200,TXK,0.003763574378257746
201,SHOC2,0.0006611829524773566
202,MEMO1,0.0014586605119579087
203,SOCS1,0.001807561719035283
204,IRS1,0.0007947421094723055
205,BBS10,0.0011580605193936126
206,EIF1,0.00028855072314490127
207,CTTN,0.0005217595505614394
208,RAB11FIP2,0.0015657679288677878
209,PBK,0.0014662403525453724
210,MYO5A,0.0009013740619982325
211,TSC1,0.001113749304654296
212,SYN1,0.00012729115871004066
213,SLK,0.0011817475005015086
214,CSF1R,0.003525066726480187
215,LCP2,0.0017982498691577053
216,STAT5B,0.0013379619226771195
217,AURKB,0.0003480497753032015
218,MYH10,0.0018496125283688426
219,SNX27,0.0009371271716539631
220,ACVR2B,0.0010077270776735778
221,PTPRJ,0.00038081709192775505
222,PTPN4,0.0011827660716467133
223,BIRC2,0.0004720999326803619
224,ATG5,0.0001472176518896579
225,ACTN1,0.0
226,DOK4,0.0016453256992387418
227,RALB,0.00020871722722281557
228,ESYT2,0.002101284705316474
229,MARK2,0.0006999248444361077
230,MAPRE1,0.0005941095710630095
231,SDCBP,0.0019961202007763783
232,MAPKAPK5,0.0008172157672196248
233,TNKS,0.0014241414820755126
234,CASP7,0.002340443899152192
235,GLCE,0.0008874898322662817
236,XPO1,0.0007011442838326872
237,RAB5A,0.0013062333871193524
238,RAPGEF6,0.0006831519656237326
239,CDK7,0.0015744927047233578
240,BCAR1,0.00023503055516184082
241,MAT2A,0.001419107061675601
242,SDC2,0.0
243,TRMT2A,0.0006830759953674869
244,ARHGEF2,0.001096549715192895
245,NOTCH2,0.0006498861122321803
246,FYN,0.0
