,first degree neighbors,feature_importance
0,NAE1,0.02576729451533682
1,DLC1,0.0001164285249626067
2,CDC42BPB,0.0
3,PSMD10,0.00023506368896891884
4,PTPRC,0.012266255499262068
5,ABCD3,0.001436957548690551
6,CHUK,0.0007198538622185284
7,EGFR,0.00030283513564380575
8,FAF1,0.00012006703734820729
9,CSNK2A1,0.00034730050766394933
10,PACSIN2,0.0006855075583225833
11,CLK1,0.0003737550978153651
12,STAM2,0.0016529700755415324
13,TRNT1,0.0
14,RAB14,0.0005586000154960181
15,MAP2K4,0.000423800587280015
16,MAGI1,0.0004754775157897115
17,CASP3,0.00045067240290159945
18,RAP1A,0.0005327992729015222
19,CDK3,0.002131351332274232
20,PLK2,0.0005789938307966293
21,SRC,0.00043330148853749386
22,EPHB2,0.0010026980513032366
23,ILK,0.0005256219979891706
24,STRN3,0.0008116329082822086
25,AGFG1,0.0002489323797174275
26,MAP4K3,0.0015012508151599757
27,LATS1,0.0006554693132523227
28,CYFIP1,0.0005067331523089259
29,XRCC6,0.0012725531131303417
30,PPIP5K2,0.008806100898223009
31,PAXBP1,9.125729389087618e-05
32,CUL4B,0.0004292841281331535
33,UBR7,0.0004091205739606099
34,RAC1,0.003996260024115291
35,MON2,0.0009075837614741445
36,RASA2,0.0004737620507755777
37,GMCL1,0.0007902429889720998
38,SNX14,0.007953989313572874
39,MOB4,0.0007336018986188388
40,STK3,0.0028259731083236455
41,RAB10,0.0008624549622163144
42,NF1,0.0015376846617399936
43,MYO10,0.0005612409452733189
44,ARHGAP1,0.0006018308095237525
45,HAUS3,0.002146958912909949
46,HSPD1,0.00011547798604465319
47,IGF1R,3.087924676991854e-05
48,RCN2,0.0015171887420531009
49,WASL,0.0016401271577625993
50,CAPNS1,0.001070382409323879
51,FERMT2,0.0012817536101855619
52,RAB28,0.00044223506423788457
53,GIN1,0.0006764691542769834
54,FBXO11,0.00037547117117242064
55,CBLB,4.649917983464343e-05
56,NCKAP1,0.0005057585806389663
57,ARHGAP5,0.0043624006652269644
58,CRKL,0.019408057454898958
59,HCK,0.0006679253379563062
60,ARFGEF1,0.0013563054834506863
61,TRIP12,0.0006442346046877132
62,RAB6A,0.001292031492160592
63,GOPC,0.0005920524086561108
64,SYK,0.0005388092933767774
65,CRK,0.0063694248330985834
66,TBK1,8.648880951704734e-05
67,PKN2,0.0005957102950083429
68,R3HDM1,0.0006559607172683725
69,RMND5B,0.0008541730594773878
70,RALBP1,0.002464840022970847
71,UBA3,0.0
72,KCTD9,0.00040445779421997103
73,CSNK1E,0.0003063256035956839
74,RABGAP1,0.0019476862168146195
75,LCK,0.0001722872589259993
76,PLA2G6,0.0022307831092469002
77,CCT4,0.018042364778212687
78,MACO1,0.0002712401251925029
79,DNAJA3,0.00045248023723838465
80,BUB1,0.0006001560883673278
81,MLH3,0.00046537756623187747
82,CHKA,0.002132447343656029
83,PDGFRB,0.00048548419126513427
84,AMD1,0.0007373430214638394
85,ATP6V1C1,0.00041257703441032004
86,RHOA,2.2946821063287492e-05
87,EFR3A,0.0003441377531019534
88,STK11,0.00041939764487979655
89,ACTN4,0.00202647053975624
90,SMAD2,0.00016532684107073428
91,PXN,0.00039519506505424155
92,PLCG1,0.00027297496949435046
93,CUL2,0.0008504145733857436
94,RAB18,0.003696992920036364
95,FER,0.0012322068982672679
96,DDX1,0.0012648858968744364
97,HDAC3,0.00011314819515915946
98,INSR,0.00032244870849836276
99,ROCK2,0.00017063514581743458
100,TAOK3,0.0006008923547631465
101,SPTAN1,0.00017944594942952252
102,MAP2K2,5.97626470882675e-05
103,AFAP1L2,0.001646084994562745
104,KRAS,0.0003725871335246473
105,OSBPL8,0.00033652948404326507
106,TAOK1,0.00027230576007508027
107,CAV2,0.0005530465336049684
108,RAB11A,0.001293887685835177
109,MAPK1,0.0001219625814078313
110,ATF7,0.016937561799863516
111,SPRY4,0.000847000559626047
112,CAPZA2,0.0
113,FBXL6,0.015255440555812596
114,SOS1,0.00022612093403279312
115,DOK1,0.0016451886314156024
116,NFKB1,0.00030962665904592804
117,MKLN1,0.0004428837803349656
118,WWP1,0.0005640833138196363
119,PIN1,0.0026360947748960755
120,FEM1C,0.00014585799314526307
121,POLR3F,0.00015299736433741314
122,RHEB,0.00902843428534597
123,IST1,0.0005857930927001353
124,ANXA6,0.0032134757626985713
125,ETF1,0.0011860962520959617
126,HSP90AA1,0.0014682332238958869
127,ULK1,0.0007779665974825319
128,ABCE1,0.0012570130174570505
129,PLS3,0.0006233931024930764
130,DBNL,0.000487735713537152
131,CSNK1A1,0.0001744786256407531
132,MARK3,0.0007435759277852599
133,RAB21,0.002019805440778832
134,CDK16,0.0026831621973569682
135,PDPK1,0.0005972234872835546
136,NEDD4,0.0003222174639895099
137,FGFR1,0.0002969037944941914
138,OGA,0.0007366982594486797
139,CSK,4.7335801551781295e-05
140,EPS8,0.000468416569202678
141,RAB1A,7.7295168921214e-05
142,ACAP3,0.01681754093069552
143,TBC1D23,0.0030520832647863054
144,NCK1,0.00012202886475497754
145,RARS,0.0008148869661373178
146,CDC73,0.00035087780075967264
147,JAK2,0.01854406565100767
148,ABL1,0.0006799354334504612
149,RAF1,0.00046055473823967616
150,RAP1B,0.00034509014334574466
151,CFAP20,0.001038868745171811
152,ATP6V1A,0.0003424846909231736
153,TBCK,0.001139299173952455
154,SNX5,8.691863597208283e-05
155,EHMT1,0.002301393855833534
156,GAB1,0.0005047683847611898
157,RPS6KC1,0.00903050777459704
158,SOCS5,0.0003353658344246476
159,MAP4K4,0.001532186843079051
160,FAM13B,0.0003826817353462902
161,EXOC5,0.01562743452453111
162,KIDINS220,0.0009190688984673698
163,IQGAP1,0.00021540383288410175
164,FCHSD2,0.0008637448603105453
165,KHDRBS1,0.001930497327893752
166,SMG8,0.0037046974476678805
167,SACM1L,0.0007809076472146408
168,RALGAPB,0.0002954084780716612
169,WDSUB1,0.0010561310175866137
170,PTK2,0.0009180048251111587
171,YES1,0.0016780009002338365
172,KCTD3,0.00022480350055295286
173,GNAI2,0.007691166852717766
174,GRB2,0.007945229659748494
175,SPSB1,0.0009110633633360138
176,PTK2B,0.0004099167924754394
177,INTS6L,0.021535598824967316
178,ARPC3,0.00035984847687009144
179,STARD13,0.00010591526826828914
180,C2CD5,0.0
181,IPO7,0.11363929891354271
182,RASAL2,0.0006464254166438451
183,SH2B1,0.0004612824198598807
184,RYK,0.0004787157060798321
185,DHX15,0.0027496357715314558
186,SHC1,0.0015433537461948693
187,ABL2,0.00011794206281157101
188,RPL19,0.00042855874772225813
189,EPHB3,0.006117352998037474
190,CNKSR2,0.014837710377273324
191,SYT16,0.0006476720520736303
192,MAPK14,0.0002838849232832521
193,RHOT1,0.001004539619956142
194,PTPN13,0.017121044865950223
195,FES,0.0
196,HEATR5A,0.000420882792536202
197,C16orf72,0.0006755498520982478
198,GSPT1,0.00017947666875142698
199,ANKRD27,0.002439760591161888
200,TXK,0.0009341757164684025
201,SHOC2,0.00026994592418236264
202,MEMO1,4.713837557170736e-05
203,SOCS1,2.6725348012062574e-05
204,IRS1,0.00036752790297974456
