,first degree neighbors,feature_importance
0,CDH2,0.0059408119018457065
1,PLCG1,0.035160448118867677
2,UBB,0.035613619090036304
3,MAPK1,0.0032857314492814537
4,GFRA1,0.014152427505090017
5,MAP1LC3B,0.006828105769654355
6,HTR2A,0.004741500187379904
7,SCG5,0.0048696384740111774
8,KIAA0319,0.0041512234720616345
9,SHC1,0.005917235651835969
10,CLCA1,0.009959395516351983
11,CACNG2,0.00416016924511508
12,APC2,0.02806746390068596
13,TGFB2,0.00617051858216233
14,SLC30A3,0.036354524447905906
15,FRMPD4,0.00578112083213964
16,DRD1,0.0014697891694931701
17,SOS1,0.039645519068611156
18,DOK1,0.004939240471515543
19,LRP1,0.005687323217343447
20,EGFR,0.006246918460995735
21,PTPRF,0.008176662876327456
22,MAPK3,0.07090111631881521
23,CDHR2,0.0316263195432963
24,EPHA5,0.001980188054187349
25,TH,0.008125956365822095
26,DOK6,0.007101312361901834
27,CTNND1,0.04299441689077649
28,LZTS1,0.013337177463287117
29,CBL,0.01677638795734596
30,CASP3,0.02135029766166427
31,RET,0.007986179683448964
32,PTK2,0.008525569211122215
33,STMN2,0.012778973817418094
34,RHO,0.0068918156872567644
35,ANKRD27,0.0061209240221640985
36,MRC1,0.004370090999203306
37,CRHBP,0.00736886215907164
38,DOK2,0.0076583980180347
39,STMN4,0.050868647137709465
40,GRB2,0.2070694543482398
41,FAM57B,0.0396018370270902
42,FRS2,0.0062845652123897896
43,MCRS1,0.005987475291813509
44,SLC17A6,0.033467201973152075
45,SRC,0.0040500353325265154
46,PTPRN,0.008935374793083404
47,CACNG3,0.00468352389958069
48,LAMP5,0.004107136433653215
49,GAB1,0.007747021401986623
50,ITM2B,0.011297909192759139
51,UBC,0.021920935403107134
52,FNDC5,0.010533709041422756
53,GRB10,0.005870434367384433
54,APC,0.0091485923611583
55,DOK5,0.001162743174973228
56,LDLRAP1,0.010095073904741991
57,ZFYVE27,0.003954956079699768
