,first degree neighbors,feature_importance
0,ARL8A,0.0001069140251578218
1,STK4,6.75137395817707e-05
2,RAB5C,0.00033335109884480513
3,MMD,0.0013298304360239938
4,PSMD10,0.0001678105336520768
5,RBPMS,0.00037825963863191426
6,HSD17B10,0.0006958415039474513
7,JAGN1,0.001139650353581101
8,PAFAH1B1,5.00798013425786e-05
9,MAPK3,0.0006901037450653037
10,FAF1,0.0003262984788763563
11,CSNK2A1,0.00022381561270438404
12,UTP25,0.00022227499535872966
13,CNIH4,0.00030641097812887674
14,ARF3,0.0001046303597567187
15,RAP1A,5.535263533030675e-05
16,SLC25A24,0.000278029042845547
17,ADAM10,0.00014702244826847235
18,RNF115,0.00011625848424613758
19,PGRMC2,3.65795098162494e-05
20,RPL9,8.262145047413681e-05
21,DNAJC8,3.722687187219429e-05
22,MRPL58,4.7740586200682403e-05
23,TOP2B,0.0016881256849923746
24,STIP1,0.00022550782807793379
25,HIP1R,0.0033609295316757576
26,GCLC,0.00038297017161375045
27,RPS19,0.00018274910529371695
28,LYPLA1,0.00010638945657228196
29,AGFG1,5.1290206517683487e-05
30,VCP,0.0001803824116253789
31,EIF4G2,0.0020577834553957043
32,SH3KBP1,8.015398126460287e-05
33,LATS2,0.0002112072039020048
34,NOC2L,0.0003677989516785754
35,ARPC1A,0.0
36,POLR3D,0.0022420120498048706
37,UBE2V1,0.0002163495708144584
38,YPEL5,8.349557603156077e-05
39,P4HB,0.003461272731122877
40,SSSCA1,4.547866607831015e-05
41,CLIC1,0.00038869619515213355
42,DNM1L,0.0003854220707463568
43,TCP11L2,0.0006134972746313246
44,NDUFA9,0.0002569068867062143
45,TIGAR,0.0001543292273484979
46,PDE4DIP,0.0
47,SMU1,0.0003676760781443103
48,EXOC6,0.00010608769822646084
49,SBF2,0.00012118054961926201
50,ADPGK,6.729581915475627e-05
51,ATL3,0.0004219860723269691
52,STT3A,2.3716979460935397e-05
53,WDR12,0.00045038160485971057
54,METTL6,0.0008087815197415819
55,PHB2,0.00024404628127435552
56,TALDO1,0.0004759939609248912
57,CDT1,0.00026457450897724545
58,BCAS3,0.0007073801070419495
59,CFL2,0.0004991988897592682
60,GCLM,6.652694987926745e-05
61,PPP1R12A,1.116723216720562e-05
62,SUPT5H,6.981700016336476e-05
63,RGL3,0.00010532813191825936
64,UBXN2B,0.00022306893832818554
65,PPIL1,0.0003347909354362248
66,SRPK1,0.000256104128451944
67,APBB1IP,0.0005159489646699619
68,LETM1,0.00041602343807358154
69,PPP2R2B,0.001375411750591877
70,ADSL,0.00013227799988043616
71,SNU13,0.00016044356418413148
72,RPL27A,0.002803184526259267
73,COPZ1,0.00024346864514066875
74,RPL14,0.0026897496420256913
75,PSMD13,5.091227701213795e-05
76,PIP4K2A,0.007230809747032003
77,TCP1,0.0001408760693918769
78,B3GAT3,0.00011361937551044049
79,CYTH1,0.0
80,TXNL1,2.3303552006553196e-05
81,EIF2S2,0.0
82,RMND5B,0.00011223637000786102
83,NADK2,0.0013846522227992106
84,GIT2,0.0004534546920508463
85,NDRG1,0.00021198690799564848
86,TIMM44,0.0006449077129321656
87,PGS1,0.00023537169664604652
88,TRAF6,0.00022456593480980736
89,CSNK1E,0.00022927134315139315
90,DDX21,0.001176753852478578
91,ALDH9A1,5.507858095571212e-05
92,TTC1,0.0006492275916562969
93,MPHOSPH10,0.00012944699415305227
94,IARS,6.291725273280737e-05
95,PCBP2,4.592863876280534e-05
96,BRIX1,6.281119827427411e-05
97,NLN,0.0003700711263069108
98,GLOD4,0.0002529693219795353
99,DEGS1,5.559444741002034e-05
100,PDXDC1,0.0001497582268956587
101,ARHGAP11A,0.0015392744527114033
102,TFAM,0.000729827305779558
103,TMEM50A,0.00016519141956984433
