,first degree neighbors,feature_importance
0,ARL8A,0.00014171603830649189
1,STK4,0.0001205211022158287
2,RAB5C,0.0001619166297831773
3,MMD,0.00016476782943275012
4,PSMD10,0.0
5,RBPMS,0.0
6,HSD17B10,0.0
7,JAGN1,2.6098365394009086e-05
8,PAFAH1B1,3.0838845284442246e-05
9,MAPK3,0.0
10,FAF1,7.359911130126773e-05
11,CSNK2A1,0.0
12,UTP25,3.9499482168490494e-05
13,CNIH4,7.554716910899569e-05
14,ARF3,0.00039150959182558627
15,RAP1A,7.439539517396732e-05
16,SLC25A24,5.2435021240034554e-05
17,ADAM10,0.0005657530191259892
18,RNF115,6.70635787964964e-05
19,PGRMC2,1.712495582152058e-05
20,RPL9,0.0
21,DNAJC8,0.0
22,MRPL58,2.505794406820958e-05
23,TOP2B,6.741669319982884e-05
24,STIP1,7.276275663344963e-05
25,HIP1R,7.62181529804469e-06
26,GCLC,5.70876500546737e-05
27,RPS19,0.0
28,LYPLA1,0.002502578611272522
29,AGFG1,5.6184742072721925e-05
30,VCP,4.5997538883798967e-05
31,EIF4G2,0.0
32,SH3KBP1,0.00012040081786390625
33,LATS2,2.678960677940147e-05
34,NOC2L,0.0018889170562087104
35,ARPC1A,0.000531715326866966
36,POLR3D,0.003334050600377458
37,UBE2V1,0.0001090145557151667
38,YPEL5,2.4371785370407543e-05
39,P4HB,0.0
40,SSSCA1,1.585720144399407e-05
41,CLIC1,0.0
42,DNM1L,0.00022455671114319104
43,TCP11L2,0.002653742837416315
44,NDUFA9,3.516756962794965e-05
45,TIGAR,0.0
46,PDE4DIP,0.0
47,SMU1,6.433922289620918e-05
48,EXOC6,2.875702724129615e-05
49,SBF2,0.0
50,ADPGK,0.0
51,ATL3,0.00048760083659835383
52,STT3A,0.0
53,WDR12,5.8725716457198965e-05
54,METTL6,0.0
55,PHB2,7.936665882144271e-05
56,TALDO1,3.419019973588666e-05
57,CDT1,2.8405889052805347e-05
58,BCAS3,3.986815819760127e-05
59,CFL2,2.2129858247320635e-05
60,GCLM,0.0
61,PPP1R12A,5.600288630551109e-05
62,SUPT5H,5.7387025349116325e-05
63,RGL3,0.00011885303609963494
64,UBXN2B,1.5387877217339685e-05
65,PPIL1,2.6768378804974308e-05
66,SRPK1,3.5627656187784125e-05
67,APBB1IP,7.025172649777889e-05
68,LETM1,0.0
69,PPP2R2B,0.0
70,ADSL,0.0
71,SNU13,0.0
72,RPL27A,0.00034624223600965835
73,COPZ1,0.0004843901500179945
74,RPL14,0.0001080354673010704
75,PSMD13,0.0021991321397981504
76,PIP4K2A,0.00013469932454651394
77,TCP1,0.0005217225405692521
78,B3GAT3,0.0003841002781202488
79,CYTH1,0.0
80,TXNL1,0.00017389867717791443
81,EIF2S2,0.00041663139800390196
82,RMND5B,0.0
83,NADK2,0.0
84,GIT2,0.0
85,NDRG1,2.0144391413309095e-05
86,TIMM44,6.769369800641866e-05
87,PGS1,0.0013798506721117846
88,TRAF6,0.0
89,CSNK1E,0.0004745302666459649
90,DDX21,2.8221936913593078e-05
91,ALDH9A1,0.0
92,TTC1,0.0
93,MPHOSPH10,0.0002791352449465994
94,IARS,0.0
95,PCBP2,0.0
96,BRIX1,2.4713177154970742e-05
97,NLN,3.996102175515677e-05
98,GLOD4,0.00012097316509293464
99,DEGS1,0.0
100,PDXDC1,0.0001148779558406617
101,ARHGAP11A,0.03517743019787676
102,TFAM,0.0001743248897201598
