setup,gene,num_mutated,model,graph,gene_selection,cancer type,num_layer,channels,batch,lr,ratio,dropout,aggregation,criterion,max_features,n_estimator,val_auc,val_acc,val_prec,val_recall,test_auc,test_acc,test_prec,test_recall
sorafenib_targets,KIT,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,0.8040765693135896,0.7426337943475646,0.7433751743375174,0.685971685971686,0.8019684742657714,0.7315315315315315,0.7291666666666666,0.6756756756756757
sorafenib_targets,KIT,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,0.3,2000,0.6913099813777014,0.6945279615153337,0.6844993141289437,0.6422136422136422,0.7602844156898212,0.6816816816816816,0.664886515353805,0.640926640926641
sorafenib_targets,FLT3,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.01,0.3,NA,NA,NA,NA,NA,0.8205068983850022,0.745640408899579,0.7465181058495822,0.6898326898326899,0.8231547184249887,0.7537537537537538,0.7552155771905424,0.6988416988416989
sorafenib_targets,FLT3,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,sqrt,1000,0.7209131898748151,0.7269993986770896,0.7473200612557427,0.6280566280566281,0.7952015722285993,0.7213213213213213,0.7304860088365243,0.6383526383526383
sorafenib_targets,RET,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,0.8213799094160268,0.740829825616356,0.7416201117318436,0.6833976833976834,0.8209778311129663,0.7513513513513513,0.7611510791366907,0.6808236808236808
sorafenib_targets,RET,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,0.3,1500,0.7061918416320221,0.7131689717378232,0.7373417721518988,0.5997425997425997,0.7828649112432896,0.7153153153153153,0.7312977099236642,0.6164736164736164
sorafenib_targets,PDGFRB,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,0.7955265810796286,0.7276007215874924,0.716,0.6911196911196911,0.7845577237469128,0.715915915915916,0.7070844686648501,0.667953667953668
sorafenib_targets,PDGFRB,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,sqrt,1500,0.717062354195537,0.7239927841250752,0.7515822784810127,0.6113256113256114,0.7913043352232542,0.7129129129129129,0.7512605042016807,0.5752895752895753
sorafenib_targets,all_neighbors,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,0.5,NA,NA,NA,NA,NA,0.5053908355795148,0.746268656716418,0.0,0.0,0.5493827160493827,0.782608695652174,0.0,0.0
sorafenib_targets,all_neighbors,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,entropy,0.3,1000,0.5074123989218329,0.7611940298507462,0.25,0.07142857142857142,0.6148148148148148,0.7681159420289855,0.0,0.0
sorafenib_targets,all_neighbors,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,0.824148560040208,0.7588695129284426,0.7633053221288515,0.7014157014157014,0.8173791552169931,0.7327327327327328,0.7331460674157303,0.6718146718146718
sorafenib_targets,all_neighbors,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,0.4,1500,0.7156656818056366,0.7209861695730607,0.7325408618127786,0.6344916344916345,0.7929217827866476,0.7165165165165165,0.7314112291350531,0.6203346203346203
rtk_ras_dominant,EGFR,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,0.7075471698113207,0.7761194029850746,0.4,0.14285714285714285,0.4888888888888889,0.6521739130434783,0.09090909090909091,0.06666666666666667
rtk_ras_dominant,EGFR,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.5740740740740741,0.782608695652174,0.0,0.0
rtk_ras_dominant,ERRFI1,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,0.5,NA,NA,NA,NA,NA,0.6644204851752021,0.8059701492537313,1.0,0.07142857142857142,0.6864197530864198,0.782608695652174,0.0,0.0
rtk_ras_dominant,ERRFI1,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,entropy,0.3,1000,0.5357142857142857,0.8059701492537313,1.0,0.07142857142857142,0.5814814814814815,0.782608695652174,0.0,0.0
