setup,gene,num_mutated,model,graph,gene_selection,cancer type,num_layer,channels,batch,lr,ratio,dropout,aggregation,criterion,max_features,n_estimator,val_auc,val_acc,val_prec,val_recall,test_auc,test_acc,test_prec,test_recall
sorafenib_targets,KIT,72,GCN,funcoup,NA,LIHC,3,48,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.6846361185983828,0.7910447761194029,0.0,0.0,0.5938271604938272,0.782608695652174,0.0,0.0
sorafenib_targets,KIT,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.001,1,NA,NA,NA,NA,NA,0.5956873315363882,0.6716417910447762,0.2777777777777778,0.35714285714285715,0.6617283950617285,0.6956521739130435,0.35,0.4666666666666667
sorafenib_targets,KIT,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.5654320987654321,0.782608695652174,0.0,0.0
sorafenib_targets,FLT3,72,GCN,funcoup,NA,LIHC,3,32,12,1e-05,NA,False,hierarchy,NA,NA,NA,0.7102425876010782,0.7910447761194029,0.0,0.0,0.4703703703703703,0.782608695652174,0.0,0.0
sorafenib_targets,FLT3,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.001,1,NA,NA,NA,NA,NA,0.5714285714285714,0.6865671641791045,0.3157894736842105,0.42857142857142855,0.5543209876543209,0.6521739130434783,0.30434782608695654,0.4666666666666667
sorafenib_targets,FLT3,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.582716049382716,0.782608695652174,0.0,0.0
sorafenib_targets,RET,72,GCN,funcoup,NA,LIHC,1,40,4,0.001,NA,False,hierarchy,NA,NA,NA,0.7749326145552561,0.8059701492537313,0.6666666666666666,0.14285714285714285,0.5419753086419754,0.6666666666666666,0.0,0.0
sorafenib_targets,RET,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,1e-05,0,NA,NA,NA,NA,NA,0.8207547169811321,0.7164179104477612,0.41379310344827586,0.8571428571428571,0.4987654320987654,0.5797101449275363,0.18181818181818182,0.26666666666666666
sorafenib_targets,RET,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5619946091644205,0.8059701492537313,0.6666666666666666,0.14285714285714285,0.4370370370370371,0.7681159420289855,0.0,0.0
sorafenib_targets,PDGFRB,72,GCN,humannetv2,NA,LIHC,1,32,4,0.0001,NA,False,hierarchy,NA,NA,NA,0.633423180592992,0.7910447761194029,0.0,0.0,0.6728395061728395,0.782608695652174,0.0,0.0
sorafenib_targets,PDGFRB,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,0.5808625336927224,0.7910447761194029,0.0,0.0,0.5790123456790124,0.782608695652174,0.0,0.0
sorafenib_targets,PDGFRB,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.6765432098765432,0.782608695652174,0.0,0.0
